"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							0	8867	0	0	27877	0	532	100	1587	83515	66462	225	66687	0	979	0	0	0	16828	1200	83515	0	0	12192	0	0	3500	0	6809	59653			0	45531	44552	-64	0	0	0	0	16828	
242																																							398	896	0	0	7567	0	299	0	526	32756	23566	32	28445	0	167	0	4847	0	4311	120	32756	0	0	4066	0	0	120	0	4558	19008			0	23226	23059	5	11	0	0	0	4311	
279																																							4251	1980	41	43170	15800	264	6408	0	3442	153393	102736	705	130233	0	450	0	26792	0	23160	1	153393	0	0	22700	0	0	0	0	5857	96880			0	75752	75302	459	2735	0	0	0	23160	
354																																							99	331	0	0	4705	0	42	0	198	9876	8836	44	8880	0	213	0	0	0	995	25	9875	0	0	463	0	0	500	0	2503	6333			0	4533	4320	7	181	0	0	0	995	
457																																							1237	1826	0	177	0	0	106	25	1211	36710	30681	118	33299	0	411	0	2500	0	3411	60	36710	0	0	911	0	0	2440	0	3580	27101			0	31765	31354	0	774	0	0	0	3411	
505																																							50497	1548	118	0	85816	0	4158	736	10931	385348	307810	2948	356258	54	4595	1595	45500	0	29036	6480	385348	0	0	13289	0	0	10653	195	42747	265063			0	234349	229754	-1386	0	0	0	0	29090	
1155																																							18933	5726	0	242	26567	0	4348	2956	6973	202751	172195	1897	185121	0	2121	0	0	0	17630	1600	202751	0	0	10607	0	0	4900	625	18552	153643			0	138502	136381	523	0	0	0	11029	17630	
1351																																							0	2645	0	64597	4805	0	1022	220	1885	153006	131933	529	132462	0	1120	0	0	0	20544	240	153006	0	0	19719	0	0	530	0	12412	119521			0	71032	69912	55	7920	0	0	0	20544	
1454																																							18768	12036	0	0	219035	0	4686	0	10401	482306	434375	1303	435678	0	3471	0	0	0	46628	1000	482306	0	0	45135	0	0	1214	1543	99227	335148			0	219308	215837	-721	0	0	0	0	46628	
1557																																							1990	1240	0	11447	3661	0	248	0	1119	55127	47466	582	49831	0	481	0	1783	0	5296	200	55127	0	0	4034	0	0	1000	0	9180	38286			0	33198	32717	62	2705	0	0	0	5296	
1669																																							15521	7328	865	82476	42467	0	1566	0	10488	245535	201810	569	203004	0	2555	0	625	0	42531	800	245535	0	0	40143	0	0	800	0	27871	173939			0	83848	81293	788	3531	0	0	0	42531	
1829																																							60086	4809	483	0	69061	0	3611	40	9375	408741	335588	2600	367461	0	3789	8144	27507	0	41280	390	408741	0	0	37328	0	0	3100	0	71091	264496			0	256921	253132	462	0	0	0	1766	41280	
1856																																							30564	459	0	19500	73364	0	394	0	4205	166728	93515	404	147919	0	610	98	54000	0	18809	500	166728	0	0	-902	0	0	17782	0	1891	91624			0	38754	38144	1429	0	0	0	0	18809	
2040																																							1	1839	0	0	41143	0	3349	27	7318	205240	161793	709	185583	0	3147	0	20000	0	19657	480	205240	0	0	14986	0	0	4270	498	13507	148286			0	148372	145225	-79	5840	0	0	3081	19657	
2161																																							9288	6623	0	1	38096	0	1569	105	4668	128312	113544	1742	115286	0	589	0	0	0	13026	1000	128312	0	0	10380	0	0	1253	0	23027	90517			0	60351	59762	393	8200	0	0	0	13026	
2376																																							761	5521	0	53484	732315	0	14688	7284	106707	2531816	1273794	29853	2135836	65	24180	0	652054	0	395916	500	2531817	0	0	413219	1482	0	16970	9484	61199	1212594			-29420	1624270	1600090	-5353	0	0	180135	0	395981	
2554																																							3822	518	0	395	12	0	107	0	179	11009	9861	29	9890	0	74	289	0	0	1119	50	11009	0	0	94	0	0	975	0	3091	6770			0	5245	5171	0	516	0	0	0	1119	
2732																																							42014	17551	1112	0	69360	0	5141	714	5879	519751	443780	1646	445784	0	5183	0	358	0	73967	0	519751	0	0	67493	0	0	5789	0	76858	366922			0	383163	377980	685	0	0	0	0	73967	
