"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1126	225	69	0	1090	258	0			0	0	
242	164	0	19	0	161	16	0			0	0	
279	444	132	6	0	340	34	0			0	0	
354	193	0	14	0	208	29	0			0	0	
457	217	225	2	0	269	279	0			0	0	
505	3766	1270	42	0	2936	482	0			0	0	
1155	1838	420	338	0	1695	615	0			0	0	
1351	1120	90	37	0	1120	127	0	0	0	0	0	
1454	2123	563	35	0	2093	568	0			0	0	
1557	380	0	1	0	381	2	0	0	0	0	0	
1632	10419	8207	532	0	7843	6163	0			0	0	
1669	1951	348	71	0	1698	166	0			0	0	
1829	3937	270	85	0	3918	336	0			0	0	
1856	132	12	8	0	176	64	0			0	0	
2040	2525	4010	91	0	1952	3528	0			0	0	
2161	558	24	29	0	584	79	0			0	0	
2376	18907	8725	0	0	10182	0	0			0	0	
2451	498	1897	1	0	347	1747	0			0	0	
2554	34	20	2	0	38	26	0			0	0	
2732	4064	300	32	0	3754	22	0			0	0	
2750	425	153	24	0	341	93	0			0	0	
2938	8610	4759	510	0	5594	2253	0			0	0	
3252	1006	330	367	0	962	653	0			0	0	
3458	318	30	0	0	294	6	0			0	0	
3720	1565	196	1	0	1397	29	0			0	0	
3953	1371	1025	211	0	1269	1134	0			0	0	
4138	3912	4419	257	0	1220	1984	0			0	0	
4156	1695	153	497	0	1608	563	0			0	0	
4231	1060	500	40	0	712	192	0			0	0	
4437	2539	400	379	0	1882	122	0			0	0	
4839	3242	1715	59	0	2389	921	0			0	0	
5005	3663	1055	0	0	2609	1	0			0	0	
5069	9204	1000	0	0	8204	0	0			0	0	
5135	3521	475	21	0	3287	262	0			0	0	
5210	7393	5570	27	0	5848	4052	0			0	0	
5331	1649	2250	18	0	1632	2251	0			0	0	
5461	3471	824	3	0	2876	232	0			0	0	
5751	950	0	0	0	973	23	0			0	0	
6039	1166	274	7	0	985	100	0			0	0	
6141	402	60	26	0	388	72	0			0	0	
6329	4564	3200	449	0	3756	2841	0			0	0	
6972	32112	31912	248	0	10057	10105	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	749	150	26	0	740	167	0			0	0	
7157	204	58	102	0	231	187	0			0	0	
7456	321	150	0	0	190	19	0	0	0	0	0	
7634	782	312	39	0	674	243	0			0	0	
8033	852	0	65	0	894	107	0			0	0	
8462	382	10	61	0	342	31	0			0	0	
8631	384	55	7	0	362	40	0			0	0	
9357	5471	1665	43	0	5937	2174	0			0	0	
9553	742	125	2	0	617	2	0			0	0	
9807	65591	45000	682	0	68353	48444	0			0	0	
9955	532	304	8	0	469	249	0			0	0	
10157	924	1271	6	0	832	1185	0			0	0	
10250	3999	1370	115	0	3741	1227	0			0	0	
10849	4243	2280	92	0	3564	1693	0			0	0	
10858	5784	5990	319	0	3236	3761	0			0	0	
11145	1643	955	40	0	1478	830	0			0	0	
11640	1511	540	270	0	1510	809	0			0	0	
11837	1497	600	21	0	1003	127	0			0	0	
12030	7465	3950	5534	0	6920	8939	0			0	0	
12142	1495	285	135	0	1298	223	0			0	0	
12245	1017	215	4	0	836	38	0			0	0	
12311	889691	803406	53525	0	563154	530394	0			0	0	
12647	593	94	12	0	558	71	0			0	0	
12656	178	12	1	0	171	6	0			0	0	
12937	1213	72	0	0	1141	0	0			0	0	
12946	5967	2008	679	0	3972	1590	898			0	0	
12955	868	439	17	0	911	499	0			0	0	
13037	2340	0	421	0	2191	821	549			0	0	
13103	8367	1702	24	0	7865	1224	0			0	0	
13251	500	375	33	0	424	332	0			0	0	
13457	90	0	5	0	85	0	0			0	0	
14052	626	213	7	0	648	242	0			0	0	
14155	1337	932	122	0	1117	834	0			0	0	
14454	386	100	0	0	359	73	0			0	0	
14650	269	197	22	0	254	204	0			0	0	
14753	523	0	1	0	522	0	0			0	0	
14865	3635	1778	616	0	1665	424	0			0	0	
14977	307	12	0	0	332	37	0	0	0	0	0	
15536	62328	28500	300	0	42091	8563	0			0	0	
16337	3677	1675	143	0	4543	2684	0			0	0	
16458	2010	15	39	0	2029	73	0			0	0	
16551	2336	400	37	0	2356	457	0			0	0	
16748	417	125	27	0	425	148	-12			0	0	
16944	229	0	0	0	247	18	0			0	0	
16953	200	45	4	0	182	31	0			0	0	
17110	559	0	150	0	409	0	0			0	0	
17147	23199	17978	6182	0	15114	16075	0			0	0	
17259	151	84	21	0	123	77	0			0	0	
17464	47165	99593	1980	0	33875	88283	0			0	0	
17839	2484	701	123	0	2063	403	0			0	0	
17950	1612	240	19	0	1388	35	0			0	0	
18050	2198	120	160	0	2307	389	0			0	0	
18135	1190	300	3	0	1170	283	0			0	0	
18377	117	15	0	0	102	0	0			0	0	
18827	2558	1090	118	0	1304	1067	1113			0	0	
18836	1531	401	66	0	1516	452	0			0	0	
18854	473	345	166	0	197	235	0			0	0	
18957	1281	2123	35	0	438	1315	0			0	0	
19356	874	698	12	0	874	710	0			0	0	
19730	28704	11251	123	0	22231	4901	0			0	0	
19936	2491	1164	46	0	2169	888	0			0	0	
19972	145	123	0	0	95	73	0	0	0	0	0	
20053	871	1269	346	0	688	1432	0			0	0	
20147	371	0	7	0	403	19	-20			0	0	
20370	2924	1829	26	0	1691	622	0			0	0	
20512	562	83	34	0	482	37	0			0	0	
20633	2504	240	48	0	2251	35	0			0	0	
20857	298	20	1	0	278	1	0			0	0	
20866	6138	6770	124	0	1143	1899	0			0	0	
21256	94	29	1	0	64	0	0			0	0	
21359	141	0	0	0	141	0	0			0	0	
21630	359	100	0	0	263	4	0			0	0	
21658	1197	83	54	0	1099	39	0			0	0	
22048	2502	730	195	0	2529	952	0			0	0	
22356	4835	7377	201	0	2303	5046	0			0	0	
22459	1146	452	17	0	928	251	0			0	0	
22543	685	500	7	0	563	385	0			0	0	
22552	459	28	236	0	635	440	0			0	0	
22730	657	20	34	0	685	82	0			0	0	
22936	3324	1884	67	0	3382	2009	0			0	0	
22954	921	347	127	0	806	359	0	0	0	0	0	
23036	15298	22722	200	0	7448	15072	0			0	0	
23045	231	0	0	0	231	0	0			0	0	
23241	64437	65784	1604	0	27261	30212	0			0	0	
23456	926	330	18	0	1070	492	0			0	0	
23504	3953	2000	69	0	2954	1070	0			0	0	
23540	509	161	5	0	409	66	0			0	0	
23643	1695	1260	490	0	1754	1809	0			0	0	
23755	1053	1921	32	0	866	1766	0			0	0	
23812	10335	1632	282	0	7817	747	1351			0	0	
24006	3404	681	10	0	3124	411	0			0	0	
24453	3556	5679	12	0	1494	3629	0			0	0	
24659	349	102	21	0	294	68	0			0	0	
24668	1041	75	23	0	1363	420	0			0	0	
24855	76	0	74	0	33	0	-31			0	0	
24949	11209	4825	57	0	6396	837	768			0	0	
25357	483	156	22	0	360	55	0			0	0	
25647	716	4028	0	0	605	3917	0			0	0	
26149	327	5	1	0	321	0	0			0	0	
26242	2809	0	346	0	3012	549	0			0	0	
26457	199	0	3	0	203	7	0			0	0	
26765	1441	2199	88	0	228	1074	0			0	0	
26859	4584	1420	243	0	4748	1827	0			0	0	
26916	5112	4520	103	0	2172	1390	-293			0	0	
27548	2970	1322	224	0	2412	988	0			0	0	
