"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1465										
242								1892										
279								3089										
354								215										
457								1708										
505								4180	14	0	0	0	1591	686	0	686	1889	
1155								4996										
1351								3332										
1454								37990	7616	0	0	0	7644	193	0	193	22537	
1557								1016										
1632								10535	7299	0	0	0	2865	371	0	371	0	
1669								12325										
1829								10233	0	0	0	0	1680	4344	0	4344	4209	
1856								1409										
2040								3322										
2161								5578										
2376								21755	0	0	0	0	2552	18994	0	18994	209	
2451								6047										
2554								2690										
2732								21022	1790	0	0	0	2505	6757	0	6757	9970	
2750								1652										
2938								7969	5635	0	0	0	1178	1156	0	1156	0	
3252								8193										
3458								5476										
3720								5845										
3953								5588										
4138								14556										
4156								7099										
4231								4357										
4437								3142										
4839								5543										
5005								6455	1148	0	0	0	1260	3942	0	3942	105	
5069								124410	0	63	0	63	183	4838	0	4838	119326	
5135								8153	0	0	0	0	3017	4862	4862	0	274	
5210								16925	6379	0	0	0	9006	1531	0	1531	9	
5331								16784	2513	0	0	0	1694	12164	0	12164	413	
5461								21369	14500	0	0	0	6226	405	0	405	238	
5751								1977										
6039								6278										
6141								2763										
6329								13959	175	0	0	0	6513	7224	0	7224	47	
6972								23538	13039	0	0	0	6285	280	0	280	3934	
7009								6380	0	2000	2000	0	15	4340	0	4340	25	
7045								15869										
7157								576										
7456								1313										
7634								1244										
8033								7267										
8462								14281										
8631								2500										
9357								14376	6123	0	0	0	705	6203	0	6203	1345	
9553								6615										
9807								29963	10545	0	0	0	7333	7763	0	7763	4322	
9955								16798										
10157								2709										
10250								9982	3965	0	0	0	2142	3875	3875	0	0	
10849								2650	48	0	0	0	1595	73	0	73	934	
10858								13673	6691	0	0	0	2101	3514	0	3514	1367	
11145								6223										
11640								8875										
11837								1923										
12030								7544	23	0	0	0	3038	3774	0	3774	709	
12142								7524										
12245								1834										
12311	957802	596630	0	43	0	359759	1370	957802	280510	43			316120	359759			1370	
12647								7645										
12656								453	0	0	0	0	230	213	0	213	10	
12937								18178										
12946								11834	4572	0	0	0	4697	2454	0	2454	111	
12955								7286										
13037								2758										
13103								10257	0	0	0	0	3280	6901	0	6901	76	
13251								6050										
13457								802										
14052								3867										
14155								2383										
14454								3327										
14650								3232										
14753								2523										
14865								3975										
14977								17274										
15536								70410	16393	619	0	619	16370	14105	0	14105	22923	
16337								16349	9	0	0	0	4587	11753	0	11753	0	
16458								8140										
16551								5486										
16748								2351										
16944								6950										
16953								4779										
17110								5419										
17147								57593	0	0	0	0	16438	37661	0	37661	3494	
17259								867										
17464								46696	32196	0	0	0	11382	1668	0	1668	1450	
17839								3534										
17950								5081										
18050								14059										
18135								7256										
18377								6678										
18827								37077	2427	0	0	0	2404	10919	0	10919	21327	
18836								3064										
18854								14675										
18957								1486										
19356								6370										
19730								104714	18561	0	0	0	43101	8970	0	8970	34082	
19936								8119										
19972								7598										
20053								3358										
20147								3016										
20370								13518										
20512								5643										
20633								5363										
20857								8204										
20866								8053										
21256								1141										
21359								571										
21630								2698										
21658								2313										
22048								5952										
22356								15242										
22459								3537										
22543								5733										
22552								1671										
22730								4761										
22936								21500										
22954								5113										
23036								9786	5622	0	0	0	3530	634	0	634	0	
23045								709										
23241								62414	250	0	0	0	28822	32377	0	32377	965	
23456								1462										
23504								28885	18217	0	0	0	5356	1405	0	1405	3907	
23540								2096										
23643								9129										
23755								3437										
23812								90266	0	0	0	0	5341	21732	0	21732	63193	
24006								61206	4842	0	0	0	4395	11456	0	11456	40513	
24453								51531										
24659								1807										
24668								27103										
24855								5158										
24949								15942	0	0	0	0	5873	10021	0	10021	48	
25357								3880										
25647								3656										
26149								791										
26242								9188	0	0	0	0	2738	4916	0	4916	1534	
26457								279										
26765								2829										
26859								22112	25	0	0	0	2816	18406	0	18406	865	
26916								10312	6	0	0	0	1844	8393	0	8393	69	
27548								11055	133	0	0	0	5088	5788	0	5788	46	
27614								12116										
27847								12095	0	0	0	0	3214	7740	0	7740	1141	
28152								7781										
28255								20605										
28349								4520										
28406								6175	1104	0	0	0	2981	1444	0	1444	646	
28572								2145										
28732								919										
29104								15031	8481	0	0	0	3245	1683	0	1683	1622	
29252								2401										
29636								29281	780	0	0	0	7523	20978	0	20978	0	
29850								5953										
29944								7124										
29953								8835										
30052								895	90	0	0	0	442	135	0	135	228	
30155								4688										
30258								10701	4777	0	0	0	2583	2901	0	2901	440	
30418								1409	0	0	0	0	0	1398	0	1398	11	
30502								15168	8574	88	0	88	3927	868	0	868	1711	
30650								11068										
30810	5227277	249120	0	5372	0	4972285	500	5221905	248441	0			679	4972285			500	
31134								7802										
31255								9516	4377	0	0	0	1732	3200	0	3200	207	
31657								3068										
31826								8197										
31835								6016										
32234								4619										
32766								20315										
33147								19701	242	0	0	0	1664	12663	0	12663	5132	
33259								14197	21	0	0	0	1665	3068	0	3068	9443	
33268								3239	1036	0	0	0	1167	536	0	536	500	
33549								3352										
33727								13860	5216	0	0	0	4300	4314	0	4314	30	
33754								1948										
33839								5425	0	0	0	0	263	5162	5162	0	0	
33857								2924										
34153								41525	13828	0	0	0	6646	532	0	532	20519	
34359								855										
34425								5597	5	0	0	0	1841	1825	0	1825	1926	
34434								8181										
34452								4409										
34537								146586	0	0	0	0	10604	34023	0	34023	101959	
34555								14381										
34742								5938	0	0	0	0	1540	4224	0	4224	174	
34836								2177										
34863								735										
35057								6245										
35244								9615	0	0	0	0	3219	6072	0	6072	324	
35301	58715853	183067	1063127	17895453	0	674927	38899279	39757057	182635	0			216	674927			38899279	
35570								31093	0	0	0	0	10720	3390	0	3390	16983	
35646								7308										
35842								3452										
36054								15256	11133	0	0	0	3426	697	0	697	0	
36344								13430	27	0	0	0	3063	8348	0	8348	1992	
36456								7276										
36858								5011										
36933								4103										
37051								1045										
37341								1629										
37350								1665										
37378								11417										
37435								63884	13	0	0	0	8958	11928	11928	0	42985	
37640								43100	0	0	0	0	6174	34248	0	34248	2678	
37659								2001										
37743								3302										
37949								5631										
38535								5507	0	0	0	0	2190	1006	0	1006	2311	
38740								4415										
39327								23416	2409	0	0	0	4676	15142	0	15142	1189	
39420								22075	5603	0	0	0	10615	2076	0	2076	3781	
39475								46144	16542	0	0	0	13474	5708	0	5708	10420	
39756								35552	0	0	0	0	3202	31060	0	31060	1290	
40033								3391										
40350								6255										
40707								23004										
40855								1409										
41245								1152										
41553								2612										
41629								14214										
41647								29270	14464	0	0	0	3882	10866	0	10866	58	
41759								4130										
41825								7835										
41937								3072										
41955								597										
42037								2510										
42055								2404										
42354								5147										
42420								88562	42742	0	0	0	38962	700	0	700	6158	
42448								21019	1781	0	0	0	4103	5661	0	5661	9474	
42457								719										
43052								2101										
43155								12210										
43173	578163	45817	3277	368931	1014	11783	147341	210073	3487	4506			42228	12511			147341	
43351								1795										
43454								2236										
43511								19552	9753	0	0	0	7323	2428	0	2428	48	
43744								3104										
43856								1623										
43959								9370										
44040								5800										
44134	40852	29326	0	0	0	11046	480	40852	24529	0			4797	11046			480	
44433								21165	0	0	0	0	1467	15288	0	15288	4410	
44741								8990	0	0	0	0	4360	4630	0	4630	0	
44750								4261										
44929								4933										
45038								1101										
45047								16831										
45056								4617										
45430								5269										
45458								1045										
45551								14074	1	0	0	0	3159	10914	0	10914	0	
45560								20276	13336	0	0	0	2598	3859	0	3859	483	
45775								13911										
46053								10212										
46941								3874										
47153								3563										
47247								11367										
47256								1135										
47452								15663										
47500								5259	2506	0	0	0	753	1304	116	1188	696	
48057								2361										
48150								2220										
48374								23962	3103	0	0	0	4370	16156	0	16156	333	
48440								2960										
48730								4718	0	0	0	0	2402	2265	0	2265	51	
49054								2822										
49148								2881										
49241								30316										
49344								6428										
49643								1094										
49652								4449										
49821								19787	0	0	0	0	4056	13880	0	13880	1851	
49858								6219										
49951								2664										
50144								1281										
50461								5293										
50546								1072										
50854								3865										
50957								8231										
51253								5580	196	0	0	0	1531	3853	0	3853	0	
51356								2535										
51459								5633										
51730								3693										
51842								6410										
52410								1270										
52719								1760963	0	771	0	771	0	1760046	0	1760046	146	
52951								2022										
53015								4070										
53033								50820	19384	321	0	321	5316	3803	0	3803	21996	
53051								8427										
53239								2891										
53453								1101										
53752								3608										
54049								3461										
54058								5336										
54357								714										
54375								31134	0	0	0	0	3812	27125	0	27125	197	
54441								8033										
54656								4745										
55176								24056										
55336								14429	4230	0	0	0	3646	214	214	0	6339	
55635								1958										
55653								3256										
56258								5085										
56351								62779	9903	0	0	0	10496	41694	0	41694	686	
56427								2776										
56548								2351										
56557	37163	34769	0	0	0	2271	123	37163	30382	0			4387	2271			123	
56717								3993	1421	0	0	0	1665	135	0	135	772	
57040								4864										
57228								4127										
57255								11898										
57451								8838	0	0	0	0	1622	7161	0	7161	55	
57572								4250										
57956								15124										
58074								2686										
58207								4762										
58225								10244										
58243	77622	55308	0	555	0	5750	16009	77622	36510	555			18798	5750			16009	
58355								1634										
58551								2273										
58636								17665										
58757								508										
58971								85605	63362	77	0	77	17400	4765	0	4765	1	
59316								6480	2280	0	0	0	3927	144	0	144	129	
59352								36250										
59679								2573										
59754								583										
60143	3295637	941778	0	75253	0	12549	2266057	3253734	668256	33350			273522	12549			2266057	
60330								19111	9781	0	0	0	5949	3238	0	3238	143	
60433								4693										
60545								5294										
60554								1430										
60648								11569										
61122								19305	8207	0	0	0	7278	1466	0	1466	2354	
61355								12601	9519	0	0	0	2119	863	0	863	100	
61476								6839										
61533								8006	21	0	0	0	1379	4662	0	4662	1944	
61757								6248										
61832								4244										
61953								8134										
62044								1631										
62147								2253										
63050								2704										
63069	425113	278992	0	75903	100	35485	34633	425113	222126	75903			56866	35585			34633	
63078								14117	56	0	0	0	4354	9697	0	9697	10	
63201								2132										
63359								12687										
63573								6412	872	0	0	0	595	3148	0	3148	1797	
63733								7020	17	0	0	0	4029	2974	0	2974	0	
63742								5314										
63751								348										
64150								2465										
64543								16877	59	0	0	0	3585	13233	0	13233	0	
64552								177										
64619	45749	26765	0	0	0	6969	12015	45749	21217	0			5548	6969			12015	
64730								1519										
65205								5328	1416	0	0	0	1421	1374	0	1374	1117	
65241								2255										
65513	281188	427	3331	27391	0	6464	243575	281188	0	30722			427	6464			243575	
65559								11253	1703	0	0	0	1810	415	0	415	7325	
65746								24062	33	0	0	0	5590	18439	0	18439	0	
65858								69138	25378	0	0	0	15285	26762	0	26762	1713	
66015	47705	222	0	142	0	1808	45533	47705	0	142			222	1808			45533	
66154								799										
66172								27969	1789	0	0	0	2527	228	0	228	23425	
66275								3446										
66837								7775	0	0	0	0	2201	5574	0	5574	0	
67142								2106										
67151								12582	0	0	0	0	1780	10799	0	10799	3	
67209								5795	3755	0	0	0	1361	619	0	619	60	
67254								293										
67311								177897	99832	0	0	0	70295	4488	0	4488	3282	
68345								2408										
68448								1700										
68756								8445										
68831								3068										
68840								2505										
68859								39777	6921	0	0	0	4432	580	0	580	27844	
68943								5724										
69333								25017	12808	0	0	0	7907	4302	0	4302	0	
69678								50296	236	0	0	0	2546	46560	0	46560	954	
69847								3832										
70049								12921	0	0	0	0	2248	5648	0	5648	5025	
70058								3683										
70218								8671										
70254								196										
70414								9810	0	0	0	0	2218	6235	0	6235	1357	
70638								5652										
70955								2384										
71318								9942	5915	0	0	0	2517	1315	0	1315	195	
71457								7013										
71859								2071										
72258								20465										
72351								1194										
72454								5759										
72678								6723										
73031								3958										
73116								6722	1953	0	0	0	2058	1937	0	1937	774	
73152								7330										
73554								6925										
73956								1263										
74056								5215										
74140								23554	9278	0	0	0	7027	6117	0	6117	1132	
74159								716										
74403								24498	4222	0	0	0	3701	1930	0	1930	14645	
74449								4414										
74458								3203										
75053								21269	5	0	0	0	1851	548	0	548	18865	
75259								219										
75446								5503										
75455								5807										
75558								6976										
75633	27103546	979597	0	1294282	0	88765	24740902	27103546	830601	1294282			148996	88765			24740902	
75651								996										
76050								7142										
76135								3836										
76153								2244										
76443								1683										
76854								5103										
77150								2865										
77253								2403										
77347								5140										
77422								40359										
77758								19986	16897	0	0	0	1980	763	0	763	346	
77851								35908	14441	0	0	0	2392	6930	0	6930	12145	
78036								4474										
78157								1751										
78241								2376										
78559								5433										
