"IDRSSD"	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONC980	RCONC981	RCONC982	RCONC983	RCONC984	RCONC985	RCONF264	
3386983	0	0	0	0	0	194	41008	47782	0	0	0	0	0	44068	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	1259	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	2030	10235	31803	0	0	0	0	0	3357	1324	0	495	42	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1112	0	0	0	1111	0	0	0	1259	7787	10469	34410	0	1557	5235	34410	41202	0	4450	4450	6587	0	0	0	0	0	0	0	0	0	
3387140	0	0	0	0	0	0	31114	33871	0	0	0	0	0	23710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	1736	0	0	0	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	23254	0	0	0	0	0	5737	0	0	0	0	-311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	895	0	0	0	73	4996	456	29887	0	999	228	29887	31114	0	2311	2311	9861	0	0	0	0	0	0	0	0	0	
3387159	0	0	0	0	0	0	64333	80451	0	0	0	0	0	54660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	1001	0	0	0	0	0	0	-42	1873	14914	0	4404	0	0	0	0	0	0	0	0	6805	47855	0	0	0	0	0	4155	0	4	941	42	-707	0	0	0	0	0	79	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1601	0	0	0	1601	0	0	0	2047	19009	6847	57107	0	3802	3424	57107	64333	0	2153	2153	9580	0	0	0	0	0	0	0	0	0	
3387926	0	0	0	0	0	155	182384	191297	0	0	0	0	0	179919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	599	0	0	0	0	0	0	164	0	8742	0	0	0	0	0	0	0	0	0	0	35548	144371	0	0	0	0	0	4667	433	816	119	69	-1840	123	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14447	0	0	0	14446	0	0	0	944	13415	35617	162047	0	2683	17809	162047	182539	0	3833	3833	27206	0	0	0	0	0	0	0	0	0	
3388080	0	0	0	0	0	615	189341	240825	0	0	0	0	0	176074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	5675	0	0	0	0	0	0	1257	3100	53104	0	0	0	0	0	0	0	0	0	0	17540	158534	0	0	0	0	0	3035	0	0	939	0	-1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8600	0	0	292	8309	0	0	0	4415	60506	17832	168939	0	12101	8916	168939	189956	0	788	788	34351	0	0	0	0	0	0	0	0	0	
3388165	0	0	0	0	0	152	79026	98412	0	0	0	0	0	66107	0	0	0	150	150	0	0	0	150	0	0	0	0	0	0	0	0	0	364	5596	0	0	0	0	0	0	75	5043	23764	0	4895	0	0	0	0	0	0	0	0	30	66077	0	0	0	0	0	2169	0	0	0	0	-1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5407	29360	30	73291	0	5872	15	73291	79178	0	0	0	13749	0	0	0	0	0	0	0	0	0	
3388370	0	0	0	0	0	250	47954	46482	0	0	0	0	0	40178	504	6300	6300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	591	0	0	0	0	0	0	470	0	4686	521	198	0	0	0	0	0	0	0	0	4931	35247	0	0	0	0	0	1527	0	0	0	0	-282	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	1081	0	0	0	179	5561	5452	44366	0	1112	2726	44366	48204	0	284	284	7251	0	0	0	0	0	0	0	0	0	
3388419	0	0	0	0	0	73	80466	99847	0	0	0	0	0	58615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	642	0	0	0	0	0	0	1409	0	21590	0	0	0	0	0	0	0	0	0	0	3036	55579	0	0	0	0	0	15409	0	0	612	0	369	235	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3683	0	0	0	3683	0	0	0	594	23634	3036	74294	0	4727	1518	74294	80539	0	790	790	6826	0	0	0	0	0	0	0	0	0	
3388482	0	0	0	0	0	0	101152	100078	0	0	0	0	0	87121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8485	0	0	0	0	0	0	0	0	10095	0	1013	0	0	0	0	0	0	0	0	0	87121	0	0	0	0	0	2434	0	0	0	0	-1060	0	0	0	0	0	39	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6728	0	0	980	5748	0	0	0	0	21535	980	96355	0	4307	490	96355	101152	0	2955	2955	19499	0	0	0	0	0	0	0	0	0	
3389434	0	0	0	0	0	0	170163	203035	0	0	0	0	0	153057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	379	0	0	0	1147	0	0	-3457	2525	33999	7811	0	0	0	0	0	0	0	0	0	14881	138176	0	0	0	0	0	4980	0	0	0	0	-5501	235	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12389	0	0	12389	0	0	0	0	3432	46155	35081	143391	0	9231	17541	143391	170163	0	10630	10630	19591	0	0	0	0	0	0	0	0	0	
