"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1698	RCFD1699	RCFD1701	RCFD1702	RCFD1703	RCFD1705	RCFD1706	RCFD1707	RCFD1709	RCFD1710	RCFD1711	RCFD1713	RCFD1714	RCFD1715	RCFD1716	RCFD1717	RCFD1718	RCFD1719	RCFD1731	RCFD1732	RCFD1733	RCFD1734	RCFD1735	RCFD1736	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1698	RCON1699	RCON1701	RCON1702	RCON1703	RCON1705	RCON1706	RCON1707	RCON1709	RCON1710	RCON1711	RCON1713	RCON1714	RCON1715	RCON1716	RCON1717	RCON1718	RCON1719	RCON1731	RCON1732	RCON1733	RCON1734	RCON1735	RCON1736	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	
3468665																																																																																																						0	0	0	0	0	0	0	0	0	0	0	2463	2468	0	0	0	0	0	0	5106	5197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	475	0	0	0	0	0	0	8076	8140	0	0	0	0	0	1000	1003	0	0	0	0	0	0	1002	1941	0	0	0	0	0	403	4794	0	0																									0	0	0	0	
3469448																																																																																																						0	0	3500	0	0	0	0	0	0	0	0	14499	14724	0	0	2997	3057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17496	17781	0	0	0	0	0	0	0	2004	0	0	2004	0	0	0	12720	0	0	0	0	0	0	3057	0	0																									0	0	0	0	
3470097																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3470154																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3470864																																																																																																						0	0	3538	0	0	0	0	0	0	0	0	1000	1000	0	0	3190	3263	0	0	10549	10507	0	0	0	0	0	0	3875	3885	0	0	0	0	0	0	8277	8259	0	0	14344	13033	50	50	0	0	50	50	43976	41618	0	0	0	745	747	0	0	0	996	594	1330	50	0	1880	1130	10770	6008	686	0	0	13	7063	3493	8651																									0	330	0	1000	
3470930																																																																																																						0	0	0	0	0	0	0	0	0	0	0	3990	4088	0	0	0	0	0	0	10945	11439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14935	15527	0	0	0	0	0	0	0	3057	0	0	1004	2053	1031	0	0	0	0	0	0	0	11439	0	0	0																									0	0	0	0	
3470985																																																																																																						0	0	6297	0	0	0	0	0	0	0	0	6064	6492	0	0	0	0	0	0	15261	15738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3689	3249	0	0	0	0	0	0	31530	31588	0	0	0	6516	6109	0	0	0	0	0	0	0	0	1062	6429	8358	0	0	0	0	6332	9406	0	0																									0	0	0	0	
3471094																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3471209																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2694	2633	0	0	22209	22923	0	0	0	0	0	0	5952	6079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37727	38507	0	0	0	0	0	0	0	0	6872	6872	0	0	0	0	0	0	0	439	1724	2770	6514	14110	2988	3091																									0	0	0	0	
3472046																																																																																																						0	0	0	0	0	0	0	0	0	0	0	6926	7299	0	0	0	0	0	0	10025	10333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16951	17632	0	0	0	0	0	0	0	1027	0	0	0	1027	2106	2106	2060	0	0	0	1656	0	8677	0	0	0																									0	0	0	0	
3472167																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3472859																																																																																																						0	0	0	0	0	0	0	0	0	0	0	1500	1504	95	97	1025	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	97	2561	2583	0	0	0	0	0	0	0	0	36	36	0	500	0	1004	0	0	0	0	0	0	1043	95	0	0																									0	0	0	0	
3475083																																																																																																						0	0	11484	0	0	0	0	0	0	0	0	0	0	0	0	4916	5023	0	0	44260	44659	0	0	0	0	0	0	43652	40502	0	0	0	0	0	0	0	0	12998	12998	0	0	0	0	0	0	12998	12998	92828	90184	0	0	0	0	0	0	0	12998	0	0	12998	0	0	0	0	0	0	0	0	0	0	49682	0	40502																									0	0	0	0	
3476192																																																																																																						0	0	422648	0	0	0	0	0	0	422648	432407	0	0	0	0	0	0	990	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197920	185398	0	0	0	0	0	0	688018	686161	0	0	0	66460	67366	0	0	0	0	154468	0	0	29872	84765	63526	100339	377046	31480	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3479018																																																																																																						0	0	0	0	0	0	0	0	0	0	0	528	531	0	0	0	0	0	0	2603	2605	0	0	0	0	0	0	1879	1890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5010	5026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	0	812	0	0	0	1794	0	0	1889																									0	0	0	0	
3480069																																																																																																						0	0	2881	0	0	0	0	0	0	0	0	505	513	507	514	0	0	0	0	0	0	0	0	0	0	0	0	2389	2366	0	0	0	0	0	0	0	0	2426	2450	0	0	0	0	0	0	2933	2964	2894	2879	0	0	0	0	0	0	0	397	0	0	0	397	2028	514	0	0	0	0	0	0	0	507	1387	979																									0	0	0	0	
3481703																																																																																																						0	0	5460	0	0	0	0	0	0	0	0	3498	3618	0	0	0	0	0	0	5036	5194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8534	8812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3619	0	0	0	0	0	3237	1956	0	0																									0	0	0	0	
3482045																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3482111																																																																																																						0	0	7113	0	0	0	0	0	0	0	0	0	0	0	0	378	396	0	0	8130	8291	0	0	0	0	0	0	2428	2474	0	0	0	0	0	0	822	815	0	0	0	0	0	0	0	0	0	0	11758	11976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	2925	1445	3835	0	2883	406																									0	0	0	0	
3482166																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3482812																																																																																																						0	0	4185	0	0	0	0	1000	1084	0	0	0	0	0	0	2931	3076	0	0	4578	4729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8509	8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	0	0	0	0	0	6951	854	0	0																									0	0	0	0	
3482894																																																																																																						0	0	0	0	0	0	0	0	0	0	0	11768	11848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11768	11848	0	0	0	0	0	0	0	1001	0	0	0	1001	1256	4023	5568	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3485019																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4871	4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4871	4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3849	1022																									0	0	0	0	
3485215																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3485224																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3485420																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
3486623																																																																																																						0	0	11446	0	0	0	0	0	0	0	0	6070	6168	0	0	0	0	0	0	7723	7806	0	0	0	0	0	0	1186	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14979	15180	0	0	0	0	0	0	0	255	0	0	0	255	4392	1013	508	0	0	0	503	0	1798	5505	0	1206																									0	0	0	0	
3487358																																																																																																						0	0	0	0	0	0	0	0	0	0	0	102	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	102	0	0	0	0	0	0	0	102	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	
