RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2011-06-30
,,,,,,,,,,,,,,,,,,,,242,2011-06-30
,,,,,,,,,,,,,,,,,,,,279,2011-06-30
,,,,,,,,,,,,,,,,,,,,354,2011-06-30
,,,,,,,,,,,,,,,,,,,,457,2011-06-30
,,,,,,,,,,,,,,,,,,,,505,2011-06-30
,,,,,,,,,,,,,,,,,,,,1155,2011-06-30
,,,,,,,,,,,,,,,,,,,,1351,2011-06-30
,,,,,,,,,,,,,,,,,,,,1454,2011-06-30
,,,,,,,,,,,,,,,,,,,,1557,2011-06-30
,,,,,,,,,,,,,,,,,,,,1669,2011-06-30
,,,,,,,,,,,,,,,,,,,,1829,2011-06-30
,,,,,,,,,,,,,,,,,,,,1856,2011-06-30
,,,,,,,,,,,,,,,,,,,,2040,2011-06-30
,,,,,,,,,,,,,,,,,,,,2161,2011-06-30
,,,,,,,,,,,,,,,,,,,,2376,2011-06-30
,,,,,,,,,,,,,,,,,,,,2554,2011-06-30
,,,,,,,,,,,,,,,,,,,,2732,2011-06-30
,,,,,,,,,,,,,,,,,,,,2750,2011-06-30
,,,,,,,,,,,,,,,,,,,,3252,2011-06-30
,,,,,,,,,,,,,,,,,,,,3458,2011-06-30
,,,,,,,,,,,,,,,,,,,,3720,2011-06-30
,,,,,,,,,,,,,,,,,,,,3953,2011-06-30
,,,,,,,,,,,,,,,,,,,,4156,2011-06-30
,,,,,,,,,,,,,,,,,,,,4231,2011-06-30
,,,,,,,,,,,,,,,,,,,,4437,2011-06-30
,,,,,,,,,,,,,,,,,,,,4839,2011-06-30
,,,,,,,,,,,,,,,,,,,,5005,2011-06-30
,,,,,,,,,,,,,,,,,,,,5069,2011-06-30
,,,,,,,,,,,,,,,,,,,,5135,2011-06-30
,,,,,,,,,,,,,,,,,,,,5210,2011-06-30
,,,,,,,,,,,,,,,,,,,,5331,2011-06-30
,,,,,,,,,,,,,,,,,,,,5461,2011-06-30
,,,,,,,,,,,,,,,,,,,,5751,2011-06-30
,,,,,,,,,,,,,,,,,,,,6039,2011-06-30
,,,,,,,,,,,,,,,,,,,,6141,2011-06-30
,,,,,,,,,,,,,,,,,,,,6329,2011-06-30
,,,,,,,,,,,,,,,,,,,,6972,2011-06-30
,,,,,,,,,,,,,,,,,,,,7009,2011-06-30
,,,,,,,,,,,,,,,,,,,,7045,2011-06-30
,,,,,,,,,,,,,,,,,,,,7157,2011-06-30
,,,,,,,,,,,,,,,,,,,,7456,2011-06-30
,,,,,,,,,,,,,,,,,,,,7634,2011-06-30
,,,,,,,,,,,,,,,,,,,,8033,2011-06-30
,,,,,,,,,,,,,,,,,,,,8462,2011-06-30
,,,,,,,,,,,,,,,,,,,,8631,2011-06-30
,,,,,,,,,,,,,,,,,,,,9357,2011-06-30
,,,,,,,,,,,,,,,,,,,,9553,2011-06-30
,,,,,,,,,,,,,,,,,,,,9807,2011-06-30
,,,,,,,,,,,,,,,,,,,,9955,2011-06-30
,,,,,,,,,,,,,,,,,,,,10250,2011-06-30
,,,,,,,,,,,,,,,,,,,,10849,2011-06-30
,,,,,,,,,,,,,,,,,,,,10858,2011-06-30
,,,,,,,,,,,,,,,,,,,,11145,2011-06-30
,,,,,,,,,,,,,,,,,,,,11640,2011-06-30
,,,,,,,,,,,,,,,,,,,,11837,2011-06-30
,,,,,,,,,,,,,,,,,,,,12030,2011-06-30
,,,,,,,,,,,,,,,,,,,,12142,2011-06-30
,,,,,,,,,,,,,,,,,,,,12245,2011-06-30
,,,,,,,,,,,,,,,,,,,,12311,2011-06-30
,,,,,,,,,,,,,,,,,,,,12647,2011-06-30
,,,,,,,,,,,,,,,,,,,,12656,2011-06-30
,,,,,,,,,,,,,,,,,,,,12937,2011-06-30
,,,,,,,,,,,,,,,,,,,,12946,2011-06-30
,,,,,,,,,,,,,,,,,,,,12955,2011-06-30
,,,,,,,,,,,,,,,,,,,,13103,2011-06-30
,,,,,,,,,,,,,,,,,,,,13251,2011-06-30
,,,,,,,,,,,,,,,,,,,,13457,2011-06-30
,,,,,,,,,,,,,,,,,,,,14052,2011-06-30
,,,,,,,,,,,,,,,,,,,,14155,2011-06-30
,,,,,,,,,,,,,,,,,,,,14650,2011-06-30
,,,,,,,,,,,,,,,,,,,,14753,2011-06-30
,,,,,,,,,,,,,,,,,,,,14865,2011-06-30
,,,,,,,,,,,,,,,,,,,,14977,2011-06-30
,,,,,,,,,,,,,,,,,,,,16458,2011-06-30
,,,,,,,,,,,,,,,,,,,,16551,2011-06-30
,,,,,,,,,,,,,,,,,,,,16748,2011-06-30
,,,,,,,,,,,,,,,,,,,,16944,2011-06-30
,,,,,,,,,,,,,,,,,,,,16953,2011-06-30
,,,,,,,,,,,,,,,,,,,,17110,2011-06-30
,,,,,,,,,,,,,,,,,,,,17147,2011-06-30
,,,,,,,,,,,,,,,,,,,,17259,2011-06-30
,,,,,,,,,,,,,,,,,,,,17464,2011-06-30
,,,,,,,,,,,,,,,,,,,,17950,2011-06-30
,,,,,,,,,,,,,,,,,,,,18050,2011-06-30
,,,,,,,,,,,,,,,,,,,,18135,2011-06-30
,,,,,,,,,,,,,,,,,,,,18377,2011-06-30
,,,,,,,,,,,,,,,,,,,,18827,2011-06-30
,,,,,,,,,,,,,,,,,,,,18836,2011-06-30
,,,,,,,,,,,,,,,,,,,,18854,2011-06-30
,,,,,,,,,,,,,,,,,,,,18957,2011-06-30
,,,,,,,,,,,,,,,,,,,,19356,2011-06-30
,,,,,,,,,,,,,,,,,,,,19730,2011-06-30
,,,,,,,,,,,,,,,,,,,,19936,2011-06-30
,,,,,,,,,,,,,,,,,,,,19972,2011-06-30
,,,,,,,,,,,,,,,,,,,,20053,2011-06-30
,,,,,,,,,,,,,,,,,,,,20512,2011-06-30
,,,,,,,,,,,,,,,,,,,,20633,2011-06-30
,,,,,,,,,,,,,,,,,,,,20857,2011-06-30
,,,,,,,,,,,,,,,,,,,,21256,2011-06-30
,,,,,,,,,,,,,,,,,,,,21359,2011-06-30
,,,,,,,,,,,,,,,,,,,,21630,2011-06-30
,,,,,,,,,,,,,,,,,,,,21658,2011-06-30
,,,,,,,,,,,,,,,,,,,,22048,2011-06-30
,,,,,,,,,,,,,,,,,,,,22356,2011-06-30
,,,,,,,,,,,,,,,,,,,,22543,2011-06-30
,,,,,,,,,,,,,,,,,,,,22552,2011-06-30
,,,,,,,,,,,,,,,,,,,,22730,2011-06-30
,,,,,,,,,,,,,,,,,,,,22936,2011-06-30
,,,,,,,,,,,,,,,,,,,,22954,2011-06-30
,,,,,,,,,,,,,,,,,,,,23045,2011-06-30
,,,,,,,,,,,,,,,,,,,,23241,2011-06-30
,,,,,,,,,,,,,,,,,,,,23456,2011-06-30
,,,,,,,,,,,,,,,,,,,,23504,2011-06-30
,,,,,,,,,,,,,,,,,,,,23540,2011-06-30
,,,,,,,,,,,,,,,,,,,,23643,2011-06-30
,,,,,,,,,,,,,,,,,,,,23755,2011-06-30
,,,,,,,,,,,,,,,,,,,,24006,2011-06-30
,,,,,,,,,,,,,,,,,,,,24453,2011-06-30
,,,,,,,,,,,,,,,,,,,,24659,2011-06-30
,,,,,,,,,,,,,,,,,,,,24668,2011-06-30
,,,,,,,,,,,,,,,,,,,,24855,2011-06-30
,,,,,,,,,,,,,,,,,,,,24949,2011-06-30
