RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2004-06-30
,,,,,,,,,,,,,,,,,,,,242,2004-06-30
,,,,,,,,,,,,,,,,,,,,279,2004-06-30
,,,,,,,,,,,,,,,,,,,,354,2004-06-30
,,,,,,,,,,,,,,,,,,,,439,2004-06-30
,,,,,,,,,,,,,,,,,,,,457,2004-06-30
,,,,,,,,,,,,,,,,,,,,505,2004-06-30
,,,,,,,,,,,,,,,,,,,,1146,2004-06-30
,,,,,,,,,,,,,,,,,,,,1155,2004-06-30
,,,,,,,,,,,,,,,,,,,,1351,2004-06-30
,,,,,,,,,,,,,,,,,,,,1454,2004-06-30
,,,,,,,,,,,,,,,,,,,,1557,2004-06-30
,,,,,,,,,,,,,,,,,,,,1632,2004-06-30
,,,,,,,,,,,,,,,,,,,,1669,2004-06-30
,,,,,,,,,,,,,,,,,,,,1829,2004-06-30
,,,,,,,,,,,,,,,,,,,,1856,2004-06-30
,,,,,,,,,,,,,,,,,,,,2040,2004-06-30
,,,,,,,,,,,,,,,,,,,,2161,2004-06-30
,,,,,,,,,,,,,,,,,,,,2376,2004-06-30
,,,,,,,,,,,,,,,,,,,,2451,2004-06-30
,,,,,,,,,,,,,,,,,,,,2554,2004-06-30
,,,,,,,,,,,,,,,,,,,,2732,2004-06-30
,,,,,,,,,,,,,,,,,,,,2750,2004-06-30
,,,,,,,,,,,,,,,,,,,,2938,2004-06-30
,,,,,,,,,,,,,,,,,,,,2956,2004-06-30
,,,,,,,,,,,,,,,,,,,,3252,2004-06-30
,,,,,,,,,,,,,,,,,,,,3458,2004-06-30
,,,,,,,,,,,,,,,,,,,,3506,2004-06-30
,,,,,,,,,,,,,,,,,,,,3579,2004-06-30
,,,,,,,,,,,,,,,,,,,,3720,2004-06-30
,,,,,,,,,,,,,,,,,,,,3953,2004-06-30
,,,,,,,,,,,,,,,,,,,,4138,2004-06-30
,,,,,,,,,,,,,,,,,,,,4147,2004-06-30
,,,,,,,,,,,,,,,,,,,,4156,2004-06-30
,,,,,,,,,,,,,,,,,,,,4231,2004-06-30
,,,,,,,,,,,,,,,,,,,,4437,2004-06-30
,,,,,,,,,,,,,,,,,,,,4745,2004-06-30
,,,,,,,,,,,,,,,,,,,,4839,2004-06-30
,,,,,,,,,,,,,,,,,,,,5005,2004-06-30
,,,,,,,,,,,,,,,,,,,,5050,2004-06-30
,,,,,,,,,,,,,,,,,,,,5069,2004-06-30
,,,,,,,,,,,,,,,,,,,,5135,2004-06-30
,,,,,,,,,,,,,,,,,,,,5210,2004-06-30
,,,,,,,,,,,,,,,,,,,,5247,2004-06-30
,,,,,,,,,,,,,,,,,,,,5274,2004-06-30
,,,,,,,,,,,,,,,,,,,,5331,2004-06-30
,,,,,,,,,,,,,,,,,,,,5461,2004-06-30
,,,,,,,,,,,,,,,,,,,,5751,2004-06-30
,,,,,,,,,,,,,,,,,,,,6039,2004-06-30
,,,,,,,,,,,,,,,,,,,,6057,2004-06-30
,,,,,,,,,,,,,,,,,,,,6141,2004-06-30
,,,,,,,,,,,,,,,,,,,,6329,2004-06-30
,,,,,,,,,,,,,,,,,,,,6972,2004-06-30
,,,,,,,,,,,,,,,,,,,,7009,2004-06-30
,,,,,,,,,,,,,,,,,,,,7045,2004-06-30
,,,,,,,,,,,,,,,,,,,,7157,2004-06-30
,,,,,,,,,,,,,,,,,,,,7166,2004-06-30
,,,,,,,,,,,,,,,,,,,,7456,2004-06-30
,,,,,,,,,,,,,,,,,,,,7634,2004-06-30
,,,,,,,,,,,,,,,,,,,,8033,2004-06-30
,,,,,,,,,,,,,,,,,,,,8417,2004-06-30
,,,,,,,,,,,,,,,,,,,,8462,2004-06-30
,,,,,,,,,,,,,,,,,,,,8547,2004-06-30
,,,,,,,,,,,,,,,,,,,,8631,2004-06-30
,,,,,,,,,,,,,,,,,,,,9357,2004-06-30
,,,,,,,,,,,,,,,,,,,,9553,2004-06-30
,,,,,,,,,,,,,,,,,,,,9807,2004-06-30
,,,,,,,,,,,,,,,,,,,,9955,2004-06-30
,,,,,,,,,,,,,,,,,,,,10157,2004-06-30
,,,,,,,,,,,,,,,,,,,,10250,2004-06-30
,,,,,,,,,,,,,,,,,,,,10849,2004-06-30
,,,,,,,,,,,,,,,,,,,,10858,2004-06-30
,,,,,,,,,,,,,,,,,,,,11145,2004-06-30
,,,,,,,,,,,,,,,,,,,,11640,2004-06-30
,,,,,,,,,,,,,,,,,,,,11837,2004-06-30
,,,,,,,,,,,,,,,,,,,,12030,2004-06-30
,,,,,,,,,,,,,,,,,,,,12058,2004-06-30
,,,,,,,,,,,,,,,,,,,,12142,2004-06-30
,,,,,,,,,,,,,,,,,,,,12245,2004-06-30
,,,,,,,,,,,,,,,,,,,,12311,2004-06-30
,,,,,,,,,,,,,,,,,,,,12647,2004-06-30
,,,,,,,,,,,,,,,,,,,,12656,2004-06-30
,,,,,,,,,,,,,,,,,,,,12937,2004-06-30
,,,,,,,,,,,,,,,,,,,,12946,2004-06-30
,,,,,,,,,,,,,,,,,,,,12955,2004-06-30
,,,,,,,,,,,,,,,,,,,,13037,2004-06-30
,,,,,,,,,,,,,,,,,,,,13103,2004-06-30
,,,,,,,,,,,,,,,,,,,,13251,2004-06-30
,,,,,,,,,,,,,,,,,,,,13309,2004-06-30
,,,,,,,,,,,,,,,,,,,,13457,2004-06-30
,,,,,,,,,,,,,,,,,,,,14052,2004-06-30
,,,,,,,,,,,,,,,,,,,,14155,2004-06-30
,,,,,,,,,,,,,,,,,,,,14258,2004-06-30
,,,,,,,,,,,,,,,,,,,,14409,2004-06-30
,,,,,,,,,,,,,,,,,,,,14454,2004-06-30
,,,,,,,,,,,,,,,,,,,,14650,2004-06-30
,,,,,,,,,,,,,,,,,,,,14753,2004-06-30
,,,,,,,,,,,,,,,,,,,,14865,2004-06-30
,,,,,,,,,,,,,,,,,,,,14940,2004-06-30
