RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,20512,2012-06-30
,,,,,,,,,,,,,,,,,,,,20633,2012-06-30
,,,,,,,,,,,,,,,,,,,,20857,2012-06-30
,,,,,,,,,,,,,,,,,,,,21256,2012-06-30
,,,,,,,,,,,,,,,,,,,,21359,2012-06-30
,,,,,,,,,,,,,,,,,,,,21630,2012-06-30
,,,,,,,,,,,,,,,,,,,,21658,2012-06-30
,,,,,,,,,,,,,,,,,,,,22048,2012-06-30
,,,,,,,,,,,,,,,,,,,,22543,2012-06-30
,,,,,,,,,,,,,,,,,,,,22552,2012-06-30
,,,,,,,,,,,,,,,,,,,,22730,2012-06-30
,,,,,,,,,,,,,,,,,,,,22936,2012-06-30
,,,,,,,,,,,,,,,,,,,,22954,2012-06-30
,,,,,,,,,,,,,,,,,,,,23045,2012-06-30
,,,,,,,,,,,,,,,,,,,,23456,2012-06-30
,,,,,,,,,,,,,,,,,,,,23504,2012-06-30
,,,,,,,,,,,,,,,,,,,,23540,2012-06-30
,,,,,,,,,,,,,,,,,,,,23643,2012-06-30
,,,,,,,,,,,,,,,,,,,,23755,2012-06-30
,,,,,,,,,,,,,,,,,,,,24006,2012-06-30
,,,,,,,,,,,,,,,,,,,,24378,2012-06-30
,,,,,,,,,,,,,,,,,,,,24453,2012-06-30
,,,,,,,,,,,,,,,,,,,,24659,2012-06-30
,,,,,,,,,,,,,,,,,,,,24668,2012-06-30
,,,,,,,,,,,,,,,,,,,,24855,2012-06-30
,,,,,,,,,,,,,,,,,,,,24949,2012-06-30
,,,,,,,,,,,,,,,,,,,,25357,2012-06-30
,,,,,,,,,,,,,,,,,,,,25647,2012-06-30
,,,,,,,,,,,,,,,,,,,,26176,2012-06-30
,,,,,,,,,,,,,,,,,,,,26242,2012-06-30
,,,,,,,,,,,,,,,,,,,,26457,2012-06-30
,,,,,,,,,,,,,,,,,,,,26765,2012-06-30
,,,,,,,,,,,,,,,,,,,,26859,2012-06-30
,,,,,,,,,,,,,,,,,,,,27070,2012-06-30
,,,,,,,,,,,,,,,,,,,,27548,2012-06-30
,,,,,,,,,,,,,,,,,,,,27614,2012-06-30
,,,,,,,,,,,,,,,,,,,,27847,2012-06-30
,,,,,,,,,,,,,,,,,,,,28013,2012-06-30
,,,,,,,,,,,,,,,,,,,,28152,2012-06-30
,,,,,,,,,,,,,,,,,,,,28255,2012-06-30
,,,,,,,,,,,,,,,,,,,,28349,2012-06-30
,,,,,,,,,,,,,,,,,,,,28406,2012-06-30
,,,,,,,,,,,,,,,,,,,,28572,2012-06-30
,,,,,,,,,,,,,,,,,,,,28675,2012-06-30
,,,,,,,,,,,,,,,,,,,,28732,2012-06-30
,,,,,,,,,,,,,,,,,,,,29104,2012-06-30
,,,,,,,,,,,,,,,,,,,,29476,2012-06-30
,,,,,,,,,,,,,,,,,,,,29636,2012-06-30
,,,,,,,,,,,,,,,,,,,,29878,2012-06-30
,,,,,,,,,,,,,,,,,,,,29953,2012-06-30
,,,,,,,,,,,,,,,,,,,,30052,2012-06-30
,,,,,,,,,,,,,,,,,,,,30418,2012-06-30
,,,,,,,,,,,,,,,,,,,,30502,2012-06-30
,,,,,,,,,,,,,,,,,,,,30650,2012-06-30
,,,,,,,,,,,,,,,,,,,,30810,2012-06-30
,,,,,,,,,,,,,,,,,,,,30874,2012-06-30
,,,,,,,,,,,,,,,,,,,,31134,2012-06-30
,,,,,,,,,,,,,,,,,,,,31255,2012-06-30
,,,,,,,,,,,,,,,,,,,,31657,2012-06-30
,,,,,,,,,,,,,,,,,,,,31826,2012-06-30
,,,,,,,,,,,,,,,,,,,,31835,2012-06-30
,,,,,,,,,,,,,,,,,,,,32234,2012-06-30
,,,,,,,,,,,,,,,,,,,,32766,2012-06-30
,,,,,,,,,,,,,,,,,,,,32971,2012-06-30
,,,,,,,,,,,,,,,,,,,,33147,2012-06-30
,,,,,,,,,,,,,,,,,,,,33259,2012-06-30
,,,,,,,,,,,,,,,,,,,,33268,2012-06-30
,,,,,,,,,,,,,,,,,,,,33370,2012-06-30
,,,,,,,,,,,,,,,,,,,,33754,2012-06-30
,,,,,,,,,,,,,,,,,,,,33839,2012-06-30
,,,,,,,,,,,,,,,,,,,,33857,2012-06-30
,,,,,,,,,,,,,,,,,,,,34153,2012-06-30
,,,,,,,,,,,,,,,,,,,,34359,2012-06-30
,,,,,,,,,,,,,,,,,,,,34425,2012-06-30
,,,,,,,,,,,,,,,,,,,,34434,2012-06-30
