RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2013-12-31
,,,,,,,,,,,,,,,,,,,,242,2013-12-31
,,,,,,,,,,,,,,,,,,,,279,2013-12-31
,,,,,,,,,,,,,,,,,,,,354,2013-12-31
,,,,,,,,,,,,,,,,,,,,457,2013-12-31
,,,,,,,,,,,,,,,,,,,,505,2013-12-31
,,,,,,,,,,,,,,,,,,,,1155,2013-12-31
,,,,,,,,,,,,,,,,,,,,1351,2013-12-31
,,,,,,,,,,,,,,,,,,,,1454,2013-12-31
,,,,,,,,,,,,,,,,,,,,1557,2013-12-31
,,,,,,,,,,,,,,,,,,,,1669,2013-12-31
,,,,,,,,,,,,,,,,,,,,1829,2013-12-31
,,,,,,,,,,,,,,,,,,,,1856,2013-12-31
,,,,,,,,,,,,,,,,,,,,2040,2013-12-31
,,,,,,,,,,,,,,,,,,,,2161,2013-12-31
,,,,,,,,,,,,,,,,,,,,2376,2013-12-31
,,,,,,,,,,,,,,,,,,,,2554,2013-12-31
,,,,,,,,,,,,,,,,,,,,2732,2013-12-31
,,,,,,,,,,,,,,,,,,,,2750,2013-12-31
,,,,,,,,,,,,,,,,,,,,3177,2013-12-31
,,,,,,,,,,,,,,,,,,,,3252,2013-12-31
,,,,,,,,,,,,,,,,,,,,3458,2013-12-31
,,,,,,,,,,,,,,,,,,,,3720,2013-12-31
,,,,,,,,,,,,,,,,,,,,3971,2013-12-31
,,,,,,,,,,,,,,,,,,,,4156,2013-12-31
,,,,,,,,,,,,,,,,,,,,4231,2013-12-31
,,,,,,,,,,,,,,,,,,,,4437,2013-12-31
,,,,,,,,,,,,,,,,,,,,4839,2013-12-31
,,,,,,,,,,,,,,,,,,,,5069,2013-12-31
,,,,,,,,,,,,,,,,,,,,5135,2013-12-31
,,,,,,,,,,,,,,,,,,,,5210,2013-12-31
,,,,,,,,,,,,,,,,,,,,5461,2013-12-31
,,,,,,,,,,,,,,,,,,,,5751,2013-12-31
,,,,,,,,,,,,,,,,,,,,6039,2013-12-31
,,,,,,,,,,,,,,,,,,,,6141,2013-12-31
,,,,,,,,,,,,,,,,,,,,6329,2013-12-31
,,,,,,,,,,,,,,,,,,,,7009,2013-12-31
,,,,,,,,,,,,,,,,,,,,7045,2013-12-31
,,,,,,,,,,,,,,,,,,,,7072,2013-12-31
,,,,,,,,,,,,,,,,,,,,7157,2013-12-31
,,,,,,,,,,,,,,,,,,,,7456,2013-12-31
,,,,,,,,,,,,,,,,,,,,7634,2013-12-31
,,,,,,,,,,,,,,,,,,,,8033,2013-12-31
,,,,,,,,,,,,,,,,,,,,8462,2013-12-31
,,,,,,,,,,,,,,,,,,,,8631,2013-12-31
,,,,,,,,,,,,,,,,,,,,9357,2013-12-31
,,,,,,,,,,,,,,,,,,,,9553,2013-12-31
,,,,,,,,,,,,,,,,,,,,9807,2013-12-31
,,,,,,,,,,,,,,,,,,,,9955,2013-12-31
,,,,,,,,,,,,,,,,,,,,10250,2013-12-31
,,,,,,,,,,,,,,,,,,,,10849,2013-12-31
,,,,,,,,,,,,,,,,,,,,10858,2013-12-31
,,,,,,,,,,,,,,,,,,,,11145,2013-12-31
,,,,,,,,,,,,,,,,,,,,11275,2013-12-31
,,,,,,,,,,,,,,,,,,,,11640,2013-12-31
,,,,,,,,,,,,,,,,,,,,11837,2013-12-31
,,,,,,,,,,,,,,,,,,,,12030,2013-12-31
,,,,,,,,,,,,,,,,,,,,12142,2013-12-31
,,,,,,,,,,,,,,,,,,,,12179,2013-12-31
,,,,,,,,,,,,,,,,,,,,12245,2013-12-31
,,,,,,,,,,,,,,,,,,,,12311,2013-12-31
,,,,,,,,,,,,,,,,,,,,12647,2013-12-31
,,,,,,,,,,,,,,,,,,,,12656,2013-12-31
,,,,,,,,,,,,,,,,,,,,12937,2013-12-31
,,,,,,,,,,,,,,,,,,,,12946,2013-12-31
,,,,,,,,,,,,,,,,,,,,12955,2013-12-31
,,,,,,,,,,,,,,,,,,,,13103,2013-12-31
,,,,,,,,,,,,,,,,,,,,13251,2013-12-31
,,,,,,,,,,,,,,,,,,,,13457,2013-12-31
,,,,,,,,,,,,,,,,,,,,14052,2013-12-31
,,,,,,,,,,,,,,,,,,,,14155,2013-12-31
,,,,,,,,,,,,,,,,,,,,14650,2013-12-31
,,,,,,,,,,,,,,,,,,,,14753,2013-12-31
,,,,,,,,,,,,,,,,,,,,14865,2013-12-31
,,,,,,,,,,,,,,,,,,,,14977,2013-12-31
,,,,,,,,,,,,,,,,,,,,16458,2013-12-31
,,,,,,,,,,,,,,,,,,,,16551,2013-12-31
,,,,,,,,,,,,,,,,,,,,16748,2013-12-31
,,,,,,,,,,,,,,,,,,,,16944,2013-12-31
,,,,,,,,,,,,,,,,,,,,16953,2013-12-31
,,,,,,,,,,,,,,,,,,,,17110,2013-12-31
,,,,,,,,,,,,,,,,,,,,17147,2013-12-31
,,,,,,,,,,,,,,,,,,,,17259,2013-12-31
,,,,,,,,,,,,,,,,,,,,17464,2013-12-31
,,,,,,,,,,,,,,,,,,,,17950,2013-12-31
,,,,,,,,,,,,,,,,,,,,17978,2013-12-31
,,,,,,,,,,,,,,,,,,,,18050,2013-12-31
,,,,,,,,,,,,,,,,,,,,18135,2013-12-31
,,,,,,,,,,,,,,,,,,,,18377,2013-12-31
,,,,,,,,,,,,,,,,,,,,18827,2013-12-31
,,,,,,,,,,,,,,,,,,,,18836,2013-12-31
,,,,,,,,,,,,,,,,,,,,18854,2013-12-31
,,,,,,,,,,,,,,,,,,,,19356,2013-12-31
,,,,,,,,,,,,,,,,,,,,19730,2013-12-31
,,,,,,,,,,,,,,,,,,,,19936,2013-12-31
,,,,,,,,,,,,,,,,,,,,19972,2013-12-31
,,,,,,,,,,,,,,,,,,,,20053,2013-12-31
,,,,,,,,,,,,,,,,,,,,20512,2013-12-31
