RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,37,2019-06-30
,,,,,,,,,,,,,,,,,,,,242,2019-06-30
,,,,,,,,,,,,,,,,,,,,279,2019-06-30
,,,,,,,,,,,,,,,,,,,,354,2019-06-30
,,,,,,,,,,,,,,,,,,,,457,2019-06-30
,,,,,,,,,,,,,,,,,,,,505,2019-06-30
,,,,,,,,,,,,,,,,,,,,1155,2019-06-30
,,,,,,,,,,,,,,,,,,,,1351,2019-06-30
,,,,,,,,,,,,,,,,,,,,1454,2019-06-30
,,,,,,,,,,,,,,,,,,,,1669,2019-06-30
,,,,,,,,,,,,,,,,,,,,1856,2019-06-30
,,,,,,,,,,,,,,,,,,,,2040,2019-06-30
,,,,,,,,,,,,,,,,,,,,2161,2019-06-30
,,,,,,,,,,,,,,,,,,,,2376,2019-06-30
,,,,,,,,,,,,,,,,,,,,2732,2019-06-30
,,,,,,,,,,,,,,,,,,,,2750,2019-06-30
,,,,,,,,,,,,,,,,,,,,3252,2019-06-30
,,,,,,,,,,,,,,,,,,,,3458,2019-06-30
,,,,,,,,,,,,,,,,,,,,3720,2019-06-30
,,,,,,,,,,,,,,,,,,,,3971,2019-06-30
,,,,,,,,,,,,,,,,,,,,4156,2019-06-30
,,,,,,,,,,,,,,,,,,,,4231,2019-06-30
,,,,,,,,,,,,,,,,,,,,5069,2019-06-30
,,,,,,,,,,,,,,,,,,,,5135,2019-06-30
,,,,,,,,,,,,,,,,,,,,5210,2019-06-30
,,,,,,,,,,,,,,,,,,,,5461,2019-06-30
,,,,,,,,,,,,,,,,,,,,5751,2019-06-30
,,,,,,,,,,,,,,,,,,,,6039,2019-06-30
,,,,,,,,,,,,,,,,,,,,6329,2019-06-30
,,,,,,,,,,,,,,,,,,,,7009,2019-06-30
,,,,,,,,,,,,,,,,,,,,7045,2019-06-30
,,,,,,,,,,,,,,,,,,,,7072,2019-06-30
,,,,,,,,,,,,,,,,,,,,7456,2019-06-30
,,,,,,,,,,,,,,,,,,,,7634,2019-06-30
,,,,,,,,,,,,,,,,,,,,8033,2019-06-30
,,,,,,,,,,,,,,,,,,,,8462,2019-06-30
,,,,,,,,,,,,,,,,,,,,8631,2019-06-30
,,,,,,,,,,,,,,,,,,,,9357,2019-06-30
,,,,,,,,,,,,,,,,,,,,9553,2019-06-30
,,,,,,,,,,,,,,,,,,,,9807,2019-06-30
,,,,,,,,,,,,,,,,,,,,9955,2019-06-30
,,,,,,,,,,,,,,,,,,,,10250,2019-06-30
,,,,,,,,,,,,,,,,,,,,10849,2019-06-30
,,,,,,,,,,,,,,,,,,,,11145,2019-06-30
,,,,,,,,,,,,,,,,,,,,11640,2019-06-30
,,,,,,,,,,,,,,,,,,,,11837,2019-06-30
,,,,,,,,,,,,,,,,,,,,12030,2019-06-30
,,,,,,,,,,,,,,,,,,,,12142,2019-06-30
,,,,,,,,,,,,,,,,,,,,12179,2019-06-30
,,,,,,,,,,,,,,,,,,,,12311,2019-06-30
,,,,,,,,,,,,,,,,,,,,12647,2019-06-30
,,,,,,,,,,,,,,,,,,,,12656,2019-06-30
,,,,,,,,,,,,,,,,,,,,12946,2019-06-30
,,,,,,,,,,,,,,,,,,,,13103,2019-06-30
,,,,,,,,,,,,,,,,,,,,13251,2019-06-30
,,,,,,,,,,,,,,,,,,,,13457,2019-06-30
,,,,,,,,,,,,,,,,,,,,14155,2019-06-30
,,,,,,,,,,,,,,,,,,,,14650,2019-06-30
,,,,,,,,,,,,,,,,,,,,14753,2019-06-30
,,,,,,,,,,,,,,,,,,,,14865,2019-06-30
,,,,,,,,,,,,,,,,,,,,14977,2019-06-30
,,,,,,,,,,,,,,,,,,,,16551,2019-06-30
,,,,,,,,,,,,,,,,,,,,16748,2019-06-30
,,,,,,,,,,,,,,,,,,,,17110,2019-06-30
,,,,,,,,,,,,,,,,,,,,17147,2019-06-30
,,,,,,,,,,,,,,,,,,,,17259,2019-06-30
,,,,,,,,,,,,,,,,,,,,17950,2019-06-30
,,,,,,,,,,,,,,,,,,,,17978,2019-06-30
,,,,,,,,,,,,,,,,,,,,18050,2019-06-30
,,,,,,,,,,,,,,,,,,,,18135,2019-06-30
,,,,,,,,,,,,,,,,,,,,18827,2019-06-30
,,,,,,,,,,,,,,,,,,,,18836,2019-06-30
,,,,,,,,,,,,,,,,,,,,18854,2019-06-30
,,,,,,,,,,,,,,,,,,,,19356,2019-06-30
,,,,,,,,,,,,,,,,,,,,19936,2019-06-30
,,,,,,,,,,,,,,,,,,,,19972,2019-06-30
,,,,,,,,,,,,,,,,,,,,20053,2019-06-30
,,,,,,,,,,,,,,,,,,,,20633,2019-06-30
,,,,,,,,,,,,,,,,,,,,20857,2019-06-30
,,,,,,,,,,,,,,,,,,,,21256,2019-06-30
,,,,,,,,,,,,,,,,,,,,21359,2019-06-30
,,,,,,,,,,,,,,,,,,,,21658,2019-06-30
,,,,,,,,,,,,,,,,,,,,22048,2019-06-30
,,,,,,,,,,,,,,,,,,,,22543,2019-06-30
,,,,,,,,,,,,,,,,,,,,22552,2019-06-30
,,,,,,,,,,,,,,,,,,,,22730,2019-06-30
,,,,,,,,,,,,,,,,,,,,23456,2019-06-30
,,,,,,,,,,,,,,,,,,,,23504,2019-06-30
,,,,,,,,,,,,,,,,,,,,23643,2019-06-30
,,,,,,,,,,,,,,,,,,,,23755,2019-06-30
,,,,,,,,,,,,,,,,,,,,24006,2019-06-30
,,,,,,,,,,,,,,,,,,,,24378,2019-06-30
,,,,,,,,,,,,,,,,,,,,24453,2019-06-30
,,,,,,,,,,,,,,,,,,,,24659,2019-06-30
,,,,,,,,,,,,,,,,,,,,24668,2019-06-30
,,,,,,,,,,,,,,,,,,,,24949,2019-06-30
,,,,,,,,,,,,,,,,,,,,25357,2019-06-30
,,,,,,,,,,,,,,,,,,,,25647,2019-06-30
,,,,,,,,,,,,,,,,,,,,26176,2019-06-30
,,,,,,,,,,,,,,,,,,,,26457,2019-06-30
,,,,,,,,,,,,,,,,,,,,26765,2019-06-30
,,,,,,,,,,,,,,,,,,,,27070,2019-06-30
,,,,,,,,,,,,,,,,,,,,27548,2019-06-30
,,,,,,,,,,,,,,,,,,,,27614,2019-06-30
,,,,,,,,,,,,,,,,,,,,27847,2019-06-30
,,,,,,,,,,,,,,,,,,,,28013,2019-06-30
,,,,,,,,,,,,,,,,,,,,28152,2019-06-30
,,,,,,,,,,,,,,,,,,,,28675,2019-06-30
,,,,,,,,,,,,,,,,,,,,28732,2019-06-30
,,,,,,,,,,,,,,,,,,,,29476,2019-06-30
,,,,,,,,,,,,,,,,,,,,29636,2019-06-30
,,,,,,,,,,,,,,,,,,,,29878,2019-06-30
,,,,,,,,,,,,,,,,,,,,30052,2019-06-30
,,,,,,,,,,,,,,,,,,,,30502,2019-06-30
,,,,,,,,,,,,,,,,,,,,30650,2019-06-30
,,,,,,,,,,,,,,,,,,,,30810,2019-06-30
,,,,,,,,,,,,,,,,,,,,31134,2019-06-30
,,,,,,,,,,,,,,,,,,,,31255,2019-06-30
,,,,,,,,,,,,,,,,,,,,31657,2019-06-30
,,,,,,,,,,,,,,,,,,,,31826,2019-06-30
,,,,,,,,,,,,,,,,,,,,31835,2019-06-30
,,,,,,,,,,,,,,,,,,,,32234,2019-06-30
,,,,,,,,,,,,,,,,,,,,32766,2019-06-30
,,,,,,,,,,,,,,,,,,,,32971,2019-06-30
,,,,,,,,,,,,,,,,,,,,33147,2019-06-30
,,,,,,,,,,,,,,,,,,,,33259,2019-06-30
,,,,,,,,,,,,,,,,,,,,33268,2019-06-30
,,,,,,,,,,,,,,,,,,,,33370,2019-06-30
,,,,,,,,,,,,,,,,,,,,33839,2019-06-30
,,,,,,,,,,,,,,,,,,,,33857,2019-06-30
,,,,,,,,,,,,,,,,,,,,34425,2019-06-30
,,,,,,,,,,,,,,,,,,,,34434,2019-06-30
,,,,,,,,,,,,,,,,,,,,34537,2019-06-30
,,,,,,,,,,,,,,,,,,,,34555,2019-06-30
,,,,,,,,,,,,,,,,,,,,34742,2019-06-30
,,,,,,,,,,,,,,,,,,,,35057,2019-06-30
,,,,,,,,,,,,,,,,,,,,35301,2019-06-30
,,,,,,,,,,,,,,,,,,,,35570,2019-06-30
,,,,,,,,,,,,,,,,,,,,35646,2019-06-30
,,,,,,,,,,,,,,,,,,,,35879,2019-06-30
,,,,,,,,,,,,,,,,,,,,36456,2019-06-30
,,,,,,,,,,,,,,,,,,,,36933,2019-06-30
,,,,,,,,,,,,,,,,,,,,37051,2019-06-30
,,,,,,,,,,,,,,,,,,,,37341,2019-06-30
,,,,,,,,,,,,,,,,,,,,37435,2019-06-30
,,,,,,,,,,,,,,,,,,,,37640,2019-06-30
,,,,,,,,,,,,,,,,,,,,37659,2019-06-30
,,,,,,,,,,,,,,,,,,,,37949,2019-06-30
,,,,,,,,,,,,,,,,,,,,38740,2019-06-30
,,,,,,,,,,,,,,,,,,,,39327,2019-06-30
,,,,,,,,,,,,,,,,,,,,39756,2019-06-30
,,,,,,,,,,,,,,,,,,,,40033,2019-06-30
,,,,,,,,,,,,,,,,,,,,40499,2019-06-30
,,,,,,,,,,,,,,,,,,,,40855,2019-06-30
,,,,,,,,,,,,,,,,,,,,41245,2019-06-30
,,,,,,,,,,,,,,,,,,,,41553,2019-06-30
,,,,,,,,,,,,,,,,,,,,41629,2019-06-30
,,,,,,,,,,,,,,,,,,,,41825,2019-06-30
,,,,,,,,,,,,,,,,,,,,41937,2019-06-30
,,,,,,,,,,,,,,,,,,,,41955,2019-06-30
,,,,,,,,,,,,,,,,,,,,42037,2019-06-30
,,,,,,,,,,,,,,,,,,,,42354,2019-06-30
