RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,3738,1060,19,0,2784,125,,,,,,,,,,,,,,,,,,,,,,,6972,2001-09-30
,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7009,2001-09-30
,,716,135,16,0,617,52,,,,,,,,,,,,,,,,,,,,,,,7045,2001-09-30
,,145,345,6,0,152,358,,,,,,,,,,,,,,,,,,,,,,,7157,2001-09-30
,,3511,515,25,0,3120,149,,,,,,,,,,,,,,,,,,,,,,,7166,2001-09-30
,,428,80,150,0,403,205,,,,,,,,,,,,,,,,,,,,,,,7456,2001-09-30
,,484,70,9,0,463,58,,,,,,,,,,,,,,,,,,,,,,,7634,2001-09-30
,,617,4,51,0,695,133,,,,,,,,,,,,,,,,,,,,,,,8033,2001-09-30
,,498,26,4,0,501,33,,,,,,,,,,,,,,,,,,,,,,,8154,2001-09-30
,,194,-178,0,0,372,0,,,,,,,,,,,,,,,,,,,,,,,8417,2001-09-30
,,348,0,14,0,362,28,,,,,,,,,,,,,,,,,,,,,,,8462,2001-09-30
,,1175,167,19,0,1135,146,,,,,,,,,,,,,,,,,,,,,,,8547,2001-09-30
,,252,82,4,0,272,106,,,,,,,,,,,,,,,,,,,,,,,8631,2001-09-30
,,7269,1211,138,0,6378,458,,,,,,,,,,,,,,,,,,,,,,,9115,2001-09-30
,,1150,125,1,0,1027,3,,,,,,,,,,,,,,,,,,,,,,,9160,2001-09-30
,,3084,262,12,0,2951,141,,,,,,,,,,,,,,,,,,,,,,,9339,2001-09-30
,,2477,525,15,0,2134,197,,,,,,,,,,,,,,,,,,,,,,,9357,2001-09-30
,,430,15,3,0,412,0,,,,,,,,,,,,,,,,,,,,,,,9553,2001-09-30
,,31821,1750,151,0,30056,136,,,,,,,,,,,,,,,,,,,,,,,9807,2001-09-30
,,488,0,15,0,488,15,,,,,,,,,,,,,,,,,,,,,,,9955,2001-09-30
,,574,100,47,0,498,71,,,,,,,,,,,,,,,,,,,,,,,10157,2001-09-30
,,1502,330,38,0,1349,215,,,,,,,,,,,,,,,,,,,,,,,10250,2001-09-30
,,357,0,26,0,345,14,,,,,,,,,,,,,,,,,,,,,,,10577,2001-09-30
,,1433,120,3,0,1325,15,,,,,,,,,,,,,,,,,,,,,,,10849,2001-09-30
,,3841,4836,40,0,3988,5031,,,,,,,,,,,,,,,,,,,,,,,10858,2001-09-30
,,836,174,15,0,741,94,,,,,,,,,,,,,,,,,,,,,,,11145,2001-09-30
,,381,22,9,0,362,12,,,,,,,,,,,,,,,,,,,,,,,11350,2001-09-30
,,1170,300,107,0,1048,285,,,,,,,,,,,,,,,,,,,,,,,11640,2001-09-30
,,1182,0,52,0,1159,29,,,,,,,,,,,,,,,,,,,,,,,11837,2001-09-30
,,4184,1125,704,0,3587,1232,,,,,,,,,,,,,,,,,,,,,,,12030,2001-09-30
,,555,290,59,0,518,312,,,,,,,,,,,,,,,,,,,,,,,12058,2001-09-30
,,1053,80,106,0,1058,191,,,,,,,,,,,,,,,,,,,,,,,12142,2001-09-30
,,688,28,15,0,669,24,,,,,,,,,,,,,,,,,,,,,,,12245,2001-09-30
,,358717,199494,27206,0,297175,160507,,,,,,,,,,,,,,,,,,,,,,,12311,2001-09-30
,,81,0,0,0,81,0,,,,,,,,,,,,,,,,,,,,,,,12357,2001-09-30
,,8999,3820,289,0,8145,3255,,,,,,,,,,,,,,,,,,,,,,,12405,2001-09-30
,,401,36,0,0,390,25,,,,,,,,,,,,,,,,,,,,,,,12647,2001-09-30
,,113,13,5,0,95,0,,,,,,,,,,,,,,,,,,,,,,,12656,2001-09-30
,,755,54,0,0,703,2,,,,,,,,,,,,,,,,,,,,,,,12937,2001-09-30
,,3620,403,333,0,3787,903,,,,,,,,,,,,,,,,,,,,,,,12946,2001-09-30
,,869,150,150,0,770,201,,,,,,,,,,,,,,,,,,,,,,,12955,2001-09-30
,,1070,383,21,0,1095,429,,,,,,,,,,,,,,,,,,,,,,,13037,2001-09-30
,,3856,313,61,0,3495,13,,,,,,,,,,,,,,,,,,,,,,,13103,2001-09-30
,,291,0,20,0,277,6,,,,,,,,,,,,,,,,,,,,,,,13251,2001-09-30
,,56905,13724,3305,0,59291,19415,,,,,,,,,,,,,,,,,,,,,,,13309,2001-09-30
,,349,0,8,0,341,0,,,,,,,,,,,,,,,,,,,,,,,13457,2001-09-30
,,553,90,0,0,474,11,,,,,,,,,,,,,,,,,,,,,,,14052,2001-09-30
,,771,266,37,0,620,152,,,,,,,,,,,,,,,,,,,,,,,14155,2001-09-30
,,4475,540,52,0,4224,341,,,,,,,,,,,,,,,,,,,,,,,14258,2001-09-30
,,194391,61553,8960,0,158927,33306,,,,,,,,,,,,,,,,,,,,,,,14409,2001-09-30
,,699,40,8,0,681,30,,,,,,,,,,,,,,,,,,,,,,,14454,2001-09-30
,,248,120,29,0,285,186,,,,,,,,,,,,,,,,,,,,,,,14650,2001-09-30
,,496,0,3,0,493,0,,,,,,,,,,,,,,,,,,,,,,,14753,2001-09-30
,,669,31,12,0,667,41,,,,,,,,,,,,,,,,,,,,,,,14865,2001-09-30
,,124,30,8,0,207,121,,,,,,,,,,,,,,,,,,,,,,,14931,2001-09-30
,,790,108,0,0,723,41,,,,,,,,,,,,,,,,,,,,,,,14940,2001-09-30
,,8246,2675,234,0,9443,4106,,,,,,,,,,,,,,,,,,,,,,,15536,2001-09-30
,,2814,435,1,0,2409,31,,,,,,,,,,,,,,,,,,,,,,,15732,2001-09-30
,,1288,375,39,0,1051,177,,,,,,,,,,,,,,,,,,,,,,,16337,2001-09-30
,,510,4,4,0,503,1,,,,,,,,,,,,,,,,,,,,,,,16355,2001-09-30
,,1467,40,17,0,1767,357,,,,,,,,,,,,,,,,,,,,,,,16458,2001-09-30
,,966,225,2,0,759,20,,,,,,,,,,,,,,,,,,,,,,,16551,2001-09-30
,,298,85,5,0,271,63,,,,,,,,,,,,,,,,,,,,,,,16748,2001-09-30
,,4425,1800,0,0,4869,2244,,,,,,,,,,,,,,,,,,,,,,,16766,2001-09-30
,,290,157,23,0,473,363,,,,,,,,,,,,,,,,,,,,,,,16944,2001-09-30
,,120,12,2,0,111,5,,,,,,,,,,,,,,,,,,,,,,,16953,2001-09-30
,,487,117,0,0,370,0,,,,,,,,,,,,,,,,,,,,,,,17110,2001-09-30
,,5345,1325,156,0,4817,953,,,,,,,,,,,,,,,,,,,,,,,17147,2001-09-30
,,129,5,5,0,134,15,,,,,,,,,,,,,,,,,,,,,,,17259,2001-09-30
,,6020,2815,189,0,5020,2004,,,,,,,,,,,,,,,,,,,,,,,17464,2001-09-30
,,2145,1275,97,0,1242,469,,,,,,,,,,,,,,,,,,,,,,,17549,2001-09-30
,,235,217,10,0,222,214,,,,,,,,,,,,,,,,,,,,,,,17642,2001-09-30
,,1894,30,400,0,1684,220,,,,,,,,,,,,,,,,,,,,,,,17839,2001-09-30
,,296,45,0,0,253,2,,,,,,,,,,,,,,,,,,,,,,,17950,2001-09-30
,,1426,225,39,0,1254,92,,,,,,,,,,,,,,,,,,,,,,,18050,2001-09-30
,,7774,750,69,0,5393,377,,,,,,,,,,,,,,,,,,,,,,,18126,2001-09-30
,,704,135,64,0,607,102,,,,,,,,,,,,,,,,,,,,,,,18135,2001-09-30
,,4937,1150,166,0,5042,1421,,,,,,,,,,,,,,,,,,,,,,,18368,2001-09-30
,,42,0,0,0,42,0,,,,,,,,,,,,,,,,,,,,,,,18377,2001-09-30
,,1173,59,20,0,1154,60,,,,,,,,,,,,,,,,,,,,,,,18827,2001-09-30
,,747,165,56,0,686,160,,,,,,,,,,,,,,,,,,,,,,,18836,2001-09-30
,,185,142,6,0,201,164,,,,,,,,,,,,,,,,,,,,,,,18854,2001-09-30
,,1986,200,47,0,1843,104,,,,,,,,,,,,,,,,,,,,,,,18863,2001-09-30
,,336,45,48,0,264,21,,,,,,,,,,,,,,,,,,,,,,,18957,2001-09-30
,,926,225,42,0,1082,423,,,,,,,,,,,,,,,,,,,,,,,19356,2001-09-30
,,11579,0,5,0,11592,18,,,,,,,,,,,,,,,,,,,,,,,19730,2001-09-30
,,818,710,41,0,1024,957,,,,,,,,,,,,,,,,,,,,,,,19936,2001-09-30
,,76,5,2,0,69,0,,,,,,,,,,,,,,,,,,,,,,,19972,2001-09-30
