RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,1012,90,45,0,1019,142,0,0,0,0,0,,,,,,,,,,,,,,,,,,37,2005-06-30
,,159,0,1,0,158,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,242,2005-06-30
,,439,2,10,0,433,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,279,2005-06-30
,,173,0,14,0,182,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,354,2005-06-30
,,1552,210,27,0,1696,381,0,0,0,0,0,,,,,,,,,,,,,,,,,,439,2005-06-30
,,289,10,5,0,322,48,0,0,0,0,0,,,,,,,,,,,,,,,,,,457,2005-06-30
,,2177,0,7,0,2214,44,0,0,0,0,0,,,,,,,,,,,,,,,,,,505,2005-06-30
,,3563,531,47,0,3359,374,0,,,0,0,,,,,,,,,,,,,,,,,,1146,2005-06-30
,,1774,150,13,0,1646,35,0,0,0,0,0,,,,,,,,,,,,,,,,,,1155,2005-06-30
,,718,120,10,0,720,132,0,0,0,0,0,,,,,,,,,,,,,,,,,,1351,2005-06-30
,,985,180,40,0,800,35,0,0,0,0,0,,,,,,,,,,,,,,,,,,1454,2005-06-30
,,380,0,11,0,369,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1557,2005-06-30
,,5040,1115,33,0,3961,69,0,0,0,0,0,,,,,,,,,,,,,,,,,,1632,2005-06-30
,,1271,131,38,0,1200,98,0,0,0,0,0,,,,,,,,,,,,,,,,,,1669,2005-06-30
,,3118,359,3,0,2940,184,0,0,0,0,0,,,,,,,,,,,,,,,,,,1829,2005-06-30
,,116,7,7,0,104,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,1856,2005-06-30
,,1801,180,29,0,1684,92,0,0,0,0,0,,,,,,,,,,,,,,,,,,2040,2005-06-30
,,526,14,7,0,520,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,2161,2005-06-30
,,6172,0,0,0,6172,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2376,2005-06-30
,,186,0,0,0,187,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,2451,2005-06-30
,,56,12,0,0,44,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,2554,2005-06-30
,,3310,150,17,0,3163,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,2732,2005-06-30
,,549,-60,40,0,615,46,0,0,0,0,0,,,,,,,,,,,,,,,,,,2750,2005-06-30
,,5101,1195,66,0,4997,1157,0,0,0,0,0,,,,,,,,,,,,,,,,,,2938,2005-06-30
,,704,0,1,0,704,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,2956,2005-06-30
,,972,240,110,0,960,338,0,0,0,0,0,,,,,,,,,,,,,,,,,,3252,2005-06-30
,,374,0,2,0,372,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,3458,2005-06-30
,,9945,400,83,0,9797,335,0,,,0,0,,,,,,,,,,,,,,,,,,3506,2005-06-30
,,1221,79,1,28,1169,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,3720,2005-06-30
,,1089,200,58,0,1042,211,0,0,0,0,0,,,,,,,,,,,,,,,,,,3953,2005-06-30
,,1007,240,5,0,1300,538,0,0,0,0,0,,,,,,,,,,,,,,,,,,4138,2005-06-30
,,428,60,0,0,411,43,0,0,0,0,0,,,,,,,,,,,,,,,,,,4147,2005-06-30
