RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,951,65,10,0,881,5,0,,,0,0,,,,,,,,,,,,,,,,,,37,2013-06-30
,,167,0,0,0,168,1,0,,,0,0,,,,,,,,,,,,,,,,,,242,2013-06-30
,,641,170,26,0,617,172,0,,,0,0,,,,,,,,,,,,,,,,,,279,2013-06-30
,,177,0,6,0,173,2,0,,,0,0,,,,,,,,,,,,,,,,,,354,2013-06-30
,,412,83,18,0,451,140,0,,,0,0,,,,,,,,,,,,,,,,,,457,2013-06-30
,,4360,60,231,0,4294,225,0,,,0,0,,,,,,,,,,,,,,,,,,505,2013-06-30
,,2514,1,9,0,2616,112,0,,,0,0,,,,,,,,,,,,,,,,,,1155,2013-06-30
,,1411,57,71,0,1892,609,0,0,0,0,0,,,,,,,,,,,,,,,,,,1351,2013-06-30
,,2864,120,11,0,2773,40,0,,,0,0,,,,,,,,,,,,,,,,,,1454,2013-06-30
,,22,25,0,0,408,3,-408,0,0,0,0,,,,,,,,,,,,,,,,,,1557,2013-06-30
,,2916,127,33,0,2881,125,0,,,0,0,,,,,,,,,,,,,,,,,,1669,2013-06-30
,,3626,213,79,0,3386,52,0,,,0,0,,,,,,,,,,,,,,,,,,1829,2013-06-30
,,1078,30,193,0,860,5,0,,,0,0,,,,,,,,,,,,,,,,,,1856,2013-06-30
,,4151,96,10,0,4066,21,0,,,0,0,,,,,,,,,,,,,,,,,,2040,2013-06-30
,,588,0,5,0,603,20,0,,,0,0,,,,,,,,,,,,,,,,,,2161,2013-06-30
,,31151,620,36,0,31909,1414,0,,,0,0,,,,,,,,,,,,,,,,,,2376,2013-06-30
,,142,8,4,0,130,0,0,,,0,0,,,,,,,,,,,,,,,,,,2554,2013-06-30
,,5553,500,100,0,6730,1777,0,,,0,0,,,,,,,,,,,,,,,,,,2732,2013-06-30
,,826,0,7,0,819,0,0,,,0,0,,,,,,,,,,,,,,,,,,2750,2013-06-30
,,3718,394,12,0,3532,220,0,,,0,0,,,,,,,,,,,,,,,,,,3177,2013-06-30
,,1966,550,217,0,1974,775,0,,,0,0,,,,,,,,,,,,,,,,,,3252,2013-06-30
,,374,15,0,0,364,5,0,,,0,0,,,,,,,,,,,,,,,,,,3458,2013-06-30
,,1593,33,16,0,1545,1,0,,,0,0,,,,,,,,,,,,,,,,,,3720,2013-06-30
,,13870,2050,756,0,13832,2768,0,,,0,0,,,,,,,,,,,,,,,,,,3971,2013-06-30
,,1727,15,37,0,1722,47,0,,,0,0,,,,,,,,,,,,,,,,,,4156,2013-06-30
,,750,495,29,0,801,575,0,,,0,0,,,,,,,,,,,,,,,,,,4231,2013-06-30
,,2632,250,64,0,2971,653,0,,,0,0,,,,,,,,,,,,,,,,,,4437,2013-06-30
,,5622,900,5,0,4877,160,0,,,0,0,,,,,,,,,,,,,,,,,,4839,2013-06-30
,,353,60,0,0,294,1,0,,,0,0,,,,,,,,,,,,,,,,,,5005,2013-06-30
,,15000,0,0,0,15000,0,0,,,0,0,,,,,,,,,,,,,,,,,,5069,2013-06-30
,,3904,280,24,0,3774,174,0,,,0,0,,,,,,,,,,,,,,,,,,5135,2013-06-30
,,17239,1150,225,0,16825,961,0,,,0,0,,,,,,,,,,,,,,,,,,5210,2013-06-30
,,6268,530,39,0,6209,510,0,,,0,0,,,,,,,,,,,,,,,,,,5461,2013-06-30
,,870,173,21,0,676,0,0,,,0,0,,,,,,,,,,,,,,,,,,5751,2013-06-30
,,1570,678,3,0,1297,408,0,,,0,0,,,,,,,,,,,,,,,,,,6039,2013-06-30
,,468,30,12,0,449,23,0,,,0,0,,,,,,,,,,,,,,,,,,6141,2013-06-30
,,7806,2359,222,0,8412,3187,0,,,0,0,,,,,,,,,,,,,,,,,,6329,2013-06-30
,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,7009,2013-06-30
