RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,986,135,66,0,909,124,0,0,0,0,,,,,,,,,,,,,,,,,,,37,2003-09-30
,,123,0,5,0,128,10,0,0,0,0,,,,,,,,,,,,,,,,,,,242,2003-09-30
,,348,7,4,0,352,15,0,0,0,0,,,,,,,,,,,,,,,,,,,279,2003-09-30
,,219,110,15,0,135,41,0,0,0,0,,,,,,,,,,,,,,,,,,,354,2003-09-30
,,1328,385,29,0,1005,91,0,0,0,0,,,,,,,,,,,,,,,,,,,439,2003-09-30
,,210,31,2,0,192,15,0,0,0,0,,,,,,,,,,,,,,,,,,,457,2003-09-30
,,2640,450,278,0,2056,144,0,0,0,0,,,,,,,,,,,,,,,,,,,505,2003-09-30
,,2866,370,60,0,2890,454,0,,,0,,,,,,,,,,,,,,,,,,,1146,2003-09-30
,,1381,195,33,0,1345,192,0,0,0,0,,,,,,,,,,,,,,,,,,,1155,2003-09-30
,,419,60,22,0,380,43,0,0,0,0,,,,,,,,,,,,,,,,,,,1351,2003-09-30
,,805,30,31,0,828,84,0,0,0,0,,,,,,,,,,,,,,,,,,,1454,2003-09-30
,,353,176,2,0,380,205,0,0,0,0,,,,,,,,,,,,,,,,,,,1557,2003-09-30
,,2768,240,92,0,2618,182,0,0,0,0,,,,,,,,,,,,,,,,,,,1632,2003-09-30
,,1007,175,28,0,1528,724,0,0,0,0,,,,,,,,,,,,,,,,,,,1669,2003-09-30
,,2193,509,17,0,2088,421,0,0,0,0,,,,,,,,,,,,,,,,,,,1829,2003-09-30
,,94,0,2,0,109,17,0,0,0,0,,,,,,,,,,,,,,,,,,,1856,2003-09-30
,,1334,220,266,0,1237,389,0,0,0,0,,,,,,,,,,,,,,,,,,,2040,2003-09-30
,,494,55,4,0,511,76,0,0,0,0,,,,,,,,,,,,,,,,,,,2161,2003-09-30
,,6172,0,8,0,6164,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2376,2003-09-30
,,148,45,0,0,131,28,0,0,0,0,,,,,,,,,,,,,,,,,,,2451,2003-09-30
,,45,2,0,0,43,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2554,2003-09-30
,,2959,425,37,0,2525,28,0,0,0,0,,,,,,,,,,,,,,,,,,,2732,2003-09-30
,,653,48,12,0,776,183,0,0,0,0,,,,,,,,,,,,,,,,,,,2750,2003-09-30
,,3625,3927,63,0,3340,3705,0,0,0,0,,,,,,,,,,,,,,,,,,,2938,2003-09-30
,,728,38,9,0,875,194,0,0,0,0,,,,,,,,,,,,,,,,,,,2956,2003-09-30
,,1291,160,146,0,1224,239,0,0,0,0,,,,,,,,,,,,,,,,,,,3252,2003-09-30
,,359,0,20,0,342,3,0,0,0,0,,,,,,,,,,,,,,,,,,,3458,2003-09-30
