RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,981,0,6,0,997,22,0,,,,,,,,,,,,,,,,,,,,,,37,2019-12-31
,,187,0,4,0,188,5,0,,,,,,,,,,,,,,,,,,,,,,242,2019-12-31
,,1104,160,5,0,974,35,0,,,,,,,,,,,,,,,,,,,,,,279,2019-12-31
,,143,39,18,0,136,50,0,,,,,,,,,,,,,,,,,,,,,,354,2019-12-31
,,497,95,8,0,453,59,0,,,,,,,,,,,,,,,,,,,,,,457,2019-12-31
,,6205,725,43,0,5652,215,0,,,,,,,,,,,,,,,,,,,,,,505,2019-12-31
,,3696,308,49,0,3413,74,0,,,,,,,,,,,,,,,,,,,,,,1155,2019-12-31
,,1100,433,73,0,1200,606,0,,,,,,,,,,,,,,,,,,,,,,1351,2019-12-31
,,3501,162,65,0,3384,110,0,,,,,,,,,,,,,,,,,,,,,,1454,2019-12-31
,,3070,354,36,0,2959,279,0,,,,,,,,,,,,,,,,,,,,,,1669,2019-12-31
,,235,821,2,0,575,1163,0,,,,,,,,,,,,,,,,,,,,,,1856,2019-12-31
,,1440,80,282,0,1465,387,0,,,0,0,,,,,,,,,,,,,,,,,,2161,2019-12-31
,,5028,60,35,0,4933,0,0,,,,,,,,,,,,,,,,,,,,,,2732,2019-12-31
,,553,-70,7,0,867,251,0,,,,,,,,,,,,,,,,,,,,,,2750,2019-12-31
,,3987,1350,545,0,4510,2418,0,,,,,,,,,,,,,,,,,,,,,,3252,2019-12-31
,,552,225,10,0,366,49,0,,,,,,,,,,,,,,,,,,,,,,3458,2019-12-31
,,1716,48,7,0,1685,24,0,,,,,,,,,,,,,,,,,,,,,,3720,2019-12-31
