RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,938,45,29,0,909,45,0,0,0,0,,,,,,,,,,,,,,,,,,,37,2003-03-31
,,132,0,4,0,128,0,0,0,0,0,,,,,,,,,,,,,,,,,,,242,2003-03-31
,,346,0,0,0,352,6,0,0,0,0,,,,,,,,,,,,,,,,,,,279,2003-03-31
,,138,0,3,0,135,0,0,0,0,0,,,,,,,,,,,,,,,,,,,354,2003-03-31
,,1144,150,2,0,1005,13,0,0,0,0,,,,,,,,,,,,,,,,,,,439,2003-03-31
,,198,6,0,0,192,0,0,0,0,0,,,,,,,,,,,,,,,,,,,457,2003-03-31
,,2154,75,38,0,2056,15,0,0,0,0,,,,,,,,,,,,,,,,,,,505,2003-03-31
,,2935,90,27,0,2890,72,0,,,0,,,,,,,,,,,,,,,,,,,1146,2003-03-31
,,1405,45,24,0,1345,9,0,0,0,0,,,,,,,,,,,,,,,,,,,1155,2003-03-31
,,393,15,7,0,380,9,0,0,0,0,,,,,,,,,,,,,,,,,,,1351,2003-03-31
,,836,20,14,0,828,26,0,0,0,0,,,,,,,,,,,,,,,,,,,1454,2003-03-31
,,406,25,1,0,380,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1557,2003-03-31
,,2811,195,49,0,2618,51,0,0,0,0,,,,,,,,,,,,,,,,,,,1632,2003-03-31
,,1553,55,14,0,1528,44,0,0,0,0,,,,,,,,,,,,,,,,,,,1669,2003-03-31
,,2229,150,2,0,2088,11,0,0,0,0,,,,,,,,,,,,,,,,,,,1829,2003-03-31
,,109,0,0,0,109,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1856,2003-03-31
,,1305,60,17,0,1238,10,0,0,0,0,,,,,,,,,,,,,,,,,,,2040,2003-03-31
,,497,15,1,0,511,30,0,0,0,0,,,,,,,,,,,,,,,,,,,2161,2003-03-31
,,6164,0,0,0,6164,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2376,2003-03-31
