RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,1049,90,49,0,942,32,,,,,,,,,,,,,,,,,,,,,,,37,2001-06-30
,,129,0,3,0,127,1,,,,,,,,,,,,,,,,,,,,,,,242,2001-06-30
,,279,0,9,0,270,0,,,,,,,,,,,,,,,,,,,,,,,279,2001-06-30
,,121,0,7,0,129,15,,,,,,,,,,,,,,,,,,,,,,,354,2001-06-30
,,1115,0,25,0,1233,143,,,,,,,,,,,,,,,,,,,,,,,439,2001-06-30
,,164,0,1,0,164,1,,,,,,,,,,,,,,,,,,,,,,,457,2001-06-30
,,2074,1082,125,0,1281,414,,,,,,,,,,,,,,,,,,,,,,,505,2001-06-30
,,2489,350,71,0,2396,328,,,,,,,,,,,,,,,,,,,,,,,1146,2001-06-30
,,1161,90,4,0,1133,66,,,,,,,,,,,,,,,,,,,,,,,1155,2001-06-30
,,346,45,5,0,329,33,,,,,,,,,,,,,,,,,,,,,,,1351,2001-06-30
,,848,50,13,0,843,58,,,,,,,,,,,,,,,,,,,,,,,1454,2001-06-30
,,351,0,3,0,350,2,,,,,,,,,,,,,,,,,,,,,,,1557,2001-06-30
,,2012,195,39,0,1961,183,,,,,,,,,,,,,,,,,,,,,,,1632,2001-06-30
,,714,75,38,0,715,114,,,,,,,,,,,,,,,,,,,,,,,1669,2001-06-30
,,1713,265,20,0,1607,179,,,,,,,,,,,,,,,,,,,,,,,1829,2001-06-30
,,121,0,2,0,125,6,,,,,,,,,,,,,,,,,,,,,,,1856,2001-06-30
,,325,0,2,0,324,1,,,,,,,,,,,,,,,,,,,,,,,1959,2001-06-30
,,1180,90,24,0,1104,38,,,,,,,,,,,,,,,,,,,,,,,2040,2001-06-30
,,509,6,6,0,516,19,,,,,,,,,,,,,,,,,,,,,,,2161,2001-06-30
,,4976,200,0,0,4776,0,,,,,,,,,,,,,,,,,,,,,,,2376,2001-06-30
