RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,1014,45,6,0,979,16,0,,,0,0,,,,,,,,,,,,,,,,,,37,2011-03-31
,,171,0,3,0,168,0,0,,,0,0,,,,,,,,,,,,,,,,,,242,2011-03-31
,,444,0,4,0,450,10,0,,,0,0,,,,,,,,,,,,,,,,,,279,2011-03-31
,,189,0,2,0,212,25,0,,,0,0,,,,,,,,,,,,,,,,,,354,2011-03-31
,,415,0,4,0,411,0,0,,,0,0,,,,,,,,,,,,,,,,,,457,2011-03-31
,,4641,90,61,0,4595,105,0,,,0,0,,,,,,,,,,,,,,,,,,505,2011-03-31
,,2511,456,2,0,2121,68,0,,,0,0,,,,,,,,,,,,,,,,,,1155,2011-03-31
,,1186,45,31,0,1120,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,1351,2011-03-31
,,3565,100,6,0,3471,12,0,,,0,0,,,,,,,,,,,,,,,,,,1454,2011-03-31
,,481,0,0,0,481,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1557,2011-03-31
,,2618,351,35,0,2555,323,0,,,0,0,,,,,,,,,,,,,,,,,,1669,2011-03-31
,,3803,106,8,0,3790,101,0,,,0,0,,,,,,,,,,,,,,,,,,1829,2011-03-31
,,628,15,5,0,610,2,0,,,0,0,,,,,,,,,,,,,,,,,,1856,2011-03-31
,,3222,120,11,0,3147,56,0,,,0,0,,,,,,,,,,,,,,,,,,2040,2011-03-31
,,593,10,5,0,589,11,0,,,0,0,,,,,,,,,,,,,,,,,,2161,2011-03-31
,,24329,2300,0,0,24181,2152,0,,,0,0,,,,,,,,,,,,,,,,,,2376,2011-03-31
,,80,6,0,0,74,0,0,,,0,0,,,,,,,,,,,,,,,,,,2554,2011-03-31
,,5473,750,16,0,5183,476,0,,,0,0,,,,,,,,,,,,,,,,,,2732,2011-03-31
,,652,30,0,0,643,21,0,,,0,0,,,,,,,,,,,,,,,,,,2750,2011-03-31
,,1517,150,93,0,1410,136,0,,,0,0,,,,,,,,,,,,,,,,,,3252,2011-03-31
,,307,15,1,0,294,3,0,,,0,0,,,,,,,,,,,,,,,,,,3458,2011-03-31
,,1470,43,0,0,1430,3,0,,,0,0,,,,,,,,,,,,,,,,,,3720,2011-03-31
,,2768,0,9,0,2779,20,0,,,0,0,,,,,,,,,,,,,,,,,,3953,2011-03-31
,,2066,250,19,0,2022,225,0,,,0,0,,,,,,,,,,,,,,,,,,4156,2011-03-31
,,787,0,5,0,822,40,0,,,0,0,,,,,,,,,,,,,,,,,,4231,2011-03-31
,,3223,330,11,0,3355,473,0,,,0,0,,,,,,,,,,,,,,,,,,4437,2011-03-31
,,4465,450,2,0,4067,54,0,,,0,0,,,,,,,,,,,,,,,,,,4839,2011-03-31
,,1832,52,0,0,1828,48,0,,,0,0,,,,,,,,,,,,,,,,,,5005,2011-03-31
,,20468,0,0,0,20468,0,0,,,0,0,,,,,,,,,,,,,,,,,,5069,2011-03-31
,,3525,225,4,0,3374,78,0,,,0,0,,,,,,,,,,,,,,,,,,5135,2011-03-31
,,14335,1100,1,0,15252,2018,0,,,0,0,,,,,,,,,,,,,,,,,,5210,2011-03-31
,,1936,100,0,0,1836,0,0,,,0,0,,,,,,,,,,,,,,,,,,5331,2011-03-31
,,4161,418,4,0,4331,592,0,,,0,0,,,,,,,,,,,,,,,,,,5461,2011-03-31
,,1040,0,2,0,1038,0,0,,,0,0,,,,,,,,,,,,,,,,,,5751,2011-03-31
,,1301,25,59,0,1218,1,0,,,0,0,,,,,,,,,,,,,,,,,,6039,2011-03-31
,,428,115,10,0,343,40,0,,,0,0,,,,,,,,,,,,,,,,,,6141,2011-03-31
,,9997,2638,366,0,10123,3130,0,,,0,0,,,,,,,,,,,,,,,,,,6329,2011-03-31
,,17100,-2515,1768,270,18950,833,0,,,0,0,,,,,,,,,,,,,,,,,,6972,2011-03-31
,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,7009,2011-03-31
,,852,65,14,0,849,76,0,,,0,0,,,,,,,,,,,,,,,,,,7045,2011-03-31
,,386,0,10,0,386,10,0,,,0,0,,,,,,,,,,,,,,,,,,7157,2011-03-31
,,383,0,0,0,401,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,7456,2011-03-31
,,1461,420,4,0,1157,120,0,,,0,0,,,,,,,,,,,,,,,,,,7634,2011-03-31
,,962,21,30,0,913,2,0,,,0,0,,,,,,,,,,,,,,,,,,8033,2011-03-31
,,462,0,13,0,469,20,0,,,0,0,,,,,,,,,,,,,,,,,,8462,2011-03-31
,,434,0,1,0,440,7,0,,,0,0,,,,,,,,,,,,,,,,,,8631,2011-03-31
,,5837,0,122,0,5976,261,0,,,0,0,,,,,,,,,,,,,,,,,,9357,2011-03-31
,,823,0,0,0,823,0,0,,,0,0,,,,,,,,,,,,,,,,,,9553,2011-03-31
,,53368,0,864,0,53932,1428,0,,,0,0,,,,,,,,,,,,,,,,,,9807,2011-03-31
,,1140,0,6,0,1136,2,0,,,0,0,,,,,,,,,,,,,,,,,,9955,2011-03-31
,,14111,4425,295,0,10413,1022,0,,,0,0,,,,,,,,,,,,,,,,,,10250,2011-03-31
,,4268,125,9,0,4489,355,0,,,0,0,,,,,,,,,,,,,,,,,,10849,2011-03-31
,,2605,100,53,0,2940,488,0,0,0,0,0,,,,,,,,,,,,,,,,,,10858,2011-03-31
,,1669,225,12,0,1952,520,0,,,0,0,,,,,,,,,,,,,,,,,,11145,2011-03-31
,,3023,161,62,0,2819,19,0,,,0,0,,,,,,,,,,,,,,,,,,11640,2011-03-31
,,985,75,24,0,1036,150,0,,,0,0,,,,,,,,,,,,,,,,,,11837,2011-03-31
,,10454,2713,561,0,8197,1017,0,,,0,0,,,,,,,,,,,,,,,,,,12030,2011-03-31
,,1754,15,27,0,1756,44,0,,,0,0,,,,,,,,,,,,,,,,,,12142,2011-03-31
,,1281,60,0,0,1323,102,0,,,0,0,,,,,,,,,,,,,,,,,,12245,2011-03-31
,,1117395,51949,33844,0,1228061,196459,0,,,0,0,,,,,,,,,,,,,,,,,,12311,2011-03-31
,,707,15,0,0,833,141,0,,,0,0,,,,,,,,,,,,,,,,,,12647,2011-03-31
,,256,8,5,0,248,5,0,,,0,0,,,,,,,,,,,,,,,,,,12656,2011-03-31
,,1958,135,0,0,1823,0,0,,,0,0,,,,,,,,,,,,,,,,,,12937,2011-03-31
,,8750,906,43,0,8293,492,0,,,0,0,,,,,,,,,,,,,,,,,,12946,2011-03-31
,,926,66,5,0,856,1,0,,,0,0,,,,,,,,,,,,,,,,,,12955,2011-03-31
,,2311,60,11,0,2249,9,0,,,0,0,,,,,,,,,,,,,,,,,,13037,2011-03-31
,,10289,356,40,0,10004,111,0,,,0,0,,,,,,,,,,,,,,,,,,13103,2011-03-31
,,604,0,2,0,602,0,0,,,0,0,,,,,,,,,,,,,,,,,,13251,2011-03-31
,,136,0,19,0,117,0,0,,,0,0,,,,,,,,,,,,,,,,,,13457,2011-03-31
,,1160,168,2,0,1051,61,0,0,0,0,0,,,,,,,,,,,,,,,,,,14052,2011-03-31
,,1680,171,65,0,1570,126,0,,,0,0,,,,,,,,,,,,,,,,,,14155,2011-03-31
,,233,23,2,0,209,1,0,,,0,0,,,,,,,,,,,,,,,,,,14650,2011-03-31
,,503,0,0,0,503,0,0,,,0,0,,,,,,,,,,,,,,,,,,14753,2011-03-31
,,3206,230,1,0,2976,1,0,,,0,0,,,,,,,,,,,,,,,,,,14865,2011-03-31
,,320,0,0,0,323,3,0,,,0,0,,,,,,,,,,,,,,,,,,14977,2011-03-31
,,2527,75,3,0,2455,6,0,,,0,0,,,,,,,,,,,,,,,,,,16458,2011-03-31
,,2511,225,21,0,2386,121,0,,,0,0,,,,,,,,,,,,,,,,,,16551,2011-03-31
,,456,0,4,0,457,5,0,,,0,0,,,,,,,,,,,,,,,,,,16748,2011-03-31
,,214,0,1,0,214,1,0,,,0,0,,,,,,,,,,,,,,,,,,16944,2011-03-31
,,100,5,4,0,91,0,0,,,0,0,,,,,,,,,,,,,,,,,,16953,2011-03-31
,,319,0,0,0,319,0,0,,,0,0,,,,,,,,,,,,,,,,,,17110,2011-03-31
,,80936,5594,1726,0,82977,9361,0,,,0,0,,,,,,,,,,,,,,,,,,17147,2011-03-31
,,192,0,5,0,202,15,0,,,0,0,,,,,,,,,,,,,,,,,,17259,2011-03-31
,,42454,5500,557,0,46667,10270,0,,,0,0,,,,,,,,,,,,,,,,,,17464,2011-03-31
,,2354,629,21,0,2378,674,0,,,0,0,,,,,,,,,,,,,,,,,,17950,2011-03-31
,,2720,210,19,0,2613,122,0,,,0,0,,,,,,,,,,,,,,,,,,18050,2011-03-31
,,1535,120,11,0,1482,78,0,,,0,0,,,,,,,,,,,,,,,,,,18135,2011-03-31
,,202,0,0,0,202,0,0,,,0,0,,,,,,,,,,,,,,,,,,18377,2011-03-31
,,4434,289,13,0,4225,93,0,,,0,0,,,,,,,,,,,,,,,,,,18827,2011-03-31
,,2433,131,25,0,2365,88,0,,,0,0,,,,,,,,,,,,,,,,,,18836,2011-03-31
,,1056,135,2,0,937,18,0,,,0,0,,,,,,,,,,,,,,,,,,18854,2011-03-31
,,489,85,1,0,542,139,0,,,0,0,,,,,,,,,,,,,,,,,,18957,2011-03-31
,,924,50,16,0,874,16,0,,,0,0,,,,,,,,,,,,,,,,,,19356,2011-03-31
,,42227,8400,1096,0,41715,8984,0,,,0,0,,,,,,,,,,,,,,,,,,19730,2011-03-31
,,3796,1050,8,0,3608,870,0,,,0,0,,,,,,,,,,,,,,,,,,19936,2011-03-31
,,250,0,0,0,250,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,19972,2011-03-31
,,1156,31,194,0,980,49,0,,,0,0,,,,,,,,,,,,,,,,,,20053,2011-03-31
,,2525,220,645,0,3924,2264,0,,,0,0,,,,,,,,,,,,,,,,,,20370,2011-03-31
,,555,0,55,0,552,52,0,,,0,0,,,,,,,,,,,,,,,,,,20512,2011-03-31
,,2867,90,2,0,2775,0,0,,,0,0,,,,,,,,,,,,,,,,,,20633,2011-03-31
,,621,0,0,0,621,0,0,,,0,0,,,,,,,,,,,,,,,,,,20857,2011-03-31
,,143,5,0,0,138,0,0,,,0,0,,,,,,,,,,,,,,,,,,21256,2011-03-31
,,193,6,0,0,187,0,0,,,0,0,,,,,,,,,,,,,,,,,,21359,2011-03-31
,,336,5,0,0,333,2,0,,,0,0,,,,,,,,,,,,,,,,,,21630,2011-03-31
,,1558,90,6,0,1471,9,0,,,0,0,,,,,,,,,,,,,,,,,,21658,2011-03-31
,,2793,137,38,0,2649,31,0,,,0,0,,,,,,,,,,,,,,,,,,22048,2011-03-31
,,2312,0,5,0,2527,220,0,,,0,0,,,,,,,,,,,,,,,,,,22356,2011-03-31
,,1095,15,18,0,1071,9,0,,,0,0,,,,,,,,,,,,,,,,,,22459,2011-03-31
,,883,20,1,0,877,15,0,,,0,0,,,,,,,,,,,,,,,,,,22543,2011-03-31
,,654,15,1,0,638,0,0,,,0,0,,,,,,,,,,,,,,,,,,22552,2011-03-31
,,699,0,3,0,709,13,0,,,0,0,,,,,,,,,,,,,,,,,,22730,2011-03-31
,,6726,495,25,0,6752,546,0,,,0,0,,,,,,,,,,,,,,,,,,22936,2011-03-31
,,1371,60,0,0,1312,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,22954,2011-03-31
,,191,0,5,0,186,0,0,,,0,0,,,,,,,,,,,,,,,,,,23045,2011-03-31
