"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1919										
242								817										
279								1790										
354								225										
439								8294										
457								451										
505								13187										
1146								12161	3646	0	0	0	2064	1368	0	1368	5083	
1155								5829										
1351								1582										
1454								25209	11866	0	0	0	5431	863	0	863	7049	
1557								635										
1632								8878										
1669								12034										
1829								8375										
1856								1872										
2040								4874										
2161								15600										
2376								12837	0	0	0	0	2841	9894	0	9894	102	
2451								2523										
2554								834										
2732								24338	5570	0	0	0	3903	11378	0	11378	3487	
2750								1408										
2938								8383										
2956								3109										
3252								8481										
3458								4372										
3506								36350	17120	45	0	45	11361	283	0	283	7541	
3579								10431	2657	0	0	0	4250	126	0	126	3398	
3720								4274										
3953								4375										
4138								5010										
4147								1770										
4156								2702										
4231								1937										
4437								5577										
4839								4961										
5005								4984	0	0	0	0	982	1396	0	1396	2606	
5050								2780										
5069								1844	0	63	0	63	141	1631	0	1631	9	
5135								4360										
5210								26156	7615	0	0	0	9400	1184	0	1184	7957	
5247								43652	49	0	0	0	8994	30693	0	30693	3916	
5274								7764										
5331								9855										
5461								16357										
5751								1197										
6039								1763										
6057								317										
6141								3232										
6329								12070										
6972								53391	2601	0	0	0	6574	36592	0	36592	7624	
7009								8459	0	5000	5000	0	10	3424	0	3424	25	
7045								3992										
7157								1613										
7166								14585	10207	0	0	0	2344	2005	0	2005	29	
7456								865										
7634								2583										
8033								2029										
8417								50347	0	0	0	0	0	30679	0	30679	19668	
8462								5982										
8547								11185	1	0	0	0	2130	5370	0	5370	3684	
8631								2090										
9357								14545	11389	0	0	0	731	1964	0	1964	461	
9553								3391										
9807								38098	20382	0	0	0	6001	2799	0	2799	8916	
9955								7695										
10157								2418										
10250								8436										
10849								22322										
10858								10607	844	0	0	0	1848	7555	0	7555	360	
11145								5106										
11640								14972										
11837								1721										
12030								7493										
12058								3055										
12142								11454										
12245								2360										
12311	924912	673433	0	0	0	180225	71254	924912	491007	0			182426	180225			71254	
12647								3591										
12656								323	0	0	0	0	216	97	0	97	10	
12937								5965										
12946								8740	2343	0	0	0	4756	1553	0	1553	88	
12955								2341										
13037								2911										
13103								14673	0	0	0	0	3182	9907	0	9907	1584	
13251								1940										
13457								457										
14052								3281										
14155								1684										
14258								22356	5198	0	0	0	3217	437	0	437	13504	
14409	294058	139444	0	0	0	153830	784	294058	8864	0			130580	153830			784	
14454								790										
14650								4197										
14753								1733										
14865								4325										
14940								6284										
15536								33722	7337	0	0	0	7984	14183	0	14183	4219	
16337								14670										
16458								5344										
16551								3219										
16748								2274										
16944								2312										
16953								1476										
17110								24503										
17147								36324	2772	0	0	0	7601	22525	0	22525	3426	
17259								872										
17464								57820	21467	0	0	0	6467	28842	0	28842	1044	
17549								6832										
17839								3892										
17950								6628										
18050								9434										
18135								10087										
18368								17280	11150	0	0	0	1619	4150	0	4150	361	
18377								10763										
18827								7523										
18836								3399										
18854								664										
18957								2524										
19356								2487										
19730								70848	19173	0	0	0	32759	13613	0	13613	5303	
19936								8690										
19972								7399										
20053								4884										
20147								2206										
20259								3237										
20370								5736										
20512								3954										
20633								7167										
20754								183										
20839								2410										
20857								22069										
20866								13159										
21256								749										
21359								1417										
21630								1830										
21658								1953										
22048								4815										
22235								7586										
22356								7667										
22459								2690										
22543								3252										
22552								697										
22730								1125										
22936								4431										
22954								1371										
23036								7408	0	0	0	0	2550	4858	0	4858	0	
23045								596										
23241								57617	17981	0	0	0	27697	9494	0	9494	2445	
23456								2214										
23504								15542	6748	0	0	0	4885	2663	0	2663	1246	
23540								20286										
23643								10728										
23755								5188										
23812								25336	0	0	0	0	5475	17036	0	17036	2825	
