"IDRSSD"	RIAD4097	RIAD4235	RIAD4239	RIAD4341	RIAD4797	RIAD4843	RIAD4844	RIAD4845	RIAD4846	RIADB523	RIADB524	RIADB525	
	NON INT INCM OF INTL BUSINESS	PROV FOR LOAN LOSS, INTL BUSINESS	NON-INT EXPENSE, INTL BUSINESS	NET INCM ATTRIB TO INTL BUSINESS	INCOME TAX ATTRIB TO INTL BUSINESS	NET NON-INT INC(EXP) ATTRIB TO INT O	EST PRETAX INC ATTRIG TO INT OPR	ADJ TO PRETAX INC FOR INTERNAL ALLOC	EST PRETAX INC ATTRIB TO INT OPR AFT	GROSS INTEREST INCOME (INTERNL OPER)	GROSS INTEREST EXPENSE (INTERNL OPER	NET INTEREST INCOME (INTERNATL OPER)	
97055													
97279													
97457													
97804													
97943													
98351													
98454													
98463													
98548													
98557													
98641													
98717													
99004													
99059													
99143													
99255													
99442													
99536													
99853													
99974													
100160													
100236													
100357													
100553													
100562													
100843													
101019	9210	544	11516	-10479	-5895	-2850	-20163	3789	-16374	11420	28733	-17313	
101037													
101233													
101327													
101345													
101439													
101671													
101738													
101952													
102155													
102333													
102342													
102539													
102557													
103134													
103255													
103536													
103554													
103563													
103602													
104038													
104056													
104234													
104430													
104542													
104663													
105026													
105044													
105053													
105071													
105222													
105530													
105633													
106359													
106377													
106452													
106519													
106546													
106555													
106658													
107057													
107150													
107226													
107244													
107431													
107459													
107758													
108250													
108269													
108652													
108746													
108951													
109136													
109154													
109453													
109574													
109659													
109855													
110057													
110066													
110356													
110404													
110413													
110655													
110758													
110936													
110945													
111157													
111205													
111559													
111661													
111942													
111979													
112163													
112332													
112444													
112510													
112556													
112837	0	0	0	0	0	0	0	0	0	0	0	0	
112855													
113003													
113030													
113151													
113441													
113601													
113740													
113759													
113937													
114149													
114158													
114251													
114260													
114457													
114756													
114774													
114840													
114859													
115100													
115146													
115155													
115221													
115575													
115641													
116077													
116358													
116554													
116639													
116732													
116741													
117038													
117458													
117672													
117841													
118156													
118174													
118660													
118736													
119153													
119274													
119331													
119528													
119779													
120542													
120609													
120953													
121576													
121642													
121651													
121709													
121857													
121914													
122153													
122546													
122658													
122751													
122854													
123178													
123440													
123646													
124344													
124353													
124773													
124830													
125154													
125453													
125855													
125958													
126012													
126049													
126254													
126553													
126740													
126834													
126955													
127055													
127224													
127260													
127701													
128164													
128258													
128511	345	0	315	744	496	30	1612	-372	1240	5654	4072	1582	
128904													
128959													
129349													
129358													
129394													
129479													
129732													
129853													
129910													
130345													
130541													
130635													
130813													
130943													
131034													
131155													
131173													
131351													
131360													
131418													
131436													
131650													
131717													
131753													
131940													
132107													
132152													
132219													
132376													
132442													
132451													
132554													
132778													
132853													
132938													
133243													
133850													
133971													
134156													
134400													
134437													
134455													
134848													
135359													
135751													
135836													
135854													
136048													
136338													
136459													
136655													
137120													
137205													
137447													
137456													
137559													
137643													
137652													
137821													
137915													
138051													
138163													
138211													
138257													
138350													
138556													
138725													
138752													
138930													
139133													
139432													
139478													
139544													
139553													
139656													
139740													
139834													
139843													
139955													
140018													
140157													
140362													
140634													
141211													
141341													
141350													
141453													
141556													
141734													
141958													
142049													
142656													
142955													
143158													
143653													
143662													
143859													
143952													
144034													
144043													
144052													
144155													
144436													
144856													
144913													
145059													
145545													
145554													
145741													
145750													
145844													
145956													
146056													
146243													
146458													
146533													
146618													
146654													
146663													
146850													
147053													
147174													
147633													
147651													
147679													
147839													
147857													
147914													
147923													
148144													
148238													
148340													
148715													
148809													
148920													
149150													
149235													
149253													
149271													
149945													
150035													
150044													
150071													
150156													
150334													
150352													
150727													
150754													
151331													
151546													
151555													
151751													
151818													
151957													
152048													
152057													
152235													
152253													
152431													
152440													
152673													
152851													
153054													
153353													
153652													
154154													
154220													
154257													
154770													
155245													
155263													
155441													
155517													
155759													
156055													
156457													
156635													
156877													
156916													
156952													
157155													
157379													
157650													
157744													
157838													
157856													
157904													
158554													
158741													
158750													
158947													
158974													
159243													
159476													
159636													
159645													
159953													
160360													
160454													
160557													
160614	20281	0	23816	-2842	-32	-3535	-2874	0	-2874	663	2	661	
160650													
160959													
161031													
161107													
161273													
161433													
161602													
162337													
162878													
163343													
163370													
163549													
163745													
163857													
164032													
164153													
164331													
164377													
164742													
164854													
164957													
164975													
165039													
165628													
165758													
165806													
166111													
166531													
166652													
166803													
166849													
167060													
167453													
167556													
167565													
167752													
167855													
167864													
168320													
168366													
168441													
168571													
168731													
168759													
169073													
169233													
169327													
169354													
169569													
169653													
169756													
169859													
169952													
170051													
170257													
170332													
170640													
170716													
170976													
171133	0	0	0	0	0	0	0	0	0	0	0	0	
171227													
171348													
171656													
171759													
171768													
172000													
172158													
172251													
172354													
172457													
172747													
172804													
172840													
172859													
173306													
173333	49000	-32000	49000	15000	11000	32000	32000	-6000	26000	65000	65000	0	
