"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
37																																							0	1919	0	29056	0	0	672	34	0	1226	80657	66573	0	473	67046	0	991	0	0	0	13611	1200	80657	0	0	8911	0	3500	0	6549	60024		0	46060	45069	0	2681	0	0	0	
242																																							100	717	0	0	6188	0	236	0	0	366	27263	20775	0	39	23629	0	165	0	2312	0	3634	120	27263	0	0	3402	0	120	0	3045	17730		0	19821	19656	-8	0	0	503	0	
279																																							320	1470	66	59252	25068	244	1352	0	0	2509	127086	77937	0	401	108470	0	419	0	30132	0	18616	0	127086	0	0	18423	0	0	0	2633	75303		0	35754	35335	193	1470	0	0	0	
354																																							0	225	0	0	3536	0	15	0	0	110	8181	7110	0	19	7285	0	177	0	0	0	896	25	8181	0	0	364	0	500	0	1288	5822		0	4472	4295	7	0	0	156	0	
439																																							0	8294	2782	3448	23760	0	2453	80	0	3103	165555	144039	0	886	145492	0	1635	0	0	0	20063	596	165555	0	0	10079	0	9404	0	34906	109133		0	123270	121635	-16	0	0	567	0	
457																																							0	451	0	1601	0	0	101	0	0	859	26105	22980	0	254	23234	0	270	0	0	0	2871	60	26105	0	0	621	0	2190	0	2640	20340		0	23363	23093	0	0	0	0	0	
505																																							147	13040	140	0	115312	0	4677	0	0	6977	302029	261477	0	1203	278555	53	2204	1594	15875	0	23421	6480	302029	0	0	6339	0	10653	0	47891	213586		0	162346	160142	-51	0	0	0	0	
1146																																							367	11794	609	285	41502	0	17463	173	0	11970	392667	314649	0	5376	359292	0	3191	138	29267	6000	33375	19	392667	0	0	24610	0	8854	28569	70558	244091		0	282988	279797	-108	0	0	4000	0	
1155																																							15	5814	0	6065	30447	0	4711	69	0	5096	153155	120206	0	475	141728	0	1669	0	3000	0	11427	1600	153155	0	0	6273	0	3400	0	13615	106591		0	102607	100938	154	0	0	3700	14347	
1351																																							0	1582	0	34266	2951	0	1095	15	0	1023	99376	86063	0	501	86564	0	578	0	0	0	12812	240	99376	0	0	12073	0	530	0	9879	76184		0	55694	55116	-31	3328	0	0	0	
1454																																							346	24863	102	0	131400	0	3538	0	0	3585	349681	318925	0	431	319356	0	809	0	0	0	30325	1000	349681	0	0	28080	0	1214	1426	96835	222090		0	160230	159421	31	25000	0	0	0	
1557																																							50	585	0	1817	9114	0	118	0	0	542	31883	26950	0	269	27224	0	381	0	5	0	4659	200	31883	0	0	3549	0	800	0	3213	23737		0	14524	14143	110	5514	0	0	0	
1632																																							238	8640	0	0	25810	0	5634	0	0	7789	319689	243764	0	2824	293027	0	3602	0	29000	0	26662	1900	319689	0	0	7482	0	17080	0	46115	197649		0	275180	271578	200	0	0	14564	2875	
1669																																							2136	9898	1965	77154	48086	0	1759	125	0	8351	227757	185637	0	557	186664	0	1241	0	470	0	41093	800	227757	0	0	39093	0	800	0	36056	149581		0	70171	68930	400	9353	0	0	0	
1829																																							3873	4503	0	0	108292	0	2981	620	0	4173	308556	255583	0	2103	268613	0	2799	0	9000	0	39943	390	308556	0	0	33797	0	3100	0	52878	202706		0	186913	184114	2656	0	0	0	1927	
1856																																							37	1835	0	62136	153692	0	575	0	0	5570	232699	64701	0	333	219824	0	92	98	79790	0	12875	330	232699	0	0	3094	0	10652	0	1713	62988		0	8526	8434	-1201	322	0	0	75000	
2040																																							63	4811	0	0	24168	0	2567	0	0	3360	151494	114239	0	481	136061	0	1649	0	16505	0	15433	480	151494	0	0	10181	0	4270	164	10510	103729		0	118010	116361	502	0	0	4836	0	
2161																																							12000	3600	0	196	26347	0	1436	0	0	3239	101895	91446	0	446	91892	0	515	0	0	0	10003	1000	101895	0	0	7791	0	1253	0	16240	75206		0	54357	53842	-41	1235	0	0	0	
2376																																							172	12665	0	470910	100437	2882	6668	601	0	12825	1012306	728026	0	9636	895140	69	6172	0	153718	0	117097	500	1012306	0	0	116669	0	0	0	34938	693088		0	405293	399121	-72	6025	0	3760	0	
2451																																							2300	223	0	0	0	0	83	0	0	626	20243	16632	0	139	17980	0	187	750	1209	0	2263	50	20243	0	0	154	0	2059	0	1601	15031		0	16116	15929	0	332	0	0	0	
2554																																							0	834	0	5	2429	0	93	0	0	105	7116	6368	0	23	6391	0	57	0	0	0	725	50	7116	0	0	145	0	550	0	1394	4974		0	3707	3650	-20	0	0	0	0	
2732																																							0	24338	1324	0	77457	0	6703	0	0	3130	476051	417711	0	2429	420489	0	3111	0	349	0	55562	2320	476051	0	0	49138	0	3728	19929	83254	334457		0	340381	337270	376	5900	0	0	0	
2750																																							891	517	0	0	13835	0	361	10	0	1894	47201	36458	0	608	42449	0	613	0	4800	0	4752	90	47201	0	0	4586	0	93	0	1686	34772		0	30306	29693	-17	0	0	0	583	
2938																																							92	8291	0	0	41814	0	5897	266	0	5170	322221	224037	0	1354	297091	0	4705	0	40500	0	25130	1250	322221	0	0	12663	0	10867	0	53228	170809		0	265396	260691	350	0	0	26359	4841	
2956																																							292	2817	0	0	42178	0	2700	323	0	1158	111326	101201	0	187	101388	0	709	1068	0	0	9938	100	111326	0	0	114	0	9536	0	9075	92126		0	58992	58283	188	2507	0	0	0	
3252																																							3853	4628	0	13172	19833	0	776	3	0	2738	94177	79411	0	218	82863	0	996	0	3234	0	11314	200	94177	0	0	10768	0	300	0	13757	65654		0	49270	48274	46	900	0	0	0	
3458																																							2664	1708	0	2541	7144	0	112	0	0	301	24332	19245	0	51	21946	0	371	0	0	0	2386	100	24332	0	0	1844	0	450	0	2421	16824		0	9432	9061	-8	801	0	0	2650	
3506																																							3	36347	4007	16692	351391	4	17878	0	0	44421	1461352	1246349	0	13956	1314061	41	9797	55952	44000	0	147250	2879	1461352	0	0	107680	0	36128	0	231233	1015116		0	927154	917357	563	17300	0	0	9756	
3579																																							95	10336	757	0	47055	0	8751	683	0	5886	339245	242446	0	2589	304057	0	2244	7681	47349	0	35188	5000	339245	0	0	5463	0	24416	0	30276	212170		-534	260187	257943	843	58	0	0	11673	
3720																																							0	4274	0	14929	42775	0	1841	19	0	4244	153461	123371	0	1124	135443	0	1159	0	9668	0	18018	2400	153461	0	0	4784	0	10800	709	18012	105359		0	84780	83621	34	1049	0	0	1280	
3953																																							432	3943	0	0	0	0	3853	238	0	2189	83808	72256	0	449	77190	0	1086	0	4485	0	6618	500	83808	0	0	4438	0	1680	13303	19715	52540		0	60936	59850	0	0	0	0	0	
4138																																							0	5010	0	0	44648	23	5274	1320	0	2039	172135	148456	0	507	155259	0	1345	0	3646	0	16876	300	172135	0	0	16109	0	300	0	19852	128604		0	115166	113821	167	0	0	2650	0	
4147																																							87	1683	0	0	20629	0	3873	0	0	7680	106726	84083	0	1109	93692	0	396	0	8500	0	13034	1950	106726	0	0	8440	0	2230	0	13350	70733		0	73058	72662	414	112	0	0	0	
4156																																							136	2566	0	0	29964	0	3813	125	0	4958	125951	91339	0	404	111288	0	1716	1783	19545	0	14663	1200	125951	0	0	7054	0	5981	792	13417	77922		0	83530	81814	428	0	0	0	0	
4231																																							0	1937	0	0	55300	0	1139	90	0	1276	108964	87210	0	449	96743	0	747	0	0	0	12221	500	108964	0	0	3736	0	8300	0	11445	75765		0	49969	49222	-315	0	0	2084	7000	
4437																																							2028	3549	0	4198	29019	0	2431	437	0	2817	195527	161015	0	1291	179309	0	1290	0	11365	0	16218	963	195527	0	0	11510	0	3750	0	20517	140498		0	151952	150662	-5	386	0	0	5638	
4839																																							130	4831	0	0	69424	135	5703	0	0	2954	227019	176305	0	942	208225	0	1501	7	24900	0	18794	1875	227019	0	0	8316	0	7929	0	34516	141789		0	145336	143835	674	0	0	1400	4678	
5005																																							420	4564	0	3252	83637	0	8228	0	0	11203	314349	255515	0	3648	281705	0	1637	2026	22542	0	32644	0	314349	0	0	1894	0	29407	0	30314	225201		0	192906	191269	1343	9750	0	0	0	
5050																																							52	2728	0	0	36946	0	1177	280	0	1164	88619	75196	0	266	80862	0	577	0	5400	0	7757	400	88619	0	0	5341	0	1400	0	13151	62045		0	46849	46272	616	0	0	0	0	
5069																																							0	1844	0	0	24644	0	19645	0	0	3260	354471	288795	0	4561	293356	0	6684	0	0	0	61115	4500	354471	0	0	52283	0	4129	0	11248	277547		0	267962	261278	203	43800	0	0	0	
5135																																							20	4340	0	0	24571	0	3615	343	0	5937	209504	169000	0	876	185876	0	1889	1042	16000	0	23628	651	209504	0	0	6310	0	16611	0	20419	148581		0	158585	156696	56	12940	0	0	0	
