"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
4437	0	0	0	0		0	0	0		93339	67676	297	0	0	0	0		0		0	0	37976	0	0	0	0	0	0	0	0	0	0		
4839	0	0	0	0		0	0	0		97984	78321	299	0	0	0	0		0		122	0	44521	0	0	0	0	0	0	0	0	0	0		
5005	0	0	0	1		0	0	124		179081	76434	391	0	0	0	0		0		0	0	35533	0	0	0	0	0	0	0	0	0	0		
5050	0	0	0	0		0	0	0		46708	28488	109	0	0	0	0		0		0	0	16566	0	0	0	0	0	0	0	0	0	0		
5069	0	160	0	453		0	0	0		185827	102968	418	0	0	0	0		0		0	0	45359	0	0	0	0	0	0	0	0	0	0		
5135	0	0	0	0		0	0	0		88884	80116	370	0	0	0	0		0		0	0	33558	0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0		0	0	0		493352	162307	759	0	0	0	0		0		0	0	70874	0	0	0	0	0	0	0	0	0	0		
5247	0	0	0	0		0	0	0		634738	265163	1139	0	0	0	0		0		0	0	158895	0	0	0	0	0	0	0	0	0	0		
5274	0	0	0	16		0	0	133		59484	31637	109	0	0	0	0		0		0	0	5370	0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	2638		0	0	60		130358	65416	320	0	0	0	0		0		0	0	56588	0	0	0	0	0	0	0	0	0	0		
5461	0	0	0	0		0	0	0		118315	200907	654	0	0	0	0		0		0	0	135507	0	0	0	0	0	0	0	0	0	0		
5751	0	0	0	0		0	0	0		30457	35968	123	0	1	0	0		0		0	0	30412	0	0	0	0	0	0	0	0	0	0		
6039	0	0	0	0		0	0	0		46938	21308	83	0	0	0	0		0		0	0	13008	0	0	0	0	0	0	0	0	0	0		
6057	0	0	0	0		0	0	0		11489	1444	8	0	0	0	0		0		0	0	644	0	0	0	0	0	0	0	0	0	0		
6141	0	0	0	0		0	0	0		19094	10687	43	0	0	0	0		0		0	0	6387	0	0	0	0	0	0	0	0	0	0		
6329	11	0	0	0		0	0	0		121980	99142	472	0	0	0	0		0		0	0	30088	0	0	0	0	0	0	0	0	0	0		
6972	0	0	0	0		0	0	0		335824	254064	918	0	0	0	0		0		0	0	161964	0	0	0	0	0	0	0	0	0	0		
7009	0	0	0	0		0	0	1746		51355	320814	504	0	0	0	0		1		0	0	270414	0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0		0	0	0		53131	35483	96	0	0	0	0		0		0	0	11035	0	0	0	0	0	0	0	0	0	0		
7157	0	0	0	0		0	0	0		21367	4791	34	0	0	0	0		0		0	0	1229	0	0	0	0	0	0	0	0	0	0		
7166	0	0	0	0		0	0	0		152556	321637	840	0	0	0	0		0		0	0	237637	0	0	0	0	0	0	0	0	0	0		
7456	0	0	0	0		0	0	0		26211	7602	33	0	0	0	0		0		0	0	4830	0	0	0	0	0	0	0	0	0			
7634	0	0	0	0		0	0	0		22676	9729	56	0	0	0	0		0		0	0	4129	0	0	0	0	0	0	0	0	0	0		
8033	0	0	0	0		0	0	0		30944	12038	43	0	0	0	0		0		0	0	4640	0	0	0	0	0	0	0	0	0	0		
8417	0	0	0	0		0	0	0		88099	253458	143	0	0	0	0		0		0	0	142654	0	0	0	0	0	0	0	0	0	0		
8462	5	0	0	0		0	0	0		28887	29457	132	0	0	0	0		0		0	0	16257	0	0	0	0	0	0	0	0	0	0		
8547	0			36		0	0	0		146664	43175	245	0			0		0		0	0	13384	0	0	0	0	0	0	0	0	0			
8631	0	0	0	0		0	0	0		29394	11644	62	0	0	0	0		0		0	0	6158	0	0	0	0	0	0						
9357	0	0	0	0		0	0	0		47548	218949	413	0	0	0	0		0		0	0	185353	0	0	0	0	0	0	0	0	0	0		
9553	0	0	0	0		0	0	0		35588	14521	76	0	0	0	0		0		0	0	5920	0	0	0	0	0	0	0	0	0	0		
9807	383	0	0	0		0	0	0		736212	818690	2279	0	0	0	0		0		0	0	459759	0	0	0	0	0	0	0	0	0	0		
9955		1007	0	0		0	0	0		50819	17724	55		16	0	0		0		0	0	3302	0	0	0	0	0	0	0	0	0			
10157	0	0	0	0		0	0	0		40150	13697	64	0	0	0	0		0		0	0	12755	0	0	0	0	0	0	0	0	0	0		
10250	0	0	0	0		0	0	0		176747	83757	378	0	0	0	0		0		0	0	38398	0	0	0	0	0	0	0	0	0	0		
10849	0	0	0	0		0	0	0		110520	77079	371	0	0	0	0		0		0	0	41272	0	0	0	0	0	0	0	0	0	0		
10858	0	0	0	0		0	0	0		204928	127358	523	0	0	0	0		0		0	0	128654	0	0	0	0	0	0						
11145	0	0	0	0		0	0	0		72992	39165	145	0	0	0	0		0		0	0	34085	0	0	0	0	0	0	0	0	0	0		
11640	0	53	0	0		0	0	0		73542	98102	234	38	0	0	0		0		0	0	89286	0	0	0	0	0	0	0	0	0	0		
11837		0	0	0		0	0	0		42045	31786	97		0	0	0		0		0	0	6916	0	0	0	0	0	0	0	0	0			
12030	0	0	0	0		0	0	0		120241	58168	428	0	0	0	0		0		0	0	8373	0	0	0	0	0	0	0	0	0	0		
12058	0	0	0	0		0	0	0		63288	24268	143	0	0	0	0		0		0	0	4625	0	0	0	0	0	0	0	0	0			
12142	0	0	0	0		0	0	0		76236	81230	215	0	0	0	0		0		0	0	40439	0	0	0	0	0	0	0	0	0	0		
12245	0	0	0	0		0	0	0		51526	32719	150	0	0	0	0		0		0	0	23675	0	0	0	0	0	0	0	0	0	0		
12311	0	0	0	2240531	0	0	0	0	0	6437323	13341206	23913	0	0	0	137546		20	0	0	0	10169007	0	0	0	0	0	0	0	0	0	0		
12647	0	0	0	0		0	0	0		32427	17457	84	0	0	0	0		0		0	0	10930	0	0	0	0	0	0	0	0	0	0		
12656	0			0		0	0	0		6010	1802	10	0			0		0		0	0	802	0	0	0	0	0	0	0	0	0			
