RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
1205,-12773,0,26945,,3784,0,0,0,0,,809,0,0,0,18536,15529,2947,2388,7374,23073,34065,8,7074,111,,1165,3456,0,2744,-25678,-25678,0,0,0,-25678,10841,12222,0,990,0,45,-272,214,,,,,,,,,0,0,0,3825,7895,false,0,98,,52,6206,,0,0,0,20,261,5831,50,0,332,4,0,0,0,0,,,,,,,,,,,,0,-25678,,,,,,,,,,,,,,169073,2009-12-31
161,305,0,11467,,1193,15,,0,114,,664,0,0,0,5001,8150,1131,646,2185,7084,13151,8,3783,72,,17,553,0,1116,1372,1912,540,105,0,1372,3750,6039,620,48,308,4,0,0,,,,,,,,,0,0,,1079,3143,false,0,371,,340,653,,0,0,0,0,485,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1372,,,,,,,,,,,,,,169327,2009-12-31
368,87,0,2805,,766,41,943,0,1010,,745,0,0,0,1432,6118,807,629,1347,4578,7550,102,2686,43,,0,0,0,545,2494,2494,0,0,0,2494,109,535,684,67,8,19,0,0,,,,,,,,,0,0,,553,444,true,0,385,,3838,0,,0,0,0,-1,179,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2494,,,,,,,,,,,,,,169354,2009-12-31
32817,8903,0,427088,,140193,1,1584,0,2388,,1491,357,0,3871,148152,308473,40439,43497,133785,392425,456625,2818,122873,1958,,4289,5847,0,51697,-427272,-424610,2662,689,0,-405957,69827,209902,919,108,131,2155,-37417,-2012,240,,,,,,,,0,0,0,36253,68838,false,1,4777,,730,21985,,0,11197,0,-12690,25691,75495,8575,0,5848,241,0,2213,0,0,,-2896,0,0,0,,,,,,,-21315,-427272,,,,,,,,,,,,,,169653,2009-12-31
270,0,0,11093,,2906,0,,0,152,,236,0,0,432,2480,13752,2480,1178,2956,9099,16232,1444,4980,106,,0,587,0,1163,7049,7049,0,0,0,7049,2626,4891,34,22,0,3,49,0,,,,,,,,,0,0,,727,874,true,0,518,,782,2674,,0,7,0,0,814,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,7049,,,,,,,,,,,,,,169756,2009-12-31
263,404,0,3956,,1142,7,,0,180,,290,0,0,0,2362,2935,-1164,310,1116,3015,5297,0,1516,27,,0,743,0,383,-2026,-2022,4,4,0,-2026,1059,1235,274,28,0,21,0,0,,,,,,,,,0,0,,358,970,true,55,285,,0,1023,,0,0,0,-1623,149,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,-2026,,,,,,,,,,,,,,169952,2009-12-31
885,17,0,21660,,3553,1,0,0,806,,1563,0,0,0,10463,18495,1258,768,4875,11153,28958,53,4545,91,,282,3478,0,1625,1739,1417,-322,786,0,1739,1703,15405,1561,338,320,127,0,0,,,,,,,,,0,0,0,2187,3293,false,1,192,,2264,3290,,0,0,0,0,468,0,108,0,1,15,6,0,0,0,,,,,,,,,,,,0,1739,,,,,,,,,,,,,,170051,2009-12-31
88,0,0,1981,,117,1,399,0,406,,30,0,0,0,558,2610,644,469,690,2393,3168,18,1291,33,,0,0,0,412,553,786,233,4,0,553,649,434,30,11,1,6,0,0,,,,,,,,,0,0,,209,250,false,0,375,,469,663,,0,0,0,19,154,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,553,,,,,,,,,,,,,,170257,2009-12-31
275,0,0,12220,,1031,4,,0,76,,0,0,0,0,4387,7931,1233,803,1867,5140,12318,1,2312,68,,0,279,0,961,2256,2231,-25,76,0,2256,5040,2959,0,43,7,-14,-12,16,,,,,,,,,0,0,,1226,2564,true,0,3114,,21,86,,0,0,0,-22,415,0,0,0,33,0,0,0,0,0,,,,,,,,,,,,0,2256,,,,,,,,,,,,,,170332,2009-12-31
20,0,0,823,,69,0,123,0,123,,0,0,0,0,443,716,117,96,200,507,1159,0,230,5,,0,0,0,77,147,216,69,1,0,147,244,106,0,5,0,0,0,0,,,,,,,,,0,0,,151,267,false,0,281,,98,238,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,147,,,,,,,,,,,,,,170640,2009-12-31
5778,5416,0,260547,,22017,27,324,0,13587,,5704,0,0,0,112880,173517,37769,6975,56958,119103,286397,288,44871,827,,34215,24211,4399,17274,-98002,-156307,-58305,14007,0,-98002,64244,35180,1058,5237,0,959,-1223,222,0,1006,0,0,0,,,,0,1006,0,27049,11991,false,8630,116889,,43,18829,,0,0,0,3458,26827,0,0,0,460,0,0,44,0,0,0,,,,,,,,,,,0,-98002,,,,,,,,,,,,,,170716,2009-12-31
260,0,0,2199,,0,3,,0,0,,0,0,0,0,714,1576,720,167,632,1994,2290,0,1213,15,,0,120,0,149,92,125,33,0,0,92,1681,458,0,3,0,15,0,422,,,,,,,,,0,0,,173,158,false,0,60,,73,0,,0,42,0,0,89,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,92,,,,,,,,,,,,,,170976,2009-12-31
2462,29,-1,18810,,1544,54,0,0,,505,3,0,0,0,8556,12170,2105,952,6889,15832,20726,843,7491,110,111,130,493,0,1452,-10304,-16487,-6183,0,0,-10304,4410,9103,0,13,0,39,0,0,,,,,,,,,0,0,0,3635,1712,false,0,248,3000,336,641,,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,-10304,,,,,,,,,,,,,,171133,2009-12-31
149,60,0,3408,,745,5,,0,97,,33,0,0,0,804,3185,750,415,1447,3582,3989,47,1681,40,,2,0,0,454,21,-57,-78,5,0,21,903,1410,33,24,14,4,0,35,,,,,,,,,0,0,,276,353,true,0,253,,180,312,,0,0,0,0,239,0,0,0,32,26,3,0,0,0,,,,,,,,,,,,0,21,,,,,,,,,,,,,,171656,2009-12-31
78,0,0,4385,,493,1,878,0,986,,391,4,0,0,1485,3662,675,293,794,2594,5147,12,1552,23,,0,225,0,248,1510,1513,3,113,0,1510,854,1790,370,14,0,25,-18,173,,,,,,,,,0,0,,217,951,true,0,262,,105,224,,0,40,0,-25,167,0,0,0,0,45,0,0,0,0,,,,,,,,,,,,0,1510,,,,,,,,,,,,,,171759,2009-12-31
450,516,0,9901,,646,24,508,0,519,,144,0,0,0,3104,7340,1075,723,1954,5869,10444,9,3298,54,,4,772,0,617,1699,2700,1001,11,0,1699,4005,4050,144,32,0,5,-118,2,,,,,,,,,0,0,,1029,817,false,25,656,,0,361,,0,0,0,-50,479,0,0,0,5,34,0,0,0,0,,,,,,,,,,,,0,1699,,,,,,,,,,,,,,171768,2009-12-31
127,0,0,2935,,560,2,798,0,798,,17,20,0,0,1013,2383,370,272,595,1656,3396,13,839,20,,0,27,0,222,1020,1065,45,20,0,1020,709,608,0,29,0,5,0,0,,,,,,,,,0,0,,276,554,true,0,260,,404,0,,0,0,0,0,36,0,0,0,62,0,0,0,0,0,,,,,,,,,,,,0,1020,,,,,,,,,,,,,,172158,2009-12-31
49,0,0,1791,,144,2,110,0,121,,36,0,0,0,543,1435,14,77,278,872,1978,84,419,7,,0,5,0,175,451,451,0,11,0,451,820,618,36,28,8,3,-75,0,,,,,,,,,0,0,,126,335,true,0,88,,62,0,,0,0,0,0,10,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,0,451,,,,,,,,,,,,,,172251,2009-12-31
