RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
47,1,0,3388,,235,0,,0,112,,538,0,0,0,1559,2951,280,173,820,2326,4510,0,1256,21,,0,0,0,250,613,606,-7,112,0,613,1557,618,525,35,64,8,15,0,,,,,,,,,0,0,,482,995,false,0,866,,336,240,,0,0,0,0,92,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,613,,,,,,,,,,,,0,,37,2010-12-31
16,40,0,1281,,92,2,143,0,143,,170,0,0,0,328,1265,159,104,216,921,1593,18,593,13,,0,122,0,112,525,530,5,0,0,525,493,329,144,8,0,0,-1,0,,,,,,,,,0,0,,40,142,true,0,224,,122,0,,0,0,0,0,42,0,0,0,13,1,0,0,0,0,,,,,,,,,,,,0,525,,,,,,,,,,,,0,,242,2010-12-31
132,39,-270,4970,,47,5,,0,176,,277,12,0,1,2652,5027,928,570,1523,4189,7679,76,2026,40,,0,939,0,640,733,1101,368,12,0,733,3277,835,277,32,0,6,0,0,,,,,,,,,0,0,,609,940,false,0,635,,540,1793,,0,0,0,0,341,0,0,0,0,16,0,0,0,0,,,,,,,,,,,,0,733,,,,,,,,,,,,0,,279,2010-12-31
10,0,0,231,,16,1,36,0,36,,6,0,0,0,62,301,56,56,132,338,363,3,177,4,,0,0,0,29,18,19,1,0,0,18,64,64,0,0,0,0,0,0,,,,,,,,,0,0,,8,44,false,0,51,,122,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,18,,,,,,,,,,,,0,,354,2010-12-31
175,0,0,2228,,390,3,485,0,507,,17,0,0,0,645,1624,226,107,268,923,2269,0,567,9,,0,150,0,88,534,534,0,21,0,534,582,496,8,11,0,7,76,0,,,,,,,,,0,0,,76,233,true,0,253,,14,0,,0,0,0,0,43,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,534,,,,,,,,,,,,0,,457,2010-12-31
919,0,0,14003,,711,7,0,0,320,,1034,0,0,613,3913,12853,2392,594,3366,11003,16766,86,6561,109,,0,1766,0,1063,2514,3587,1073,235,0,2514,8292,2921,659,7,61,167,-3,428,,,,,,,,,0,0,0,459,762,false,0,1759,,215,1254,,0,28,0,4,628,0,13,0,7,43,50,0,0,0,,,,,,,,,,,,0,2514,,,,,,,,,,,,0,,505,2010-12-31
80,0,0,9223,,2169,0,,0,677,,384,0,0,136,2866,7519,2267,987,2487,5717,10385,29,2736,53,,90,0,0,494,283,366,83,138,0,283,1710,3934,384,653,0,23,86,231,,,,,,,,,0,0,,796,1247,true,50,683,,721,5,,0,0,0,16,645,0,0,0,8,2,120,36,0,0,,,,,,,,,,,,0,283,,,,,,,,,,,,0,,1155,2010-12-31
313,0,0,5507,,1443,11,378,0,378,,1082,0,0,0,2710,4953,537,368,737,2493,7663,0,1420,30,,0,0,0,336,2301,2301,0,0,0,2301,862,1810,1082,212,0,0,-29,0,,,,,,,,,0,0,,858,1327,true,0,1014,,1062,1,,0,0,0,0,180,0,0,0,18,0,0,0,0,0,,,,,,,,,,,,0,2301,,,,,,,,,,,,0,,1351,2010-12-31
288,16,0,13365,,1506,0,172,0,172,,2516,0,0,2033,1794,18316,6568,964,4376,15810,20110,104,9279,148,,0,0,0,2155,8490,8490,0,0,0,8490,5380,4375,1758,73,0,4,5,658,,,,,,,,,0,0,0,639,794,true,0,1932,,3346,775,,0,71,0,17,2752,0,0,0,14,54,0,0,0,0,,,,,,,,,,,,0,8490,,,,,,,,,,,,0,,1454,2010-12-31
14,0,0,1943,,83,6,1015,0,1015,,258,0,0,0,567,1826,123,102,330,1184,2393,44,687,12,,0,63,0,167,426,665,239,0,0,426,141,641,258,14,16,2,0,0,,,,,,,,,0,0,,229,247,false,0,63,,140,0,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,426,,,,,,,,,,,,0,,1557,2010-12-31
