RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
162,0,5,3082,1935,68,51,0,0,180,,235,0,0,0,1699,2191,248,202,458,1488,3890,0,885,27,,0,0,0,145,633,821,188,91,0,633,,,220,125,48,10,0,0,0,0,0,0,0,,,,0,0,,344,1068,false,0,899,,398,114,0,0,0,0,10,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2002-09-30
45,0,0,971,641,71,12,85,0,85,,40,0,0,0,421,802,74,42,118,535,1223,4,332,14,,1,50,0,85,334,334,0,0,0,334,,,0,41,0,0,0,0,1,,,,,,,,,0,,47,237,true,0,174,,195,1,1,0,0,0,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2002-09-30
161,-41,0,1638,1379,57,29,0,0,82,,175,7,0,0,2657,2402,309,208,505,1599,5059,20,912,31,,0,683,0,182,753,1054,301,8,0,753,,,153,72,0,27,0,0,0,0,0,0,0,,,,0,0,,336,1405,false,0,120,,635,2528,12,0,0,0,0,89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2002-09-30
25,13,0,241,111,16,3,44,0,44,,3,0,0,0,115,284,12,10,93,236,399,0,118,4,,1,0,0,25,68,73,5,0,0,68,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,12,77,false,0,70,,152,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2002-09-30
236,0,0,6109,4105,1016,139,0,0,213,,141,0,0,0,2154,4934,754,645,945,3656,7088,0,2052,71,,2,0,0,451,1116,1682,566,115,0,1116,,,141,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,548,1242,false,0,775,,463,236,0,0,0,0,3,106,0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2002-09-30
81,0,0,857,321,98,12,210,0,223,,21,0,0,0,393,635,101,68,91,359,1028,5,228,6,,1,0,0,40,233,370,137,13,0,233,,,20,21,0,0,0,0,0,0,0,0,0,,,,0,0,,18,272,false,0,215,,114,19,0,0,0,0,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2002-09-30
1014,195,0,8901,6093,1226,37,0,0,80,,620,0,0,368,3569,7856,1207,485,2452,7287,11425,0,3793,116,,0,189,0,1029,1074,1311,237,80,0,1074,,,620,130,0,39,-37,0,23,0,0,0,0,0,0,0,0,0,,724,1512,false,22,1480,,532,1296,23,0,0,0,0,337,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2002-09-30
1100,0,0,15160,10828,1769,28,0,0,0,,30,0,0,618,4867,12386,25770,939,5717,25782,17253,151,16874,408,,23,94,489,3100,7557,12324,4767,0,0,7557,,,6,224,0,58,0,6302,123,,,,,0,0,0,0,0,0,1050,1887,false,1762,801,,1765,61,186,0,264,0,15,17440,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2002-09-30
185,0,0,5313,3083,1480,57,207,0,236,,485,4,0,27,2641,3892,788,553,1012,2830,6533,1,1377,51,,217,0,0,441,1272,1715,443,0,0,1272,,,485,345,0,18,0,0,65,0,0,0,0,0,0,0,0,0,,475,1419,false,86,428,,617,38,65,0,0,0,0,129,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2002-09-30
258,0,0,3100,1286,790,59,266,0,266,,201,7,0,0,1748,2724,295,224,212,1291,4472,0,909,25,,0,0,0,170,1111,1658,547,7,0,1111,,,201,147,0,0,0,0,0,0,0,0,0,,,,0,0,,347,996,false,0,758,,1105,0,0,0,0,0,0,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2002-09-30
