RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
10,18,0,776,,57,0,,0,47,,140,0,0,0,355,677,58,35,194,568,1032,0,301,25,,0,0,0,73,119,140,21,36,0,119,350,138,120,9,16,3,0,0,,,,,,,,,0,0,,111,225,false,0,184,,60,53,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,119,,,,,,,,,,,,0,,37,2011-03-31
4,0,0,302,,21,1,28,0,28,,46,0,0,0,74,305,41,27,55,213,379,2,133,13,,0,27,0,25,127,133,6,0,0,127,112,85,37,2,0,0,0,0,,,,,,,,,0,0,,11,30,true,0,56,,28,0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,127,,,,,,,,,,,,0,,242,2011-03-31
28,0,0,1225,,6,2,,0,38,,87,2,0,3,533,1278,221,127,400,1127,1811,14,582,40,,0,184,0,145,285,372,87,0,0,285,844,192,87,8,0,1,1,0,,,,,,,,,0,0,,127,186,false,0,145,,113,367,,0,0,0,0,90,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,285,,,,,,,,,,,,0,,279,2011-03-31
3,0,0,55,,5,0,7,0,7,,3,0,0,0,14,74,19,16,37,90,88,1,46,4,,0,0,0,7,0,3,3,0,0,0,15,15,0,0,0,0,0,0,,,,,,,,,0,0,,2,9,false,0,13,,29,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,,,,,,,,,,,,0,,354,2011-03-31
32,0,0,545,,96,0,113,0,118,,5,0,0,0,114,438,16,26,76,243,552,0,144,9,,0,17,0,23,211,211,0,5,0,211,145,128,2,2,0,2,-21,0,,,,,,,,,0,0,,17,46,true,0,58,,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,211,,,,,,,,,,,,0,,457,2011-03-31
218,0,0,3220,,203,0,0,0,72,,299,0,0,155,831,3180,486,135,805,2713,4011,32,1632,108,,0,399,0,276,645,863,218,47,0,645,1869,668,206,1,15,65,0,12,,,,,,,,,0,0,0,76,137,false,0,408,,32,363,,0,10,0,0,153,0,0,0,2,11,8,0,0,0,,,,,,,,,,,,0,645,,,,,,,,,,,,0,,505,2011-03-31
20,0,0,2263,,542,0,117,0,182,,75,0,0,32,585,1917,480,211,712,1524,2502,10,676,52,,21,0,0,136,466,417,-49,24,0,466,427,941,75,133,0,1,7,12,,,,,,,,,0,0,,160,251,true,12,159,,152,1,,0,0,0,0,169,0,0,0,6,1,29,13,0,0,,,,,,,,,,,,0,466,,,,,,,,,,,,0,,1155,2011-03-31
60,0,0,1320,,351,3,92,0,92,,282,0,0,0,606,1275,172,117,200,645,1881,0,366,28,,0,0,0,79,757,757,0,0,0,757,195,446,282,54,0,0,0,0,,,,,,,,,0,0,,203,289,true,0,236,,276,0,,0,0,0,0,47,0,0,0,8,0,0,0,0,0,,,,,,,,,,,,0,757,,,,,,,,,,,,0,,1351,2011-03-31
74,0,0,3195,,332,0,41,0,41,,651,0,0,471,412,4390,1580,215,1126,3971,4802,32,2295,146,,0,0,0,550,1899,1899,0,0,0,1899,1250,1126,429,20,0,0,0,106,,,,,,,,,0,0,0,152,166,true,0,446,,797,127,,0,22,0,0,753,0,0,0,3,10,0,0,0,0,,,,,,,,,,,,0,1899,,,,,,,,,,,,0,,1454,2011-03-31
4,0,0,503,,23,3,282,0,282,,80,0,0,0,112,516,28,23,92,299,628,11,170,13,,0,12,0,37,234,245,11,0,0,234,37,145,80,3,4,0,0,0,,,,,,,,,0,0,,46,47,false,0,16,,31,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,234,,,,,,,,,,,,0,,1557,2011-03-31
