RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
38,1,0,2576,,176,0,,0,64,,395,0,0,0,1192,2243,216,131,612,1756,3435,0,956,23,,0,0,0,188,514,569,55,56,0,514,1237,454,393,26,48,6,15,0,,,,,,,,,0,0,,338,790,false,0,645,,278,180,,0,0,0,0,70,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,514,,,,,,,,,,,,0,,37,2010-09-30
12,39,0,955,,68,2,104,0,104,,129,0,0,0,253,949,120,79,159,648,1202,15,396,14,,0,96,0,93,455,460,5,0,0,455,373,243,112,6,0,0,-1,0,,,,,,,,,0,0,,29,110,true,0,167,,101,0,,0,0,0,0,31,0,0,0,10,1,0,0,0,0,,,,,,,,,,,,0,455,,,,,,,,,,,,0,,242,2010-09-30
105,39,-269,3716,,38,4,,0,133,,201,10,0,0,2054,3741,701,431,1082,3225,5795,46,1674,40,,0,729,0,469,699,897,198,10,0,699,2417,646,201,24,0,4,4,0,,,,,,,,,0,0,,467,729,false,0,482,,414,1400,,0,0,0,0,254,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,0,699,,,,,,,,,,,,0,,279,2010-09-30
8,0,0,169,,12,1,26,0,26,,3,0,0,0,48,221,35,32,93,244,269,2,128,4,,0,0,0,23,11,12,1,0,0,11,51,43,0,0,0,0,0,0,,,,,,,,,0,0,,6,34,false,0,37,,94,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,11,,,,,,,,,,,,0,,354,2010-09-30
135,0,0,1666,,292,1,366,0,382,,12,0,0,0,474,1221,258,80,214,690,1695,0,413,9,,0,94,0,63,396,396,0,16,0,396,430,372,6,8,0,4,145,0,,,,,,,,,0,0,,57,180,true,0,190,,12,0,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,396,,,,,,,,,,,,0,,457,2010-09-30
671,0,0,10644,,523,7,0,0,249,,758,0,0,453,3017,9649,1603,448,2335,7977,12666,42,4868,108,,0,1360,0,771,2008,2830,822,186,0,2008,6430,2106,477,6,47,113,0,146,,,,,,,,,0,0,0,373,607,false,0,1336,,199,903,,0,20,0,4,450,0,3,0,6,38,38,0,0,0,,,,,,,,,,,,0,2008,,,,,,,,,,,,0,,505,2010-09-30
62,0,0,6894,,1619,0,,0,490,,301,0,0,104,2245,5556,1706,757,1834,4221,7801,22,2009,56,,75,0,0,378,1782,1845,63,91,0,1782,1256,2974,301,516,0,19,86,134,,,,,,,,,0,0,,622,970,true,38,517,,561,4,,0,0,0,22,479,0,0,0,5,2,92,25,0,0,,,,,,,,,,,,0,1782,,,,,,,,,,,,0,,1155,2010-09-30
246,0,0,4146,,1086,8,279,0,279,,792,0,0,0,2069,3673,406,279,544,1854,5742,0,1049,29,,0,0,0,261,1558,1558,0,0,0,1558,647,1369,792,166,0,0,-21,0,,,,,,,,,0,0,,645,1012,true,0,765,,795,1,,0,0,0,0,133,0,0,0,15,0,0,0,0,0,,,,,,,,,,,,0,1558,,,,,,,,,,,,0,,1351,2010-09-30
215,17,0,9978,,1144,0,132,0,132,,1871,0,0,1416,1363,13733,4873,739,3243,11358,15096,72,6566,149,,0,0,0,1549,6815,6815,0,0,0,6815,3925,3324,1324,54,0,2,5,433,,,,,,,,,0,0,0,482,612,true,0,1453,,2553,620,,0,52,0,17,2158,0,0,0,11,42,0,0,0,0,,,,,,,,,,,,0,6815,,,,,,,,,,,,0,,1454,2010-09-30
11,0,0,1437,,57,4,742,0,742,,180,0,0,0,439,1322,95,78,220,814,1761,27,483,12,,0,50,0,111,441,603,162,0,0,441,113,478,180,10,12,1,0,0,,,,,,,,,0,0,,176,192,false,0,47,,112,0,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,441,,,,,,,,,,,,0,,1557,2010-09-30
