RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
18,4,0,922,650,21,79,,0,5,,53,0,0,0,469,797,85,59,150,547,1266,0,332,23,,0,0,0,65,210,294,84,4,0,210,,,49,10,16,3,-1,0,0,,,,,,,,0,0,,139,302,false,0,246,,129,80,0,0,0,0,0,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2006-03-31
25,0,0,396,266,31,13,30,0,37,,5,0,0,0,168,310,41,25,48,213,478,2,130,14,,5,29,0,35,136,138,2,0,0,136,,,2,15,0,0,0,0,0,,,,,,,,0,0,,23,71,true,0,62,,62,0,0,0,0,0,0,12,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2006-03-31
42,0,0,794,678,5,15,,0,34,,54,3,0,0,825,873,156,92,230,808,1698,3,459,38,,0,300,0,119,161,221,60,3,0,161,,,53,10,0,16,0,0,0,,,,,,,,0,0,,155,318,false,0,77,,14,799,3,0,0,0,0,61,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2006-03-31
7,0,0,67,39,5,4,12,0,12,,0,0,0,0,32,76,5,4,20,60,108,0,40,4,,0,0,0,0,21,21,0,0,0,21,,,0,0,0,0,0,0,0,,,,,,,,0,0,,6,19,false,0,11,,37,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2006-03-31
96,0,0,1826,1371,280,124,,0,69,,10,0,0,0,609,1606,250,197,229,1060,2215,0,555,55,,0,0,0,110,487,729,242,42,0,487,,,10,34,0,0,0,0,0,,,,,,,,0,0,,325,154,false,0,106,,112,143,0,0,0,0,0,45,0,166,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2006-03-31
44,0,0,470,235,65,2,87,0,90,,4,0,0,0,165,323,46,37,53,197,488,0,109,9,,1,0,0,35,147,147,0,3,0,147,,,4,10,0,1,0,0,0,,,,,,,,0,0,,39,71,true,0,80,,10,1,0,0,0,0,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2006-03-31
334,0,0,3250,2335,297,0,0,0,62,,50,0,0,137,1339,2769,434,168,800,2558,4108,2,1416,118,,0,327,0,341,478,600,122,62,0,478,,,50,5,10,34,0,1,15,,,,,,,,0,0,0,251,422,false,0,556,,206,566,15,0,7,0,0,105,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2006-03-31
1004,0,0,6506,5193,631,3,0,0,0,,2,0,0,216,2577,4759,7190,511,2263,10905,7336,79,7020,531,,46,243,163,1621,632,1044,412,0,0,632,,,2,134,0,20,0,0,46,,,,,,,,0,0,0,365,622,false,505,177,,462,264,0,0,64,0,19,6309,0,1,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2006-03-31
47,0,0,2177,1251,628,0,,0,117,,216,0,0,24,1063,1495,422,254,430,1240,2558,1,671,53,,84,108,0,139,485,587,102,11,0,485,,,216,66,0,9,0,0,32,,,,,,,,0,0,,349,409,false,18,163,,152,3,32,0,0,0,0,108,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2006-03-31
171,0,0,1189,550,315,56,101,0,101,,95,2,0,0,711,864,140,104,118,440,1575,0,263,25,,0,0,0,59,554,554,0,2,0,554,,,95,79,0,0,0,0,0,,,,,,,,0,0,,130,331,true,0,223,,227,6,0,0,0,0,0,30,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2006-03-31
419,3,0,3337,1452,934,251,68,0,68,,261,1,0,286,1071,4029,1106,253,926,3362,5100,4,1996,152,,0,0,0,435,1636,1636,0,1,0,1636,,,236,74,0,2,0,21,97,,,,,,,,0,0,0,249,329,true,26,857,,930,314,97,0,8,0,0,437,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2006-03-31
6,0,0,355,126,10,19,205,0,205,,14,0,0,0,156,329,24,20,70,217,485,0,115,9,,0,24,0,32,82,136,54,0,0,82,,,14,5,4,0,0,0,0,,,,,,,,0,0,,35,86,false,0,14,,97,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2006-03-31
1109,0,0,8001,6475,1102,0,111,0,161,,50,0,0,0,3528,4844,668,449,916,2588,8372,3,1370,98,,247,393,0,302,1400,2224,824,1,0,1400,,,50,26,6,59,0,0,0,,,,,,,,0,0,0,1089,664,false,0,263,,254,5,1,0,8,0,0,209,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2006-03-31
51,0,0,1188,803,151,116,,0,36,,94,0,0,0,925,1653,381,262,344,1150,2578,16,612,62,,0,4,0,150,593,814,221,0,0,593,,,94,163,8,6,0,0,0,,,,,,,,0,0,,214,493,false,0,198,,1157,1,0,0,0,0,0,121,0,44,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2006-03-31
207,0,0,2672,2131,479,0,0,0,0,,560,334,0,0,1491,2886,275,162,774,2092,4377,101,1090,86,,11,61,0,228,822,934,112,127,0,822,,,510,25,0,8,8,-20,0,,,,,,,,0,0,0,354,833,false,15,47,,244,458,26,0,0,0,0,98,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2006-03-31
13,0,0,326,215,43,6,37,0,37,,11,0,0,0,2136,920,51,45,116,244,3056,0,114,13,,1,1367,0,14,712,712,0,0,0,712,,,11,7,0,58,0,0,0,,,,,,,,0,0,,452,296,true,0,31,,0,2655,0,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2006-03-31
164,0,0,2052,1434,464,6,,0,0,,221,0,0,3,907,1447,184,96,255,918,2354,1,510,41,,19,195,0,153,93,13,-80,0,0,93,,,221,8,0,18,-5,31,0,,,,,,,,0,0,,264,257,false,15,139,,27,29,0,0,0,0,0,58,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2006-03-31
25,0,0,1033,539,160,33,,0,43,,50,0,0,0,346,1000,221,140,309,741,1346,49,370,31,,0,0,0,62,334,473,139,0,0,334,,,50,38,0,9,0,0,0,,,,,,,,0,0,,114,169,false,15,276,,88,84,0,0,0,0,0,75,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2006-03-31
798,0,0,9351,9250,94,15,0,0,0,,88,0,0,0,6036,6822,943,175,830,4320,12858,0,2903,138,,109,1686,0,545,1868,3052,1184,0,0,1868,,,0,57,0,120,0,0,0,,,,,,,,0,0,0,660,2726,false,0,7,,170,3114,0,0,0,0,0,768,0,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2006-03-31
20,0,0,566,261,195,4,94,0,94,,5,0,0,0,200,382,51,21,62,263,582,1,188,13,,0,64,0,13,119,170,51,0,0,119,,,0,4,0,6,0,24,0,,,,,,,,0,0,,28,84,false,0,16,,0,0,0,0,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2006-03-31
1,0,0,73,22,13,10,26,0,26,,1,0,0,0,28,89,5,4,24,55,117,0,27,4,,0,0,0,4,33,33,0,0,0,33,,,0,4,0,0,0,0,0,,,,,,,,0,0,,5,18,true,0,12,,33,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2006-03-31
646,0,0,7386,5239,1562,106,0,0,0,,241,0,0,34,2467,5433,316,194,667,3366,7900,0,2301,115,,0,2,0,373,1368,2308,940,0,0,1368,,,222,92,0,0,0,0,31,,,,,,,,0,0,0,1295,432,false,0,585,,167,0,31,0,0,0,0,57,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2006-03-31
86,0,0,636,232,45,2,317,0,317,,14,0,0,0,419,385,59,29,121,333,804,10,194,12,,7,69,0,18,98,101,3,0,0,98,,,10,31,1,5,0,0,0,0,0,0,0,,,,0,0,0,73,153,true,0,42,,82,55,0,0,0,0,0,29,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2006-03-31
461,0,0,5566,4347,951,0,64,0,106,,47,0,0,0,2211,3897,631,475,806,1965,6108,10,968,72,,368,288,0,191,1242,1988,746,0,0,1242,,,47,15,4,49,0,0,1,,,,,,,,0,0,0,262,817,false,0,162,,394,42,0,0,0,0,0,155,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,2006-03-31
85,0,0,1022,336,102,0,451,0,456,,123,1,0,0,434,1114,143,103,135,624,1548,58,436,36,,21,38,0,53,448,633,185,1,0,448,,,104,43,6,3,12,0,0,,,,,,,,0,0,,111,136,false,0,128,,191,150,0,0,0,0,-3,26,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2006-03-31
14,0,0,153,87,41,15,13,0,14,,34,18,0,0,146,172,16,13,37,127,318,33,74,8,,18,0,0,16,44,61,17,0,0,44,,,13,25,0,1,0,0,0,,,,,,,,0,0,,35,54,false,0,11,,63,1,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2006-03-31
3440,23,0,18405,14523,3807,0,0,0,27,,706,448,0,0,7890,14126,2652,891,2105,9694,22016,0,5437,325,,421,1177,0,1959,4997,6932,1935,59,0,4997,,,687,149,17,103,0,261,193,,,,,,,,0,0,0,506,2197,false,20,28,,1011,1343,193,0,80,0,0,1227,0,193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,2006-03-31
129,2,0,1718,1409,115,77,,0,65,,130,0,0,0,655,1642,450,270,400,1207,2297,0,675,57,,28,45,0,132,611,865,254,24,0,611,,,130,58,13,8,9,0,47,,,,,,,,0,0,,123,272,false,0,129,,275,89,47,0,0,0,0,115,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2006-03-31
231,0,0,1790,769,476,18,441,0,441,,0,0,0,0,493,1324,284,199,360,1077,1817,0,535,37,,2,4,0,182,381,381,0,0,0,381,,,0,26,0,9,2,0,0,,,,,,,,0,0,,83,147,true,0,104,,0,0,0,0,0,0,0,81,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,2006-03-31
182,0,0,2206,1719,181,6,,0,0,,115,0,0,0,962,1720,311,257,447,1484,2682,0,819,84,,5,33,0,218,332,487,155,0,0,332,,,102,17,10,0,0,0,0,,,,,,,,0,0,,277,448,false,0,306,,355,0,0,0,0,0,0,54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,2006-03-31
138,0,0,1138,898,156,10,,0,0,,155,0,0,0,563,861,175,38,302,894,1424,1,472,33,,32,119,0,120,108,112,4,0,0,108,,,154,23,0,61,0,0,0,,,,,,,,0,0,,57,194,false,15,69,,58,1,19,0,22,0,0,96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2006-03-31
95,0,0,1806,919,461,0,327,0,327,,206,12,0,0,798,1356,274,176,295,992,2154,0,579,53,,0,195,0,118,567,590,23,0,0,567,,,191,37,0,1,0,0,2,,,,,,,,0,0,,126,345,true,0,99,,129,0,2,0,0,0,0,96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2006-03-31
110,-14,0,1021,742,82,10,,0,46,,90,0,0,0,729,849,130,110,194,617,1578,0,368,32,,8,0,0,55,249,327,78,26,0,249,,,90,38,0,0,0,0,0,,,,,,,,0,0,,307,266,false,0,151,,285,172,0,0,0,0,0,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,2006-03-31
630,-18,0,2989,2116,490,11,0,0,46,,82,0,0,3,1194,2135,287,150,440,1230,3329,11,580,57,,37,112,0,210,683,1054,371,9,0,683,,,78,21,12,9,0,0,0,0,0,0,0,,,,0,0,0,161,233,false,0,337,,203,24,0,0,0,0,-1,134,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,2006-03-31
288,7,0,3472,3223,176,1,,0,16,,268,0,0,0,1810,2470,356,296,508,2182,4280,2,1329,86,,114,295,0,345,573,581,8,0,0,573,,,212,37,0,12,0,17,0,,,,,,,,0,0,,627,449,true,0,57,,115,410,0,0,0,0,0,43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,2006-03-31
252,247,0,3455,3362,84,45,0,0,0,,443,0,0,0,1721,2666,916,59,623,2901,4387,4,1739,107,,0,354,0,539,592,893,301,0,0,592,,,42,15,5,33,0,0,32,,,,,,,,0,0,0,380,720,false,0,9,,310,97,23,0,0,0,-1,115,0,0,0,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005,2006-03-31
115,0,0,1069,752,195,0,,0,0,,108,0,0,0,479,877,205,126,171,594,1356,9,344,29,,0,16,0,79,456,471,15,0,0,456,,,101,11,0,5,0,0,0,,,,,,,,0,0,,169,168,true,4,118,,95,70,0,0,0,0,7,72,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050,2006-03-31
454,0,0,7143,7119,21,277,0,0,3,,21,0,0,0,2427,5163,57,2,391,933,7590,0,1352,27,,0,0,0,-810,4118,4287,169,0,0,4118,,,5,22,7,0,0,0,0,,,,,,,,0,0,0,1124,827,true,0,0,,149,0,0,0,0,0,0,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069,2006-03-31
134,-1,0,3700,2395,697,211,278,0,342,,29,0,0,0,1690,2557,350,221,656,1411,4247,7,622,52,,0,157,0,133,876,1345,469,64,0,876,,,29,120,0,16,0,10,0,,,,,,,,0,0,,830,449,false,17,249,,264,20,0,0,0,0,0,116,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135,2006-03-31
1259,0,0,7836,6943,433,0,47,0,318,,722,0,0,151,5313,6256,1212,413,1449,5378,11569,30,2753,223,,110,1781,0,1160,1374,1865,491,63,0,1374,,,228,50,0,89,0,29,0,,,,,,,,0,0,0,441,1672,false,0,142,,1653,1239,1,0,1,0,0,618,0,16,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2006-03-31
115,0,0,1607,1347,214,3,,0,3,,28,0,0,0,897,955,115,37,287,854,1852,34,421,34,,12,142,0,146,133,199,66,3,0,133,,,28,10,0,31,0,25,0,,,,,,,,0,0,,38,580,false,0,43,,117,32,0,0,25,0,0,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274,2006-03-31
308,-388,0,2556,2416,105,5,0,0,0,,409,0,0,0,1989,2143,347,244,638,1832,4132,0,1238,78,,764,207,0,-44,313,270,-43,0,0,313,,,388,23,207,27,0,0,0,,,,,,,,0,0,0,232,455,false,0,35,,1040,95,0,0,0,0,0,103,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331,2006-03-31
510,-34,0,4358,3388,705,18,7,0,170,,373,0,0,0,865,4674,751,590,993,3414,5539,2,1853,120,,27,6,0,529,1910,1977,67,0,0,1910,,,285,27,0,0,0,0,0,,,,,,,,0,0,0,179,116,true,0,95,,583,205,0,0,0,0,0,161,0,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5461,2006-03-31
263,0,0,837,233,74,50,487,0,489,,117,0,0,7,490,873,89,29,105,395,1363,0,267,20,,0,0,0,23,545,567,22,2,0,545,,,109,29,0,0,0,0,2,,,,,,,,0,0,,100,98,true,0,41,,220,139,10,0,0,0,0,42,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5751,2006-03-31
33,0,0,1242,655,421,119,,0,54,,4,0,0,0,495,1003,165,121,211,656,1498,33,362,27,,0,0,0,83,287,437,150,33,0,287,,,4,31,0,5,0,0,1,,,,,,,,0,0,,169,262,false,19,93,,95,0,11,0,0,0,0,28,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2006-03-31
6,0,0,228,145,28,8,29,0,39,,1,0,0,0,104,159,34,22,47,145,263,0,89,7,,0,5,0,9,36,37,1,0,0,36,,,0,1,0,0,0,0,0,,,,,,,,0,0,,9,83,true,0,16,,26,0,0,0,2,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6057,2006-03-31
3,0,0,258,153,17,48,25,0,28,,49,0,0,0,109,346,56,44,116,284,455,0,130,12,,0,0,0,38,83,103,20,2,0,83,,,48,16,3,0,0,0,0,,,,,,,,0,0,,44,46,false,0,60,,46,54,0,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6141,2006-03-31
96,0,0,5227,2652,624,78,,0,142,,56,0,0,0,1579,4341,763,427,740,3077,5920,2,1738,148,,11,26,0,599,1042,1627,585,10,0,1042,,,56,119,0,8,0,0,0,,,,,,,,0,0,,713,614,false,41,1768,,254,295,0,0,0,0,0,314,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6329,2006-03-31
1345,0,0,10705,9273,1231,2,0,0,124,,296,0,0,380,3423,9620,4949,893,2317,11997,13043,0,7836,434,,375,396,0,1844,2197,2197,0,61,0,2197,,,290,118,38,2,0,1926,0,,,,,,,,0,0,0,498,691,true,0,77,,2037,1,77,0,0,0,0,1673,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6972,2006-03-31
