"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																0	157	344	1149	20	52	32	0	0	0	0	596	0	0	0	dda non post			
242																0	163	0	410	8	12	0	0	0	0	0	235	0	0	0				
279																0	1475	158	2382	62	133	0	0	0	0	0	616	46	0	0				
354																0	5	26	182	0	59	43	0	0	0	0	92	0	0	0	FEDERAL INCOME TAX			
439																0	340	627	2792	0	420	341	0	0	0	0	1405	0	0	0	Investment - Midland Tax Credit			
457																0	40	0	805	0	465	0	0	0	0	0	300	453	0	0				
505																0	1751	1261	7043	2036	2822	0	0	0	0	0	1209	0	0	0				
1146																0	1802	0	13564	2199	10615	6233	0	0	0	0	1147	0	0	0	LTC-TITLE PLANT INVTS			
1155																0	705	731	5991	63	3292	19	0	0	0	0	1263	3167	0	0	Computer Software			
1351																0	0	0	1149	56	101	45	0	0	0	0	1048	0	0	0	Computer Software			
1454																0	1096	0	4432	705	1102	0	0	0	0	0	2234	0	0	0				
1557																0	129	0	635	43	64	0	0	0	0	0	442	0	0	0				
1632																0	2232	870	8110	0	1447	0	0	0	0	0	3561	1230	0	0				
1669																0	425	745	8815	107	5761	0	0	0	0	0	1884	5649	0	0				
1829																0	1011	127	4099	300	1144	411	0	0	0	0	1817	0	0	0	Prepaid Taxes			
1856																0	4420	0	5989	200	200	0	0	0	0	0	1369	0	0	0				
2040																0	1149	321	3621	230	1394	89	8	0	0	0	757	1067	0	0	Computer software	Petroleum cleanup receivables		
2161																0	244	174	3386	141	2259	0	0	0	0	306	403	2118	0	0				
2376																0	9203	5287	44142	374	26069	0	0	0	0	0	3583	23918	0	0				
2451																0	409	0	846	0	125	38	0	0	0	0	312	0	0	0	Data Processing			
2554																0	0	0	134	8	56	30	0	0	0	0	78	0	0	0	Accrued interest US Agency Securities			
2732																0	181	783	4142	99	477	102	0	0	0	0	2701	254	0	0	Leashehold Purchase			
2750																0	397	0	1935	0	748	0	0	0	0	0	790	623	0	0				
2938																0	2502	1850	5802	35	35	0	0	0	0	0	1415	0	0	0				
3252																0	286	177	2769	342	679	200	129	0	0	0	1627	0	0	0	LEASES	NP DDA DEBITS		
3458																0	75	35	309	36	37	0	0	0	0	0	162	0	0	0				
3506																0	10807	2820	56347	0	34617	0	0	0	0	0	8103	26941	0	0				
3720																0	567	923	4592	0	1912	0	0	0	0	0	1190	1772	0	0				
3953																0	937	0	2813	191	739	0	0	0	0	0	1137	548	0	0				
4138																0	901	0	2563	260	686	0	0	0	0	0	976	0	0	0				
4147																0	3332	0	7939	0	4179	0	0	0	0	0	428	3704	0	0				
4156																0	1303	26	5629	0	2895	0	0	0	0	0	1405	2769	0	0				
4231																0	0	781	1944	0	57	0	0	0	0	0	1106	0	0	0				
4437																0	739	888	3543	0	802	417	0	0	0	0	1114	0	0	0	Due from Parent Company			
4839																0	1509	0	3164	165	210	0	0	0	0	0	1445	0	0	0				
5005																0	2207	0	11861	0	8398	0	0	0	0	0	1256	6553	0	0				
5050																0	418	15	1262	68	83	0	0	0	0	0	746	0	0	0				
5069																0	0	327	2966	804	1090	0	0	0	0	0	1549	0	0	0				
