"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	32	0	0	0		0	0	0		51007	14415	84	0	0	0	0		0		0	0	7935	0	0	0	0	0	0	0	0	0	0		
242	0	0	0	0		0	0	0		17556	4963	34	0	0	0	0		0		0	0	896	0	0	0	0	0	0	0	0	0	0		
279	0	0	0	0		0	0	0		62970	16588	121	0	0	0	0		0		0	0	9648	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6081	827	3	0	0	0	0		0		0	0	527	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		99911	52233	217	0	0	0	0		0		0	0	28135	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		18309	7005	40	0	0	0	0		0		0	0	2750	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		157435	109381	375	0	0	0	0		0		0	0	86890	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	811		0	0	10		208507	187283	823	0	0	0	0		0		0	0	105253	0	0	0	0	0	0	0	0	0	0		
1155	0	0	0	0		0	0	0		83374	40479	150	0	0	0	0		0		0	0	16900	0	0	0	0	0	0	0	0	0	0		
