"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	LN LEASE RSTRCTD OTHR	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	
37																																	0	280	1253	0	9136		210		21	0			964	0	9803	0	0	43717	0	0			0	21976	74	0	12177	888	3258	9026	4508	4021	94	2360	5881	7335	4008	1738	281								0	0			0	0	
242																																	0	0	2327	0	3917		8		2600	0			1666	0	2660	0	0	20668	0	0			0	7405	85	0	5726	474	1292	4429	654	453	0	4787	4648	2460	1245	95	0								0	0			0	0	
279																																	0	4443	370	1082	7365		20		285	0			1100	137	3110	0	0	45181	13	314			191	26554	414	880	5545	1342	165	1288	1480	10486	11793	4048	1718	2302	3071	6332	1169								0	0			0	0	
354																																	0	0	760	0	42		0		638	0			248	0	564	0	0	4047	0	0			0	1795	0	1683	87	1768	0	0	0	0	0	1169	430	443	121	0	0								0	0			0	0	
439																																	0	5023	19250	152	45732		0		2479	0			17167	0	5866	0	3106	121881	0	0			0	22328	778	1989	51381	3292	4686	9554	3742	832	25	40376	14151	31439	11192	2238	0								0	0			0	0	
457																																	0	2314	2455	0	3299		32		4863	0			3576	0	3879	0	318	25906	0	0			0	4929	241	4436	12045	685	1209	2994	41	0	0	3493	6658	8908	1766	148	0								0	0			0	0	
505																																	0	9067	0	5453	24826		23		0	0			14775	10498	38650	0	6548	204193	8090	0			0	97928	4000	30347	21576	1	28535	741	3519	37962	27170	26205	12348	10657	29810	23212	11962								0	515			0	0	
1146																																	0	77293	5497	9408	72500	59	870	811	0	0	25465	0	25465	12798	12319	0	0	332675	6	0	0	0	0	79524	9602	17665	163140	28847	7614	11574	8100	689	22701	88925	24808	89665	45982	2411	329	0	0	0	0	0	0	0	27245	160	0		0	0	
1155																																	0	11287	5531	236	29940		2793		4562	0			29670	1175	6865	0	899	116741	0	0			0	17707	5289	1002	37366	2463	2533	4218	6265	1677	551	29713	13459	19198	29944	4690	1750								514	273			0	0	
1351																																	0	0	9135	0	10703		138		4642	0			15111	0	8524	0	0	57481	0	182			0	9046	0	8470	48664	2227	6265	275	120	122	0	12693	27479	5334	2750	122	0								0	0		0	0	0	
1454																																	0	14400	5430	1206	46449	0	52	52	2606	0	34626	0	34626	1604	29838	0	0	192311	452	145	145	0	0	48136	5512	3286	36602	3490	3177	2910	4263	25191	9062	45623	12102	19488	42174	24438	555	0	0	0	0	0	0	0	1570	1189	0		0	0	
1557																																	0	0	3369	0	1680		7		10557	0			683	0	730	0	0	19392	0	0			0	2366	0	0	8553	1	60	884	1060	361	0	1197	7295	3177	4449	528	380								0	0		0	0	0	
1632																																	0	153061	7818	7120	92854	0	2215	2215	5757	0	55471	0	55471	24238	11669	0	618	418156	0	0	0	0	0	51945	5390	18719	175269	21661	9452	15206	3605	263	1758	233343	27367	63881	28253	12306	838	0	0	0	0	0	0	0	0	0	0		0	0	
1669																																	0	398	91	0	7537		100		1679	28			8552	0	9444	0	50	69846	0	0			0	40105	1890	24483	6741	1678	6512	4620	3327	16085	7876	3601	7819	6215	7460	4494	138								0	0			0	0	
1829																																	0	2886	0	13031	40768	0	156	156	0	0	24355	0	24355	7344	1414	0	0	180938	203	20054	20054	0	0	58684	11087	0	23000	41	70	1699	6805	27292	22715	22212	677	14427	37767	43685	3397	0	0	0	0	0	0	0	599	763	0		0	0	
1856																																	0	93	1106	0	5898		0		1485	0			2660	0	908	0	0	14786	0	0			0	2636	0	2284	2900	2098	206	139	0	0	0	9716	421	1234	424	161	0								0	0			0	0	
2040																																	150	5755	3616	4450	2393		23		2816	0			60127	936	6159	0	0	120479	0	0			0	32353	1254	1181	53409	4970	6025	18530	554	312	204	23943	18472	34919	8236	1730	0								447	0			0	0	
2161																																	0	592	937	0	6730		130		2206	0			6486	0	9839	0	0	56196	14	0			0	28853	0	21778	17358	514	7117	9609	5945	5157	511	5153	4574	8046	6986	2389	195								437	0			0	0	
2376																																	0	31616	0	184524	131928	0	0	0	0	0	3369	0	3369	5867	484	0	0	585478	0	0	0	0	0	183441	44249	23589	27025	357	1565	5575	5871	116710	53191	43577	3574	38377	24074	167145	124958	0	0	0	0	0	0	0	0	0	0		0	0	
2451																																	0	0	6141	266	3965		515		2771	0			4741	96	419	0	0	23828	0	0			0	4669	245	3628	6096	1735	2681	131	10	112	0	12638	4674	559	938	350	0								0	0			0	0	
