"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	260	239	1299	7	83	76	0	0	0	0	717	0	0	Federal Income Taxes Payable                                                                                                                                                                     			
242															0	137	0	325	0	4				0	0	184	0	0				
279															0	1866	0	2785	45	102	0	0	0	0	0	817	29	0				
354															0	4	0	133	0	18	0	0	0	0	0	111	0	0				
439															0	0	167	1516	18	28	0	0	0	0	0	1321	0	0				
457															0	40	101	782	0	410	0	0	0	0	0	231	395	0				
505															0	1419	0	4860	1039	2345	901	0	0	0	0	1096	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	2338	0	11322	1018	8177	5405	0	0	0	0	807	0	0	LTC-TITLE PLANT INVESTMENT                                                                                                                                                                       			
1155															0	463	167	1726	65	96	0	0	0	0	0	1000	0	0				
1351															0	0	435	1608	32	32	0	0	0	0	0	1141	0	0				
1454															0	1106	0	3762	737	880	0	0	0	0	0	1776	0	0				
1557															0	23	0	650	36	87	0	0	0	0	0	540	0	0				
1632															0	1200	488	4766	0	1509	0	0	0	0	0	1569	1004	0				
1669															22	682	0	3364	224	246	0	0	0	0	0	2436	0	0				
1829															0	881	0	3479	310	908	231	0	0	0	0	1690	0	0	Prepaid Taxes                                                                                                                                                                                    			
1856															0	29	0	327	0	113	0	0	0	0	0	185	0	0				
2040															0	972	22	2208	243	431	96	92	0	0	0	783	0	0	Petroleum Cleanup Receivables                                                                                                                                                                    	Computer Software                                                                                                                                                                                		
2161															0	198	0	2644	0	2052	203	0	0	0	0	394	1667	0	Accrued US Govnment Agency                                                                                                                                                                       			
2376															0	4750	0	9574	310	1469	0	0	0	0	0	3355	0	0				
2451															0	120	1	416	0	84	0	0	0	0	0	211	47	0				
2554															0	0	0	105	3	25	0	0	0	0	0	80	0	0				
2732															0	181	0	2870	65	722	132	299	0	0	0	1967	200	0	leashold purchase                                                                                                                                                                                	federal income tax receivable - current                                                                                                                                                          		
2750															0	196	0	2032	0	780	0	0	0	0	0	1056	676	0				
2938															75	1775	97	4477	126	201	0	0	0	0	0	2404	0	0				
2956															30	0	34	1136	0	72	42	0	0	0	0	1030	0	0	Refundable Income Taxes                                                                                                                                                                          			
3252															0	267	0	2723	254	927	251	391	0	0	0	1529	0	0	NP DDA Debits                                                                                                                                                                                    	Leases                                                                                                                                                                                           		
3458															0	47	28	287	0	33	0	0	0	0	0	179	0	0				
3506															0	3937	872	33218	0	23733	0	0	0	0	0	4676	21274	0				
3579															0	1930	0	4798	0	1590	777	0	0	0	0	1278	0	0	Prepaid Pension Contribution                                                                                                                                                                     			
3720															0	625	164	3772	0	2417	0	0	0	0	0	566	1634	0				
