"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
952172																														0	597	0	6828	10159		0		0	0			3221	11745	1328	0	0	128207	0	0			0	92911	1418	47962	1657	583	5152	8907	30409	24476	22844	14284	1072	2192	6975	8057	2296								0	0		
952257																														0	324	4578	0	2509		73		1521	0			3774	0	3692	0	229	26469	0	552			0	8781	436	5812	10246	2194	4181	885	1104	358	0	4668	7223	2826	2039	926	0								0	0		
952453																														0	440	9	545	6613		24		25	0			5524	4613	4867	0	519	34005	1	0			0	6691	3654	998	24577	858	2259	2369	875	330	1	17144	4794	4340	770	204	0								97	385		
952547																														0	1950	17853	598	14802		0		4143	4			11444	1464	9586	0	775	97958	0	0			0	33104	2050	23221	17745	762	8500	12073	4989	3277	3430	10040	10713	15735	23991	3487	868								0	189		
952846																														0	58	5785	233	1906		40		5323	0			2125	0	1128	0	0	23203	0	48			0	6495	0	4032	8642	401	486	4766	225	604	13	7017	2561	4824	1142	1162	2								0	62		
953357																														0	3625	3599	814	7352		33		2798	0			7777	250	6756	0	0	39785	0	0			0	5822	959	0	14969	0	682	3378	1570	117	75	4707	12127	5965	6967	2536	1219								0	0		
953450																														0	33	668	0	708		0		518	0			1516	0	2298	0	139	8335	0	0			0	2394	0	46	2562	101	200	399	794	900	0	1305	956	2053	1331	296	0								61	0		
953535																														0	518	21533	1184	5082		271		17180	22			8591	0	3623	0	227	81040	3	1514			0	20206	514	11873	20539	1095	1897	8978	2527	4951	758	21681	10750	16230	9800	2065	282								583	17		
953843																														0	9186	1240	349	17195		231		1433	0			9475	132	4457	0	0	56787	120	0			0	11130	2079	10	19191	1662	302	410	6649	2107	0	11300	9092	9790	13547	1806	119								0	0		
953852																														0	16436	713	832	13864		33		404	0			6133	0	5798	0	1449	70969	0	0			0	22569	2637	3148	20601	1949	3300	4968	9090	572	2651	22375	8190	6862	9148	1291	318								0	101		
953955																														327	1046	981	0	1579		169		181	0			1067	720	931	0	67	13907	0	0			0	6771	68	6771	3095	246	518	1410	2926	729	941	1869	2133	814	1540	442	339								0	0		
954158																														0	0	5584	0	415		32		9569	0			1743	0	1138	0	0	18898	0	251			0	94	0	0	6365	0	3	0	27	0	64	7949	4122	2777	2156	1237	141								72	0		
954251																														0	947	4866	0	5429		34		3535	0			3971	0	5959	0	432	43320	0	99			0	17441	202	16900	11506	1922	8113	7157	46	0	0	5592	13879	4674	1260	35	0								405	0		
954279																														0	39044	0	5982	19519		0		0	351			25	18917	1278	0	0	235492	466	0			0	147136	3224	9910	87536	25174	4946	3274	1721	57757	53755	54184	3232	12677	4192	14190	46								71	762		
954457																														0	34530	826	9873	134746	758	1063	305	2077	0	51554	0	51554	2774	7722	0	4000	267720	403	0	0	0	0	17689	1269	3340	96612	2008	5028	8561	843	1115	115	91585	62838	71445	12878	10348	0	0	0	0	0	0	0	0	0	0	0	
954550																														0	1665	830	0	7224		18		0	0			6140	1715	4681	0	0	31004	0	163			0	5939	2521	101	3662	1275	619	1839	1052	359	795	5436	1591	8318	8254	389	341								0	108		
954653																														0	1130	441	1647	8541		848		418	0			6359	0	4151	0	140	28776	0	0			0	5099	2	799	7487	381	351	1098	1875	1325	69	7944	3546	5800	4972	778	618								0	0		
955052																														0	0	1406	0	1338		728		3586	0			2066	0	586	0	0	10169	0	0			0	225	212	0	3781	0	11	161	53	0	0	3447	2481	2207	1354	433	22								0	22		
955548																														0	494	0	0	18305		0		78	0			11522	6258	10248	0	0	64075	0	0			0	15265	1791	0	12921	172	438	1114	5233	7801	511	20928	4040	8350	10398	5090	0								0	114		
955605																														0	11429	0	6612	50074		174		0	0			14060	589	1878	0	0	130950	138	11			1032	28930	17101	5285	19025	4401	889	3146	10402	4890	5191	37335	5369	9474	15633	32159	2039								0	230		
955623																														0	3283	2042	2758	16767		73		1402	586			11473	5222	2170	0	3166	59154	0	0			0	8290	1869	332	4419	1976	929	1119	963	2024	850	17055	3740	3600	5974	6593	11089								284	355		
955753																														0	2240	1500	672	8712		0		358	0			2363	66	2428	0	290	37122	0	0			33	15260	3091	3962	7077	1086	2695	5052	4646	304	1301	3662	3415	7268	6606	855	0								142	0		
955856																														0	29835	14058	1284	33867		15		1629	169			13625	226	7617	0	623	137093	0	1162			0	32889	263	11460	72698	5970	22069	1757	650	2413	30	47916	33072	13910	4410	4783	113								0	0		
955940																														0	3530	9356	388	15420		31		4462	0			6240	0	4795	0	0	80679	7	0			0	35056	1408	12416	22290	4493	10625	10978	8523	97	0	10060	16060	9052	8523	1163	54								0	0		
955959																														0	2136	4423	1395	4962		382		14223	0			17570	0	8946	0	0	65729	0	376			137	9422	738	5012	19833	3121	560	982	897	1218	2644	34657	4569	5226	8810	2759	252								1019	137		
956134																														0	189	770	0	7961		80		22	0			3090	1160	12003	0	0	47303	0	0			0	20755	1113	2637	6962	694	1945	5110	10856	1675	370	3339	1965	8438	10512	2037	73								160	0		
956152																														0	1357	9042	0	2467		30		7471	62			3030	0	4025	0	173	33913	0	0			0	6138	54	2099	9844	230	628	2826	1478	976	0	9689	4458	7027	4709	1682	42								126	0		
