"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	INVEST. IN UNCONSOLIDATED SUBS & CO.	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	DIRECT&INDIRECT INVEST IN RE VENTURE	DIRECT&INDIRECT INVEST IN RE VENTURE	ALL OTHR INVEST IN UNCONSLDTD SUBS	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	# OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	FHLB ADVANCES: MATURING 1-3 YEARS	FHLB ADVANCES: MATURING > 3 YEARS	OTHER BORROWINGS MATURING 1-3 YEARS	OTHER BORROWINGS MATURING > 3 YEARS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	
37																							0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	311	0	0	0	0	0	0	0	false	0	0	
242																							0	0	0	100	0	1212	0	0	0	0	0	0	0	0	0	453	1	0	0	800	312	0	0	true	0	0	
279																							31	236	0	5500	31	36339	0	0	236	0	0	0	0	0	0	126	0	31	0	4250	26589	0	0	false	0	0	
354																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	1	0	0	0	0	0	0	false	0	0	
439																							3268	0	231	0	0	0	0	0	0	3268	0	0	231	0	0	3461	2	0	0	0	0	0	0	false	0	0	
457																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	false	0	0	
505																							152	24	456	2500	0	9000	0	0	24	152	0	0	108	211	137	3917	3	0	0	2500	4000	0	0	true	0	0	
1146																							413	0	1059	0	3	15000	0	0	0	410	119	0	811	0	129	1053	1	3	0	0	15000	0	0	true	0	0	
1155																							0	0	78	0	0	0	0	0	0	0	0	0	78	0	0	5680	6	0	0	0	0	0	0	true	0	0	
1351																							0	0	133	0	0	0	0	0	0	0	0	0	0	0	133	297	0	0	0	0	0	0	0	false	0	0	
1454																							137	0	0	0	0	0	0	0	0	137	0	0	0	0	0	22321	5	0	0	0	0	0	0	true	0	0	
1557																							0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	false	0	105	
1632																							0	0	191	10000	0	24000	0	0	0	0	0	0	0	0	191	13386	5	0	0	5000	9000	0	0	true	0	0	
1669																							0	0	31	5000	0	5532	0	0	0	0	0	0	31	0	0	1963	2	0	0	0	0	0	0	false	0	532	
1829																							0	0	39	0	0	5000	0	0	0	0	0	0	39	0	0	1888	2	0	0	0	5000	0	0	false	0	0	
1856																							0	0	0	0	0	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	1379	
2040																							0	0	0	1000	0	17556	0	0	0	0	0	0	0	0	0	532	0	0	0	11300	5160	0	0	false	0	96	
2161																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	false	0	0	
2376																							5	2702	650	0	0	95000	650	2702	0	5	0	0	0	0	0	11428	2	0	0	5000	90000	0	0	false	0	0	
2451																							0	0	2	1150	0	2400	0	0	0	0	2	0	0	0	0	285	3	0	0	0	1250	0	0	false	0	0	
2554																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	
2732																							1610	0	0	0	0	383	0	0	0	1610	0	0	0	0	0	5964	3	0	0	0	0	0	0	true	0	383	
2750																							0	0	608	1775	0	3875	0	0	0	0	0	608	0	0	0	1398	2	0	0	100	1900	0	0	false	0	100	
2938																							0	0	3319	20000	0	35500	0	0	0	0	111	0	68	0	3140	18496	9	0	0	0	15500	0	0	true	688	0	
2956																							0	0	148	0	0	0	0	0	0	0	2	0	135	0	11	7	0	0	0	0	0	0	0	false	0	0	
3252																							0	0	0	2000	0	5100	0	0	0	0	0	0	0	0	0	613	0	0	0	0	3000	0	0	false	0	100	
3458																							0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	false	0	0	
3506																							231	0	0	0	0	10000	0	0	0	231	0	0	0	0	0	1657	0	0	0	0	10000	0	0	true	0	0	
3579																							0	0	0	13841	0	30311	0	0	0	0	0	0	0	0	0	6685	4	0	0	9326	5980	73	576	false	0	515	
3720																							0	0	31	1000	0	9411	0	0	0	0	0	0	0	0	31	872	1	0	0	5000	2000	30	0	true	0	1381	
3953																							0	0	1507	0	0	209	0	0	0	0	0	193	60	0	1254	1055	2	0	0	209	0	0	0	false	0	0	
4138																							0	24	328	0	0	5391	0	0	24	0	37	131	0	160	0	5556	3	0	0	0	5391	0	0	true	0	0	
4147																							0	0	0	4500	0	6000	0	0	0	0	0	0	0	0	0	3154	4	0	0	1500	0	0	0	false	0	0	
4156																							0	0	43	1144	0	8144	0	0	0	0	0	0	43	0	0	822	1	0	0	500	6500	0	0	false	0	0	
4231																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	1	0	0	0	0	0	0	false	0	0	
4437																							0	0	30	65	0	1350	0	0	0	0	0	0	30	0	0	5339	4	0	0	140	1145	0	0	false	0	0	
4745																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	1	0	0	0	0	0	0	false	0	0	
4839																							0	205	281	5500	0	21900	0	0	205	0	0	0	60	0	221	13533	5	0	0	13400	3000	0	0	false	0	0	
5005																							0	0	0	4161	0	25256	0	0	0	0	0	0	0	0	0	186	0	0	0	2128	18967	0	0	true	0	0	
5050																							0	0	498	3400	0	3400	0	0	0	0	218	280	0	0	0	3523	4	0	0	0	0	0	0	false	0	0	
5069																							0	0	128	0	0	0	73	0	0	0	55	0	0	0	0	160	0	0	0	0	0	0	0	false	0	0	
5135																							0	0	1027	0	0	12000	0	0	0	0	80	0	100	0	847	10674	6	0	0	0	12000	0	0	false	0	0	
5210																							417	0	559	20050	0	40500	0	0	0	417	0	0	112	0	447	2342	1	0	0	0	20000	0	0	false	0	450	
5247																							0	0	3740	0	0	4090	0	0	0	0	3048	692	0	0	0	250	0	0	0	0	0	0	2000	false	0	2090	
5274																							0	0	0	7500	0	9166	0	0	0	0	0	0	0	0	0	2722	2	0	0	1000	500	0	166	false	0	0	
5331																							0	0	314	2250	0	21461	314	0	0	0	0	0	0	0	0	3053	2	0	0	16500	2250	0	0	false	0	461	
5461																							1461	4408	0	0	0	448	0	816	3592	1461	0	0	0	0	0	1790	1	0	0	0	0	0	0	false	0	448	
5751																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	true	0	0	
5939																							21219	0	16787	165000	5589	173293	0	0	0	15630	4	0	1591	0	15192	57	0	7737	0	0	7240	1053	0	false	0	0	
6039																							0	0	109	0	0	16	0	0	0	0	0	0	49	0	60	388	0	0	0	0	0	8	0	true	0	8	
6057																							0	0	38	200	0	1100	0	0	0	0	0	0	14	0	24	111	0	0	0	400	500	0	0	false	0	0	
6141																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	false	0	0	
6329																							0	0	565	5000	0	5000	0	0	0	0	0	0	0	0	565	4000	2	0	0	0	0	0	0	false	0	0	
6972																							0	449	283	0	0	2607	0	0	449	0	0	0	0	0	283	2432	1	0	0	0	0	0	2607	false	0	0	
7009																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	1	0	0	0	0	0	0	false	0	0	
7045																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	false	0	0	
7157																							0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	93	0	0	0	0	0	0	0	false	0	0	
7166																							153	0	0	10000	0	10000	0	0	0	153	0	0	0	0	0	4852	4	0	0	0	0	0	0	false	0	0	
7456																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	false	0	0	
