"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								1833										
242								1048										
279								2074										
354								87										
439								8715										
457								1060										
505								7490										
1146								17095	5006	0	0	0	1286	3319	0	3319	7484	
1155								6395										
1351								2244										
1454								17000										
1557								1974										
1632								8420										
1669								11041										
1829								6708										
1856								1346										
2040								4127										
2161								9458										
2376								8372	0	0	0	0	2884	5272	0	5272	216	
2451								164										
2554								1140										
2732								17511	3402	0	0	0	3975	6486	0	6486	3648	
2750								828										
2938								21891										
2956								3109										
3252								8230										
3458								4441										
3506								23265	12423	432	0	432	8513	199	0	199	1698	
3579								5744										
3720								4224										
3953								2651										
4138								3886										
4147								2375										
4156								4549										
4231								2301										
4437								5317										
4745								394										
4839								4991										
5005								5512										
5050								3195										
5069								1853										
5135								8105										
5210								19098	7103	0	0	0	9271	1268	0	1268	1456	
5247								28435	42	0	0	0	6942	14453	0	14453	6998	
5274								8116										
5331								9010										
5461								23916										
5751								3795										
5939								65223	33709	58	0	58	9167	14197	0	14197	8092	
6039								3633										
6057								449										
6141								2996										
6329								8478										
6972								37726	3111	0	0	0	6735	21450	0	21450	6430	
7009								8384	153	5000	5000	0	10	3196	0	3196	25	
7045								5010										
7157								4428										
7166								12777	10243	0	0	0	2120	383	0	383	31	
7456								1346										
7634								3457										
8033								2851										
8154								2486										
8417								173786	0	0	0	0	0	118183	0	118183	55603	
8462								3732										
8547								11017	11	0	0	0	3777	5957	0	5957	1272	
8631								2210										
9115								71653	36962	0	0	0	24742	2	0	2	9947	
9160								17487										
9357								24609										
9553								2681										
9807								130849	18743	0	0	0	4777	98051	0	98051	9278	
9955								7774										
10157								2455										
10250								10802										
10849								17955										
