"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
37	909	180	65	0	987	323	0	
242	128	17	1	0	130	20	0	
279	352	31	7	0	323	9	0	
354	135	18	34	0	133	50	0	
439	1005	500	147	0	931	573	0	
457	192	40	7	0	152	7	0	
505	2056	2317	150	0	2118	2529	0	
1146	2890	400	48	0	3009	567	0	
1155	1345	180	11	0	1239	85	0	
1351	380	100	16	0	374	110	0	
1454	828	100	44	0	862	178	0	
1557	380	17	65	0	358	60	0	
1632	2618	683	220	0	2088	373	0	
1669	1528	765	36	0	915	188	0	
1829	2089	504	196	5	1695	301	0	
1856	109	0	2	0	111	4	0	
2040	1238	493	87	0	1381	723	0	
2161	511	113	54	0	492	148	0	
2376	6164	573	2	0	5046	6	549	
2451	131	30	2	0	111	12	0	
2554	43	24	1	0	33	15	0	
2732	2525	845	41	0	2296	657	0	
2750	776	174	89	0	899	386	0	
2938	3340	1902	17	0	2433	1012	0	
2956	875	187	24	0	852	188	0	
3252	1224	655	136	0	886	453	0	
3458	342	0	18	0	353	29	0	
3506	7206	1500	63	0	6569	926	0	
3579	1913	402	27	0	1563	79	0	
3720	1078	101	5	0	1004	32	0	
3953	844	350	34	0	665	205	0	
4138	974	350	41	0	943	360	0	
4147	466	36	6	0	497	73	0	
4156	1325	576	85	0	636	186	214	
4231	691	75	46	0	660	90	0	
4437	1036	304	16	0	837	121	0	
4745	61	4	2	0	55	0	0	
4839	1745	585	90	0	1516	446	0	
5005	1238	-463	0	0	1747	46	0	
5050	549	140	44	0	540	175	0	
5069	5494	360	0	0	5139	5	0	
5135	1664	22	67	0	1069	206	712	
5210	3837	370	80	0	3723	336	0	
5247	2253	180	27	0	2222	176	0	
5274	689	93	55	0	646	105	0	
5331	624	0	4	0	735	92	-23	
5461	1752	0	96	0	1671	15	0	
5751	807	90	9	0	714	6	0	
5939	27987	5350	1619	0	31997	10979	0	
6039	940	295	34	0	924	313	0	
6057	176	144	5	0	140	113	0	
6141	316	60	25	0	411	180	0	
6329	2615	1400	146	0	1697	628	0	
6972	6257	2635	7	0	3858	243	0	
7009	0	0	0	0	0	0	0	
7045	713	150	38	0	676	151	0	
7157	199	0	7	0	215	23	0	
7166	4100	1240	29	0	3776	359	-586	
7456	415	60	0	0	360	5	0	
7634	616	505	6	0	440	335	0	
8033	617	0	57	0	615	55	0	
8154	421	-105	110	0	537	121	0	
8417	433	141	0	0	292	0	0	
8462	336	75	33	0	344	116	0	
8547	3684	610	259	0	4217	1402	0	
8631	333	275	20	0	271	233	0	
9115	8644	1450	127	0	7631	564	0	
9160	1210	45	17	0	1153	5	0	
9357	2842	705	37	0	2285	185	0	
9553	491	60	4	0	430	3	0	
9807	35475	3500	104	0	32154	283	0	
9955	407	500	14	0	480	587	0	
10157	589	175	184	0	596	366	0	
10250	1735	1477	58	0	1479	1279	0	
10849	1689	249	3	0	1447	10	0	
10858	4768	7519	42	0	3973	5949	-817	
11145	1197	438	50	0	854	145	0	
11640	1163	367	91	0	1014	309	0	
11837	1213	0	89	0	1145	21	0	
12030	3505	1700	1847	0	3690	3732	0	
12058	1076	1649	110	0	726	1409	0	
12142	1163	180	177	0	1149	343	0	
12245	744	52	10	0	701	19	0	
12311	323010	188875	37439	0	367588	228873	-42019	
12357	86	5	0	0	81	0	0	
12647	431	48	1	0	407	25	0	
12656	303	20	17	0	321	55	0	
12937	830	72	0	0	768	10	0	
