"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	
37	0	0	0	0	0	0	17	0	0	0	0	0	65	0			0	0	323	0	0	0						0						0			0	0	0	0			0	0	226	53	12	0	80	0	
242	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	20	0	0	0						0						0			0	0	0	0			0	0	20	1	0	0	0	0	
279	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	0	9	0	0	0						0						0			0	0	0	0			0	0	9	7	0	0	0	0	
354	0	0	0	0	0	0	0	4	0	0	0	0	34	6			0	2	50	0	0	8						8						2			0	0	0	0			0	0	42	22	0	0	0	0	
439	0	0	0	24	0	0	131	0	0	0	0	0	147	84			0	0	573	273	0	0						0						0			0	0	0	0			0	0	111	17	22	0	58	0	
457	0	0	0	0	0	0	3	0	0	0	0	0	7	0			0	6	7	0	0	0						0						6			0	0	0	0			0	0	4	1	0	0	0	0	
505	0	0	0	0	1665	0	200	9	0	0	0	0	150	66			0	0	2529	414	0	0						0						0			0	0	0	0			5	0	177	58	17	0	68	0	
1146	35	20	0	0	0	0	0	0	0	0	0	0	48	5		0	0	0	567	45	0	0		0	0		0	0		0	0		0	0		0	0	0	6	5			372	16	109	2	0	0	0	0	
1155	0	0	0	0	0	0	0	0	0	0	0	0	11	1			0	0	85	0	0	0						0						0			0	0	0	0			3	0	52	10	0	0	30	0	
1351	0	0	0	0	0	0	0	0	0	0	0	0	16	9			0	0	110	14	0	18						18						0			0	0	0	0			0	0	78	7	0	0	0	0	
1454	0	0	0	0	0	0	0	0	0	0	0	0	44	6			0	5	178	2	0	22						0						0			0	0	0	0			28	5	126	28	0	0	0	0	
1557	0	0	0	0	0	0	0	0	0	0	0	0	65	60			0	3	60	60	0	0						0						3			0	0	0	0			0	0	0	2	0	0	0	0	
1632	0	0	0	95	0	0	22	6	0	0	0	0	220	18			0	24	373	217	0	17						0						23			0	0	0	0			0	0	83	68	9	0	34	0	
1669	0	0	0	0	0	0	0	0	0	0	0	0	36	6			0	0	188	17	0	7						0						0			0	0	0	0			0	0	157	30	0	0	7	0	
1829	0	0	0	0	0	0	0	0	0	0	0	0	196	182			0	0	306	200	0	0						0						0			0	0	0	0			31	3	75	11	0	0	0	0	
1856	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	4	0	0	0						0						2			0	0	0	0			0	0	4	0	0	0	0	0	
2040	0	0	0	0	0	0	0	0	0	0	0	0	87	48			0	0	723	536	0	0						0						0			0	0	0	0			17	0	162	31	8	0	8	0	
2161	0	0	0	0	0	0	0	0	0	0	0	0	54	0			0	0	148	7	0	0						0						0			0	0	0	0			8	2	118	52	0	0	15	0	
2376	0	0	0	0	0	0	0	0	0	0	0	0	2	0		0	0	0	6	0	0	0		0	0		0	0		0	0		0	0		0	0	0	0	0			0	0	0	0	2	0	6	0	
2451	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	0	12	12	0	0						0						0			0	0	0	0			0	0	0	2	0	0	0	0	
