"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		44303	17198	117	0	0	0	0		0		0	0		7726	0	0	0	0	0	0	0	0	0	0		
242	0			0		0	0	0		15320	5294	21	0			0		0		0	0		1248	0	0	0	0	0	0	0	0	0			
279	0	0	0	0		0	0	0		63444	14398	112	0	0	0	0		0		0	0		7325	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6396	658	2	0	0	0	0		0		0	0		458	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		99212	32817	156	0	0	0	0		0		0	0		17154	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		16471	4014	23	0	0	0	0		0		0	0		2208	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		146244	87009	343	0	0	0	0		0		0	0		64110	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	2401		0	0	10		173704	136853	651	0	0	0	0		0		0	0		73694	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		79101	29151	135	0	0	0	0		0		0	0		15652	0	0	0	0	0	0	0	0	0	0		
1351	0	21	0	0		0	0	0		42292	38355	191	0	0	0	0		0		0	0		19255	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		174777	102280	344	0	0	0	0		0		0	0		81433	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		23257	4070	27	0	0	0	0		0		0	0		6548	0	0	0	0	0	0	0	0	0	0		
1632	23	0	0	0		0	0	0		102418	84457	199	6	0	0	0		0		92	0		75285	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		138384	51094	176	0	0	0	0		0		0	0		33022	0	0	0	0	0	0	0	0	0	0		
