RCFA2170,RCFA3128,RCFA3792,RCFA5310,RCFA5311,RCFA7204,RCFA7205,RCFA7206,RCFA8274,RCFAA223,RCFAA224,RCFAB530,RCFAB596,RCFAH015,RCFAH036,RCFAH311,RCFAH313,RCFAH314,RCFAJJ30,RCFAJJ31,RCFAJJ32,RCFAKW00,RCFAKW03,RCFAKX77,RCFAKX78,RCFAKX79,RCFAKX80,RCFAKX81,RCFAKX82,RCFAKX83,RCFALB58,RCFALB59,RCFALB60,RCFALB61,RCFAP742,RCFAP793,RCFAP839,RCFAP840,RCFAP841,RCFAP842,RCFAP843,RCFAP844,RCFAP846,RCFAP847,RCFAP848,RCFAP849,RCFAP850,RCFAP852,RCFAP857,RCFAP858,RCFAP859,RCFAP860,RCFAP861,RCFAP862,RCFAP863,RCFAP864,RCFAP865,RCFAP866,RCFAP867,RCFAP868,RCFAP870,RCFAP872,RCFAP875,RCFAQ258,RCFAS540,RCFW3792,RCFW5310,RCFW5311,RCFW7205,RCFW7206,RCFWA223,RCFWH312,RCFWP793,RCFWP851,RCFWP852,RCFWP853,RCFWP854,RCFWP855,RCFWP856,RCFWP857,RCFWP858,RCFWP859,RCFWP870,RCOA2170,RCOA3128,RCOA3792,RCOA5310,RCOA5311,RCOA7204,RCOA7205,RCOA7206,RCOA8274,RCOAA223,RCOAA224,RCOAB530,RCOAB596,RCOAH311,RCOAH313,RCOAH314,RCOAJJ29,RCOAJJ30,RCOAJJ31,RCOAJJ32,RCOAKW00,RCOAKX77,RCOAKX78,RCOAKX79,RCOAKX80,RCOAKX81,RCOAKX82,RCOAKX83,RCOALB58,RCOALB59,RCOALB60,RCOALB61,RCOALE74,RCOANC99,RCOAP742,RCOAP793,RCOAP838,RCOAP839,RCOAP840,RCOAP841,RCOAP842,RCOAP843,RCOAP844,RCOAP846,RCOAP847,RCOAP848,RCOAP849,RCOAP850,RCOAP852,RCOAP857,RCOAP858,RCOAP859,RCOAP860,RCOAP861,RCOAP862,RCOAP863,RCOAP864,RCOAP865,RCOAP866,RCOAP867,RCOAP868,RCOAP870,RCOAP872,RCOAP875,RCOAQ258,RCOAS540,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15120,495,495,17.8984%,38.7117%,37.4443%,14625,39058,81711,-14,0,30.7117%,,,,,,,,,,,,,,,,,,,,,4700,37.4443%,1,0,14788,0,0,142,-14,0,0,0,,0,14660,35,35,14625,0,0,0,0,35,0,0,0,0,495,0,177,0,,37,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5690,184,184,13.2080%,21.7691%,21.0651%,5506,26138,41687,-10,0,13.7691%,,,,,,,,,,,,,,,,,,,,,240,21.0651%,1,0,5496,0,0,0,-10,0,0,0,,0,5506,0,0,5506,0,0,0,0,0,0,0,0,0,184,0,0,0,,242,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30053,971,971,13.7752%,25.4825%,24.6591%,29082,117936,211118,-88,0,17.4825%,,,,,,,,,,,,,,,,,,,,,1,24.6591%,1,0,28994,0,0,0,-88,0,0,0,,0,29082,0,0,29082,0,0,0,0,0,0,0,0,0,971,0,0,0,,279,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,53,53,10.1544%,20.2432%,18.9795%,796,4194,7839,-4,0,12.2432%,,,,,,,,,,,,,,,,,,,,,525,18.9795%,1,0,836,0,0,35,-4,0,0,0,,0,805,9,9,796,0,0,0,0,9,0,0,0,0,53,0,44,0,,354,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441,516,516,9.8614%,12.8066%,11.5921%,4925,42486,49942,0,0,4.8066%,,,,,,,,,,,,,,,,,,,,,4000,11.5921%,1,0,4925,0,0,0,0,0,0,0,,0,4925,0,0,4925,0,0,0,0,0,0,0,0,0,516,0,0,0,,457,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44131,4640,4640,8.0415%,11.8954%,10.6447%,39491,370991,491090,-2756,0,3.8954%,,,,,,,,,,,,,,,,,,,,,17133,10.6385%,1,0,37901,1189,0,0,-154,0,-2602,0,,0,39468,0,0,39468,0,0,23,23,0,23,0,0,0,4640,0,1189,0,,505,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23471,2451,2451,9.2571%,12.0121%,10.7577%,21020,195395,227070,-103,0,4.0121%,,,,,,,,,,,,,,,,,,,,,6500,10.7577%,1,0,20917,0,0,0,-103,0,0,0,,0,21020,0,0,21020,0,0,0,0,0,0,0,0,0,2451,0,0,0,,1155,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26082,1200,1200,16.4688%,23.8573%,22.7597%,24882,109325,151086,-99,0,15.8573%,,,,,,,,,,,,,,,,,,,,,770,22.7597%,1,0,24783,0,0,0,-99,0,0,0,,0,24882,0,0,24882,0,0,0,0,0,0,0,0,0,1200,0,0,0,,1351,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88396,3364,3389,11.5058%,29.1730%,28.0546%,85007,303006,738817,-5628,0,21.1730%,,,,,,,,,,,,,,,,,,,,,2214,28.0546%,1,0,79379,0,0,0,-5628,0,0,0,,0,85007,0,0,85007,0,0,0,0,0,0,0,0,0,3389,0,0,0,,1454,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10599,614,614,15.0469%,21.7046%,20.4472%,9985,48833,66359,-141,0,13.7046%,,,,,,,,,,,,,,,,,,,,,9824,20.4472%,1,0,10017,0,173,0,-141,0,0,0,,0,9985,0,0,9985,0,0,0,0,0,0,0,0,0,614,0,173,0,,1557,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46268,1687,1687,15.6810%,34.5908%,33.3296%,44581,133758,284300,-469,0,26.5908%,,,,,,,,,,,,,,,,,,,,,1600,33.3296%,1,0,45050,0,0,0,469,0,0,0,,0,44581,0,0,44581,0,0,0,0,0,0,0,0,0,1687,0,0,0,,1669,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14664,580,580,11.8229%,25.9834%,24.9557%,14084,56436,119125,-506,0,17.9834%,,,,,,,,,,,,,,,,,,,,,14782,24.9557%,1,0,13676,98,0,0,-506,0,0,0,,0,14084,0,0,14084,0,0,0,0,0,0,0,0,0,580,0,98,0,,1856,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23772,1825,1825,10.9151%,16.3908%,15.1324%,21947,145033,201070,71,0,8.3908%,,,,,,,,,,,,,,,,,,,,,4750,15.1324%,1,0,22371,0,0,282,71,0,0,0,,0,22018,71,71,21947,0,0,0,0,71,0,0,0,0,1825,0,282,0,,2040,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17218,949,949,10.5086%,18.1703%,17.1688%,16269,94759,154816,151,0,10.1703%,,,,,,,,,,,,,,,,,,,,,2356,17.1688%,1,0,16420,0,0,0,151,0,0,0,,0,16269,0,0,16269,0,0,0,0,0,0,0,0,0,949,0,0,0,,2161,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516301,30402,30402,11.7183%,13.9227%,13.1029%,485899,3708344,4146504,5532,0,5.9227%,,,,,,,,,,,,,,,,,,,,,43784,13.1029%,1,0,491430,0,0,0,-358,6564,-675,0,,0,485899,0,0,485899,0,0,0,0,0,0,0,0,0,30402,0,0,0,,2376,2017-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492,144,144,9.2672%,12.8976%,11.6528%,1348,11568,14546,-9,0,4.8976%,,,,,,,,,,,,,,,,,,,,,1300,11.6528%,1,0,1628,289,0,0,-9,0,0,0,,0,1348,0,0,1348,0,0,0,0,0,0,0,0,0,144,0,289,0,,2554,2017-12-31
