RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,,,,,,,37,2016-09-30
,,,,,,,,,,,,,,,242,2016-09-30
,,,,,,,,,,,,,,,279,2016-09-30
,,,,,,,,,,,,,,,354,2016-09-30
,,,,,,,,,,,,,,,457,2016-09-30
,,,,,,,,,21345,0,,1390,,19697,505,2016-09-30
,,,,,,,,,,,,,,,1155,2016-09-30
,,,,,,,,,,,,,,,1351,2016-09-30
,,,,,,,,,205681,7392,,5564,,191894,1454,2016-09-30
,,,,,,,,,,,,,,,1557,2016-09-30
,,,,,,,,,,,,,,,1669,2016-09-30
,,,,,,,,,9102,2783,,1770,,2636,1829,2016-09-30
,,,,,,,,,,,,,,,1856,2016-09-30
,,,,,,,,,,,,,,,2040,2016-09-30
,,,,,,,,,,,,,,,2161,2016-09-30
,,,,,,,,,25237,0,,2749,,159,2376,2016-09-30
,,,,,,,,,,,,,,,2554,2016-09-30
,,,,,,,,,29219,0,,2790,,13951,2732,2016-09-30
,,,,,,,,,,,,,,,2750,2016-09-30
,,,,,,,,,145469,92,,7560,,136874,3177,2016-09-30
,,,,,,,,,,,,,,,3252,2016-09-30
,,,,,,,,,,,,,,,3458,2016-09-30
,,,,,,,,,,,,,,,3720,2016-09-30
,,,,,,,,,62493,832,,4476,,40822,3971,2016-09-30
,,,,,,,,,,,,,,,4156,2016-09-30
,,,,,,,,,,,,,,,4231,2016-09-30
,,,,,,,,,20787,2339,,1523,,4661,4839,2016-09-30
,,,,,,,,,30884,1127,,172,,28610,5069,2016-09-30
,,,,,,,,,52037,0,,3239,,48233,5135,2016-09-30
,,,,,,,,,55391,7311,,6379,,36127,5210,2016-09-30
,,,,,,,,,62419,8938,,7748,,40616,5461,2016-09-30
,,,,,,,,,,,,,,,5751,2016-09-30
,,,,,,,,,,,,,,,6039,2016-09-30
,,,,,,,,,,,,,,,6141,2016-09-30
,,,,,,,,,36963,21,,8427,,14534,6329,2016-09-30
,,,,,,,,,242349,299,,12,,231781,7009,2016-09-30
,,,,,,,,,,,,,,,7045,2016-09-30
,,,,,,,,,,,,,,,7072,2016-09-30
,,,,,,,,,,,,,,,7157,2016-09-30
,,,,,,,,,,,,,,,7456,2016-09-30
,,,,,,,,,,,,,,,7634,2016-09-30
,,,,,,,,,,,,,,,8033,2016-09-30
,,,,,,,,,,,,,,,8462,2016-09-30
,,,,,,,,,,,,,,,8631,2016-09-30
,,,,,,,,,10904,8972,,250,,846,9357,2016-09-30
,,,,,,,,,,,,,,,9553,2016-09-30
,,,,,,,,,52714,22866,,4853,,14783,9807,2016-09-30
,,,,,,,,,,,,,,,9955,2016-09-30
,,,,,,,,,42894,4665,,1521,,26350,10250,2016-09-30
,,,,,,,,,20408,23,,1549,,12560,10849,2016-09-30
,,,,,,,,,,,,,,,11145,2016-09-30
,,,,,,,,,70402,9625,,5305,,53326,11275,2016-09-30
,,,,,,,,,11702,86,,3232,,749,11640,2016-09-30
,,,,,,,,,,,,,,,11837,2016-09-30
,,,,,,,,,41197,4,,4366,,18991,12030,2016-09-30
,,,,,,,,,,,,,,,12142,2016-09-30
,,,,,,,,,,,,,,,12179,2016-09-30
1437227,1013178,,0,9307,,0,95105,319637,1437227,564738,9307,448440,95105,319637,12311,2016-09-30
,,,,,,,,,,,,,,,12647,2016-09-30
,,,,,,,,,1611,45,,295,,5,12656,2016-09-30
,,,,,,,,,,,,,,,12937,2016-09-30
,,,,,,,,,35574,11679,,6479,,15461,12946,2016-09-30
,,,,,,,,,,,,,,,12955,2016-09-30
,,,,,,,,,29098,0,,2905,,6177,13103,2016-09-30
,,,,,,,,,,,,,,,13251,2016-09-30
,,,,,,,,,,,,,,,13457,2016-09-30
,,,,,,,,,,,,,,,14052,2016-09-30
,,,,,,,,,,,,,,,14155,2016-09-30
,,,,,,,,,,,,,,,14650,2016-09-30
,,,,,,,,,,,,,,,14753,2016-09-30
,,,,,,,,,44552,2210,,2786,,23429,14865,2016-09-30
,,,,,,,,,,,,,,,14977,2016-09-30
,,,,,,,,,12229,0,,3016,,0,16551,2016-09-30
,,,,,,,,,,,,,,,16748,2016-09-30
,,,,,,,,,,,,,,,17110,2016-09-30
,,,,,,,,,128361,0,,41600,,7924,17147,2016-09-30
,,,,,,,,,7282,0,,783,,0,17259,2016-09-30
,,,,,,,,,152087,25774,,26686,,95802,17464,2016-09-30
,,,,,,,,,10959,0,,2173,,2251,17950,2016-09-30
