RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,8867,,,,,,37,2010-12-31
,,,,,,,,,1294,,,,,,242,2010-12-31
,,,,,,,,,6231,,,,,,279,2010-12-31
,,,,,,,,,430,,,,,,354,2010-12-31
,,,,,,,,,3063,,,,,,457,2010-12-31
,,,,,,,,,52045,4,0,1156,754,50131,505,2010-12-31
,,,,,,,,,24659,,,,,,1155,2010-12-31
,,,,,,,,,2645,,,,,,1351,2010-12-31
,,,,,,,,,30804,3502,0,8308,236,18758,1454,2010-12-31
,,,,,,,,,3230,,,,,,1557,2010-12-31
,,,,,,,,,22849,,,,,,1669,2010-12-31
,,,,,,,,,64895,2855,0,1954,5735,54351,1829,2010-12-31
,,,,,,,,,31023,,,,,,1856,2010-12-31
,,,,,,,,,1840,,,,,,2040,2010-12-31
,,,,,,,,,15911,,,,,,2161,2010-12-31
,,,,,,,,,6282,0,0,2304,3433,545,2376,2010-12-31
,,,,,,,,,4340,,,,,,2554,2010-12-31
,,,,,,,,,59565,1599,0,2759,13193,42014,2732,2010-12-31
,,,,,,,,,803,,,,,,2750,2010-12-31
,,,,,,,,,5372,,,,,,3252,2010-12-31
,,,,,,,,,5900,,,,,,3458,2010-12-31
,,,,,,,,,18594,,,,,,3720,2010-12-31
,,,,,,,,,2561,,,,,,3953,2010-12-31
,,,,,,,,,30348,,,,,,4138,2010-12-31
,,,,,,,,,3539,,,,,,4156,2010-12-31
,,,,,,,,,9359,,,,,,4231,2010-12-31
,,,,,,,,,17480,,,,,,4437,2010-12-31
,,,,,,,,,4569,821,0,1425,1427,896,4839,2010-12-31
,,,,,,,,,50750,2207,0,1421,5337,41785,5005,2010-12-31
,,,,,,,,,74189,0,0,195,2683,71311,5069,2010-12-31
,,,,,,,,,56662,0,0,3535,340,52787,5135,2010-12-31
,,,,,,,,,24174,6497,0,7259,1652,8766,5210,2010-12-31
,,,,,,,,,4680,900,0,1041,1448,1291,5331,2010-12-31
,,,,,,,,,34711,5363,0,5084,554,23710,5461,2010-12-31
,,,,,,,,,1640,,,,,,5751,2010-12-31
,,,,,,,,,14441,,,,,,6039,2010-12-31
,,,,,,,,,4461,,,,,,6141,2010-12-31
,,,,,,,,,32720,253,0,6288,9033,17146,6329,2010-12-31
,,,,,,,,,19144,5589,0,6076,360,7119,6972,2010-12-31
,,,,,,,,,7592,226,2000,15,5326,25,7009,2010-12-31
,,,,,,,,,23228,,,,,,7045,2010-12-31
,,,,,,,,,630,,,,,,7157,2010-12-31
,,,,,,,,,1034,,,,,,7456,2010-12-31
,,,,,,,,,8333,,,,,,7634,2010-12-31
,,,,,,,,,14102,,,,,,8033,2010-12-31
,,,,,,,,,15053,,,,,,8462,2010-12-31
,,,,,,,,,2763,,,,,,8631,2010-12-31
,,,,,,,,,4992,3487,0,860,645,0,9357,2010-12-31
,,,,,,,,,5663,,,,,,9553,2010-12-31
,,,,,,,,,168179,8428,0,6114,12944,140693,9807,2010-12-31
,,,,,,,,,19976,,,,,,9955,2010-12-31
,,,,,,,,,18781,2781,0,1733,7267,7000,10250,2010-12-31
,,,,,,,,,25115,52,0,1281,3403,20379,10849,2010-12-31
,,,,,,,,,28586,3461,0,2195,722,22208,10858,2010-12-31
,,,,,,,,,7826,,,,,,11145,2010-12-31
,,,,,,,,,8746,326,0,3692,3862,866,11640,2010-12-31
,,,,,,,,,14361,,,,,,11837,2010-12-31
,,,,,,,,,21142,2,0,3563,3118,14459,12030,2010-12-31
,,,,,,,,,12443,,,,,,12142,2010-12-31
,,,,,,,,,4362,,,,,,12245,2010-12-31
983496,596362,,0,1585,,0,157786,227763,983496,280185,1585,316177,157786,227763,12311,2010-12-31
,,,,,,,,,12456,,,,,,12647,2010-12-31
,,,,,,,,,425,0,0,218,198,9,12656,2010-12-31
,,,,,,,,,26255,,,,,,12937,2010-12-31
,,,,,,,,,10277,4142,0,3704,2313,118,12946,2010-12-31
,,,,,,,,,13995,,,,,,12955,2010-12-31
,,,,,,,,,4594,,,,,,13037,2010-12-31
,,,,,,,,,13986,0,0,2603,7069,4314,13103,2010-12-31
,,,,,,,,,9495,,,,,,13251,2010-12-31
,,,,,,,,,1482,,,,,,13457,2010-12-31
,,,,,,,,,10529,,,,,,14052,2010-12-31
,,,,,,,,,2263,,,,,,14155,2010-12-31
,,,,,,,,,3234,,,,,,14454,2010-12-31
,,,,,,,,,3356,,,,,,14650,2010-12-31
,,,,,,,,,1216,,,,,,14753,2010-12-31
,,,,,,,,,12363,,,,,,14865,2010-12-31
,,,,,,,,,13279,,,,,,14977,2010-12-31
,,,,,,,,,13900,,,,,,16458,2010-12-31
,,,,,,,,,3427,,,,,,16551,2010-12-31
,,,,,,,,,6942,,,,,,16748,2010-12-31
,,,,,,,,,9078,,,,,,16944,2010-12-31
,,,,,,,,,6652,,,,,,16953,2010-12-31
,,,,,,,,,12288,,,,,,17110,2010-12-31
,,,,,,,,,115322,0,0,22349,92973,0,17147,2010-12-31
,,,,,,,,,1280,,,,,,17259,2010-12-31
,,,,,,,,,268338,9473,0,9664,20308,228893,17464,2010-12-31
,,,,,,,,,6334,,,,,,17950,2010-12-31
,,,,,,,,,12153,,,,,,18050,2010-12-31
,,,,,,,,,5117,,,,,,18135,2010-12-31
,,,,,,,,,14783,,,,,,18377,2010-12-31
,,,,,,,,,34452,975,0,2172,4426,26879,18827,2010-12-31
,,,,,,,,,11682,,,,,,18836,2010-12-31
,,,,,,,,,12145,,,,,,18854,2010-12-31
,,,,,,,,,3064,,,,,,18957,2010-12-31
,,,,,,,,,1966,,,,,,19356,2010-12-31
,,,,,,,,,222541,1128,0,20877,9712,190824,19730,2010-12-31
,,,,,,,,,48355,,,,,,19936,2010-12-31
,,,,,,,,,21791,,,,,,19972,2010-12-31
,,,,,,,,,5289,,,,,,20053,2010-12-31
,,,,,,,,,16155,,,,,,20370,2010-12-31
,,,,,,,,,2845,,,,,,20512,2010-12-31
,,,,,,,,,8110,1229,0,2709,4151,21,20633,2010-12-31
,,,,,,,,,8663,,,,,,20857,2010-12-31
,,,,,,,,,2236,,,,,,21256,2010-12-31
,,,,,,,,,3495,,,,,,21359,2010-12-31
,,,,,,,,,1896,,,,,,21630,2010-12-31
,,,,,,,,,5911,,,,,,21658,2010-12-31
,,,,,,,,,11067,,,,,,22048,2010-12-31
,,,,,,,,,7749,,,,,,22356,2010-12-31
,,,,,,,,,6606,,,,,,22459,2010-12-31
,,,,,,,,,11060,,,,,,22543,2010-12-31
,,,,,,,,,1528,,,,,,22552,2010-12-31
,,,,,,,,,4154,,,,,,22730,2010-12-31
,,,,,,,,,45232,0,0,1824,145,43263,22936,2010-12-31
,,,,,,,,,8990,,,,,,22954,2010-12-31
,,,,,,,,,1962,,,,,,23045,2010-12-31
,,,,,,,,,486039,30,0,22203,66585,397221,23241,2010-12-31
,,,,,,,,,1201,,,,,,23456,2010-12-31
,,,,,,,,,22918,13415,0,4952,3699,852,23504,2010-12-31
,,,,,,,,,51523,,,,,,23540,2010-12-31
,,,,,,,,,5373,,,,,,23643,2010-12-31
,,,,,,,,,7784,,,,,,23755,2010-12-31
,,,,,,,,,119656,4566,0,3578,2915,108597,24006,2010-12-31
,,,,,,,,,70801,599,0,672,135,69395,24453,2010-12-31
,,,,,,,,,7890,,,,,,24659,2010-12-31
,,,,,,,,,16751,,,,,,24668,2010-12-31
,,,,,,,,,6285,,,,,,24855,2010-12-31
,,,,,,,,,133945,0,0,5889,10441,117615,24949,2010-12-31
,,,,,,,,,2373,,,,,,25357,2010-12-31
,,,,,,,,,4353,,,,,,25647,2010-12-31
,,,,,,,,,5593,,,,,,26149,2010-12-31
,,,,,,,,,14006,0,0,2430,3133,8443,26242,2010-12-31
,,,,,,,,,1043,,,,,,26457,2010-12-31
,,,,,,,,,9353,,,,,,26765,2010-12-31
,,,,,,,,,78751,26,0,3416,73119,2190,26859,2010-12-31
,,,,,,,,,8516,71,0,4700,3083,662,27548,2010-12-31
,,,,,,,,,7425,,,,,,27614,2010-12-31
,,,,,,,,,12886,0,0,3289,3772,5825,27847,2010-12-31
,,,,,,,,,6373,,,,,,28152,2010-12-31
,,,,,,,,,87796,,,,,,28255,2010-12-31
,,,,,,,,,2578,,,,,,28349,2010-12-31
,,,,,,,,,85671,21,0,2280,9512,73858,28406,2010-12-31
,,,,,,,,,2323,,,,,,28572,2010-12-31
,,,,,,,,,2818,,,,,,28732,2010-12-31
,,,,,,,,,37497,0,0,2771,12990,21736,29104,2010-12-31
,,,,,,,,,17867,38,0,6955,10874,0,29636,2010-12-31
,,,,,,,,,3435,,,,,,29953,2010-12-31
,,,,,,,,,1527,,,,,,30052,2010-12-31
,,,,,,,,,18499,2341,0,2174,789,13195,30258,2010-12-31
,,,,,,,,,525,0,0,0,524,1,30418,2010-12-31
,,,,,,,,,106232,4633,298,4772,857,95672,30502,2010-12-31
,,,,,,,,,7321,,,,,,30650,2010-12-31
3916210,291901,,173455,0,,375000,115696,2960158,3916210,291369,173455,532,490696,2960158,30810,2010-12-31
,,,,,,,,,24169,,,,,,31134,2010-12-31
,,,,,,,,,28506,1678,0,1319,3013,22496,31255,2010-12-31
,,,,,,,,,1837,,,,,,31657,2010-12-31
,,,,,,,,,22058,,,,,,31826,2010-12-31
,,,,,,,,,1753,,,,,,31835,2010-12-31
,,,,,,,,,14687,,,,,,32234,2010-12-31
,,,,,,,,,20663,,,,,,32766,2010-12-31
,,,,,,,,,24076,789,0,1878,485,20924,33147,2010-12-31
,,,,,,,,,52404,11,0,1338,1414,49641,33259,2010-12-31
,,,,,,,,,3158,907,0,1175,534,542,33268,2010-12-31
