RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,,,,,,,37,2015-06-30
,,,,,,,,,,,,,,,242,2015-06-30
,,,,,,,,,,,,,,,279,2015-06-30
,,,,,,,,,,,,,,,354,2015-06-30
,,,,,,,,,,,,,,,457,2015-06-30
,,,,,,,,,24335,0,,1155,,22982,505,2015-06-30
,,,,,,,,,,,,,,,1155,2015-06-30
,,,,,,,,,,,,,,,1351,2015-06-30
,,,,,,,,,196904,5676,,5408,,184675,1454,2015-06-30
,,,,,,,,,,,,,,,1557,2015-06-30
,,,,,,,,,,,,,,,1669,2015-06-30
,,,,,,,,,8075,2332,,1599,,2438,1829,2015-06-30
,,,,,,,,,,,,,,,1856,2015-06-30
,,,,,,,,,,,,,,,2040,2015-06-30
,,,,,,,,,,,,,,,2161,2015-06-30
,,,,,,,,,15120,0,,2933,,3739,2376,2015-06-30
,,,,,,,,,,,,,,,2554,2015-06-30
,,,,,,,,,112203,0,,2726,,102325,2732,2015-06-30
,,,,,,,,,,,,,,,2750,2015-06-30
,,,,,,,,,63853,25,,7992,,54896,3177,2015-06-30
,,,,,,,,,,,,,,,3252,2015-06-30
,,,,,,,,,,,,,,,3458,2015-06-30
,,,,,,,,,,,,,,,3720,2015-06-30
,,,,,,,,,29051,1299,,4667,,10540,3971,2015-06-30
,,,,,,,,,,,,,,,4156,2015-06-30
,,,,,,,,,,,,,,,4231,2015-06-30
,,,,,,,,,,,,,,,4437,2015-06-30
,,,,,,,,,20097,1427,,1665,,4483,4839,2015-06-30
,,,,,,,,,29979,296,,229,,28701,5069,2015-06-30
,,,,,,,,,51870,2429,,4329,,44631,5135,2015-06-30
,,,,,,,,,27997,6628,,6357,,10629,5210,2015-06-30
,,,,,,,,,27725,7482,,5761,,9603,5461,2015-06-30
,,,,,,,,,,,,,,,5751,2015-06-30
,,,,,,,,,,,,,,,6039,2015-06-30
,,,,,,,,,,,,,,,6141,2015-06-30
,,,,,,,,,49882,8,,8830,,34319,6329,2015-06-30
,,,,,,,,,10314,65,,15,,25,7009,2015-06-30
,,,,,,,,,,,,,,,7045,2015-06-30
,,,,,,,,,,,,,,,7072,2015-06-30
,,,,,,,,,,,,,,,7157,2015-06-30
,,,,,,,,,,,,,,,7456,2015-06-30
,,,,,,,,,,,,,,,7634,2015-06-30
,,,,,,,,,,,,,,,8033,2015-06-30
,,,,,,,,,,,,,,,8462,2015-06-30
,,,,,,,,,,,,,,,8631,2015-06-30
,,,,,,,,,8263,5884,,238,,1109,9357,2015-06-30
,,,,,,,,,,,,,,,9553,2015-06-30
,,,,,,,,,165039,7032,,5199,,142815,9807,2015-06-30
,,,,,,,,,,,,,,,9955,2015-06-30
,,,,,,,,,20000,3937,,1396,,0,10250,2015-06-30
,,,,,,,,,20649,91,,1437,,11036,10849,2015-06-30
