RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,1966,,,,,,37,2008-09-30
,,,,,,,,,1734,,,,,,242,2008-09-30
,,,,,,,,,2685,,,,,,279,2008-09-30
,,,,,,,,,321,,,,,,354,2008-09-30
,,,,,,,,,888,,,,,,457,2008-09-30
,,,,,,,,,15681,9,0,1899,558,13215,505,2008-09-30
,,,,,,,,,5974,,,,,,1155,2008-09-30
,,,,,,,,,2404,,,,,,1351,2008-09-30
,,,,,,,,,80264,7558,0,5185,55749,11772,1454,2008-09-30
,,,,,,,,,1841,,,,,,1557,2008-09-30
,,,,,,,,,11629,8801,0,2569,259,0,1632,2008-09-30
,,,,,,,,,11196,,,,,,1669,2008-09-30
,,,,,,,,,16026,0,0,1502,11420,3104,1829,2008-09-30
,,,,,,,,,753,,,,,,1856,2008-09-30
,,,,,,,,,2776,,,,,,2040,2008-09-30
,,,,,,,,,4445,,,,,,2161,2008-09-30
,,,,,,,,,10312,0,0,1788,8473,51,2376,2008-09-30
,,,,,,,,,1359,,,,,,2451,2008-09-30
,,,,,,,,,2066,,,,,,2554,2008-09-30
,,,,,,,,,16977,3371,0,2637,6472,4497,2732,2008-09-30
,,,,,,,,,962,,,,,,2750,2008-09-30
,,,,,,,,,6432,4050,0,2335,47,0,2938,2008-09-30
,,,,,,,,,6509,,,,,,3252,2008-09-30
,,,,,,,,,4730,,,,,,3458,2008-09-30
,,,,,,,,,4356,,,,,,3720,2008-09-30
,,,,,,,,,3895,,,,,,3953,2008-09-30
,,,,,,,,,6068,,,,,,4138,2008-09-30
,,,,,,,,,3411,,,,,,4156,2008-09-30
,,,,,,,,,3358,,,,,,4231,2008-09-30
,,,,,,,,,5515,,,,,,4437,2008-09-30
,,,,,,,,,5297,,,,,,4839,2008-09-30
,,,,,,,,,9326,0,0,1202,8120,4,5005,2008-09-30
,,,,,,,,,1731,0,63,207,1088,373,5069,2008-09-30
,,,,,,,,,6718,1,0,2890,3608,219,5135,2008-09-30
,,,,,,,,,17929,8177,0,6736,2782,234,5210,2008-09-30
,,,,,,,,,13328,650,0,1638,10473,567,5331,2008-09-30
,,,,,,,,,16156,9233,0,6480,345,98,5461,2008-09-30
,,,,,,,,,1014,,,,,,5751,2008-09-30
,,,,,,,,,7497,,,,,,6039,2008-09-30
,,,,,,,,,3046,,,,,,6141,2008-09-30
,,,,,,,,,12629,293,0,5831,6459,46,6329,2008-09-30
,,,,,,,,,17080,10111,0,6679,259,31,6972,2008-09-30
,,,,,,,,,5149,11,2000,15,3098,25,7009,2008-09-30
,,,,,,,,,15784,,,,,,7045,2008-09-30
,,,,,,,,,632,,,,,,7157,2008-09-30
,,,,,,,,,1636,,,,,,7456,2008-09-30
,,,,,,,,,2592,,,,,,7634,2008-09-30
,,,,,,,,,4976,,,,,,8033,2008-09-30
,,,,,,,,,7529,,,,,,8462,2008-09-30
,,,,,,,,,2213,,,,,,8631,2008-09-30
,,,,,,,,,13085,8771,0,663,3171,480,9357,2008-09-30
,,,,,,,,,3868,,,,,,9553,2008-09-30
,,,,,,,,,117011,13781,0,6259,95099,1872,9807,2008-09-30
,,,,,,,,,9604,,,,,,9955,2008-09-30
,,,,,,,,,2522,,,,,,10157,2008-09-30
,,,,,,,,,10685,4805,0,1845,4035,0,10250,2008-09-30
,,,,,,,,,5662,7,0,1620,75,3960,10849,2008-09-30
,,,,,,,,,9049,4273,0,1841,1942,993,10858,2008-09-30
,,,,,,,,,5738,,,,,,11145,2008-09-30
,,,,,,,,,10145,,,,,,11640,2008-09-30
,,,,,,,,,1648,,,,,,11837,2008-09-30
,,,,,,,,,7999,9,0,2804,4795,391,12030,2008-09-30
,,,,,,,,,7125,,,,,,12142,2008-09-30
,,,,,,,,,2433,,,,,,12245,2008-09-30
1094512,651280,,0,862,,0,441914,456,1094512,335989,862,315291,441914,456,12311,2008-09-30
,,,,,,,,,2043,,,,,,12647,2008-09-30
,,,,,,,,,489,0,0,236,243,10,12656,2008-09-30
,,,,,,,,,17830,,,,,,12937,2008-09-30
,,,,,,,,,10694,5012,0,3425,2130,127,12946,2008-09-30
,,,,,,,,,3360,,,,,,12955,2008-09-30
,,,,,,,,,3004,,,,,,13037,2008-09-30
,,,,,,,,,13557,0,0,2084,11170,303,13103,2008-09-30
,,,,,,,,,3858,,,,,,13251,2008-09-30
,,,,,,,,,398,,,,,,13457,2008-09-30
,,,,,,,,,2612,,,,,,14052,2008-09-30
,,,,,,,,,2496,,,,,,14155,2008-09-30
,,,,,,,,,14384,6341,0,3538,729,3776,14258,2008-09-30
,,,,,,,,,3912,,,,,,14454,2008-09-30
,,,,,,,,,3076,,,,,,14650,2008-09-30
,,,,,,,,,908,,,,,,14753,2008-09-30
,,,,,,,,,3850,,,,,,14865,2008-09-30
,,,,,,,,,13286,,,,,,14977,2008-09-30
,,,,,,,,,111108,23726,675,15899,12761,58047,15536,2008-09-30
,,,,,,,,,10090,4,0,4236,5850,0,16337,2008-09-30
,,,,,,,,,4474,,,,,,16458,2008-09-30
,,,,,,,,,3447,,,,,,16551,2008-09-30
,,,,,,,,,2332,,,,,,16748,2008-09-30
,,,,,,,,,2446,,,,,,16944,2008-09-30
,,,,,,,,,1314,,,,,,16953,2008-09-30
,,,,,,,,,6430,,,,,,17110,2008-09-30
,,,,,,,,,51829,0,0,15481,35189,1159,17147,2008-09-30
,,,,,,,,,1096,,,,,,17259,2008-09-30
,,,,,,,,,50679,31698,0,10697,6366,1918,17464,2008-09-30
,,,,,,,,,2661,,,,,,17839,2008-09-30
,,,,,,,,,4236,,,,,,17950,2008-09-30
,,,,,,,,,13591,,,,,,18050,2008-09-30
,,,,,,,,,5455,,,,,,18135,2008-09-30
,,,,,,,,,6162,,,,,,18377,2008-09-30
,,,,,,,,,10699,0,0,2173,1146,7380,18827,2008-09-30
,,,,,,,,,2661,,,,,,18836,2008-09-30
,,,,,,,,,11371,,,,,,18854,2008-09-30
,,,,,,,,,1824,,,,,,18957,2008-09-30
,,,,,,,,,4439,,,,,,19356,2008-09-30
,,,,,,,,,84553,39743,0,37959,4341,2510,19730,2008-09-30
,,,,,,,,,10891,,,,,,19936,2008-09-30
,,,,,,,,,8583,,,,,,19972,2008-09-30
,,,,,,,,,6314,,,,,,20053,2008-09-30
,,,,,,,,,3324,,,,,,20147,2008-09-30
,,,,,,,,,2874,,,,,,20259,2008-09-30
,,,,,,,,,6920,,,,,,20370,2008-09-30
,,,,,,,,,2174,,,,,,20512,2008-09-30
,,,,,,,,,4718,,,,,,20633,2008-09-30
,,,,,,,,,3568,,,,,,20857,2008-09-30
,,,,,,,,,5818,,,,,,20866,2008-09-30
,,,,,,,,,1210,,,,,,21256,2008-09-30
,,,,,,,,,673,,,,,,21359,2008-09-30
,,,,,,,,,2479,,,,,,21630,2008-09-30
,,,,,,,,,2642,,,,,,21658,2008-09-30
,,,,,,,,,4365,,,,,,22048,2008-09-30
,,,,,,,,,9837,,,,,,22356,2008-09-30
,,,,,,,,,2100,,,,,,22459,2008-09-30
,,,,,,,,,4981,,,,,,22543,2008-09-30
,,,,,,,,,645,,,,,,22552,2008-09-30
,,,,,,,,,5027,,,,,,22730,2008-09-30
,,,,,,,,,11333,,,,,,22936,2008-09-30
,,,,,,,,,3415,,,,,,22954,2008-09-30
,,,,,,,,,9292,6155,0,3137,0,0,23036,2008-09-30
,,,,,,,,,796,,,,,,23045,2008-09-30
,,,,,,,,,69995,5385,0,27309,28754,8547,23241,2008-09-30
,,,,,,,,,1721,,,,,,23456,2008-09-30
,,,,,,,,,16108,8355,0,5450,1435,868,23504,2008-09-30
,,,,,,,,,11357,,,,,,23540,2008-09-30
,,,,,,,,,6079,,,,,,23643,2008-09-30
,,,,,,,,,2317,,,,,,23755,2008-09-30
,,,,,,,,,43416,0,0,3254,14940,25222,23812,2008-09-30
,,,,,,,,,29588,10481,0,2778,9727,6602,24006,2008-09-30
,,,,,,,,,47521,,,,,,24453,2008-09-30
,,,,,,,,,1238,,,,,,24659,2008-09-30
,,,,,,,,,24409,,,,,,24668,2008-09-30
,,,,,,,,,3792,,,,,,24855,2008-09-30
,,,,,,,,,10946,0,0,5332,5563,51,24949,2008-09-30
,,,,,,,,,5656,,,,,,25357,2008-09-30
,,,,,,,,,2970,,,,,,25647,2008-09-30
,,,,,,,,,980,,,,,,26149,2008-09-30
,,,,,,,,,9616,0,0,2654,6649,313,26242,2008-09-30
,,,,,,,,,691,,,,,,26457,2008-09-30
,,,,,,,,,3324,,,,,,26765,2008-09-30
,,,,,,,,,32059,60,0,3462,28006,531,26859,2008-09-30
,,,,,,,,,7743,9,0,2603,5094,37,26916,2008-09-30
