RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,1672,,,,,,37,2004-03-31
,,,,,,,,,783,,,,,,242,2004-03-31
,,,,,,,,,2698,,,,,,279,2004-03-31
,,,,,,,,,54,,,,,,354,2004-03-31
,,,,,,,,,8633,,,,,,439,2004-03-31
,,,,,,,,,581,,,,,,457,2004-03-31
,,,,,,,,,9942,,,,,,505,2004-03-31
,,,,,,,,,23376,3493,0,1657,6583,11643,1146,2004-03-31
,,,,,,,,,4072,,,,,,1155,2004-03-31
,,,,,,,,,1582,,,,,,1351,2004-03-31
,,,,,,,,,17769,10495,0,4752,1926,596,1454,2004-03-31
,,,,,,,,,1004,,,,,,1557,2004-03-31
,,,,,,,,,5869,,,,,,1632,2004-03-31
,,,,,,,,,11069,,,,,,1669,2004-03-31
,,,,,,,,,18320,,,,,,1829,2004-03-31
,,,,,,,,,545,,,,,,1856,2004-03-31
,,,,,,,,,3034,,,,,,2040,2004-03-31
,,,,,,,,,18082,,,,,,2161,2004-03-31
,,,,,,,,,12407,0,0,2206,10053,148,2376,2004-03-31
,,,,,,,,,3541,,,,,,2451,2004-03-31
,,,,,,,,,880,,,,,,2554,2004-03-31
,,,,,,,,,20066,2916,0,3323,10449,3378,2732,2004-03-31
,,,,,,,,,1970,,,,,,2750,2004-03-31
,,,,,,,,,8443,,,,,,2938,2004-03-31
,,,,,,,,,2718,,,,,,2956,2004-03-31
,,,,,,,,,9896,,,,,,3252,2004-03-31
,,,,,,,,,5062,,,,,,3458,2004-03-31
,,,,,,,,,35500,17383,127,11378,438,6174,3506,2004-03-31
,,,,,,,,,9151,2496,0,3801,437,2417,3579,2004-03-31
,,,,,,,,,5078,,,,,,3720,2004-03-31
,,,,,,,,,2913,,,,,,3953,2004-03-31
,,,,,,,,,5089,,,,,,4138,2004-03-31
,,,,,,,,,851,,,,,,4147,2004-03-31
