RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,4391,,,,,,37,2005-09-30
,,,,,,,,,1062,,,,,,242,2005-09-30
,,,,,,,,,2200,,,,,,279,2005-09-30
,,,,,,,,,242,,,,,,354,2005-09-30
,,,,,,,,,8486,,,,,,439,2005-09-30
,,,,,,,,,750,,,,,,457,2005-09-30
,,,,,,,,,12825,,,,,,505,2005-09-30
,,,,,,,,,27690,4585,0,2124,3794,17187,1146,2005-09-30
,,,,,,,,,3828,,,,,,1155,2005-09-30
,,,,,,,,,2491,,,,,,1351,2005-09-30
,,,,,,,,,25221,10225,0,5381,860,8755,1454,2005-09-30
,,,,,,,,,1157,,,,,,1557,2005-09-30
,,,,,,,,,9174,246,0,2136,6792,0,1632,2005-09-30
,,,,,,,,,11916,,,,,,1669,2005-09-30
,,,,,,,,,7558,7,0,1519,2973,3059,1829,2005-09-30
,,,,,,,,,567,,,,,,1856,2005-09-30
,,,,,,,,,4314,,,,,,2040,2005-09-30
,,,,,,,,,6931,,,,,,2161,2005-09-30
,,,,,,,,,10157,0,0,2573,7375,209,2376,2005-09-30
,,,,,,,,,1255,,,,,,2451,2005-09-30
,,,,,,,,,287,,,,,,2554,2005-09-30
,,,,,,,,,17717,3764,0,3427,5456,5070,2732,2005-09-30
,,,,,,,,,1548,0,0,140,1188,220,2750,2005-09-30
,,,,,,,,,13246,2,0,1917,11327,0,2938,2005-09-30
,,,,,,,,,3769,,,,,,2956,2005-09-30
,,,,,,,,,10205,,,,,,3252,2005-09-30
,,,,,,,,,4570,,,,,,3458,2005-09-30
,,,,,,,,,34647,20223,40,10267,705,3412,3506,2005-09-30
,,,,,,,,,4045,,,,,,3720,2005-09-30
,,,,,,,,,4004,,,,,,3953,2005-09-30
,,,,,,,,,5745,,,,,,4138,2005-09-30
,,,,,,,,,1539,,,,,,4147,2005-09-30
,,,,,,,,,4322,,,,,,4156,2005-09-30
,,,,,,,,,2959,,,,,,4231,2005-09-30
,,,,,,,,,4839,0,0,1286,3553,0,4437,2005-09-30
,,,,,,,,,9564,,,,,,4839,2005-09-30
,,,,,,,,,10106,0,0,1407,3505,5194,5005,2005-09-30
,,,,,,,,,2496,,,,,,5050,2005-09-30
,,,,,,,,,1465,13,63,87,1195,107,5069,2005-09-30
,,,,,,,,,8211,,,,,,5135,2005-09-30
,,,,,,,,,21360,12124,0,7984,1175,77,5210,2005-09-30
,,,,,,,,,26009,48,0,8532,14142,3287,5247,2005-09-30
,,,,,,,,,3994,,,,,,5274,2005-09-30
,,,,,,,,,6749,1177,0,1443,2107,2022,5331,2005-09-30
,,,,,,,,,18311,13028,0,4759,187,337,5461,2005-09-30
,,,,,,,,,1530,,,,,,5751,2005-09-30
,,,,,,,,,5091,,,,,,6039,2005-09-30
,,,,,,,,,347,,,,,,6057,2005-09-30
,,,,,,,,,3531,,,,,,6141,2005-09-30
,,,,,,,,,16220,,,,,,6329,2005-09-30
,,,,,,,,,41161,178,0,5778,23095,12110,6972,2005-09-30
,,,,,,,,,8907,37,2000,10,6835,25,7009,2005-09-30
,,,,,,,,,6845,,,,,,7045,2005-09-30
,,,,,,,,,1202,,,,,,7157,2005-09-30
,,,,,,,,,28047,14723,0,2552,10675,97,7166,2005-09-30
,,,,,,,,,955,,,,,,7456,2005-09-30
,,,,,,,,,1874,0,0,649,1225,0,7634,2005-09-30
,,,,,,,,,3668,,,,,,8033,2005-09-30
,,,,,,,,,407642,0,0,0,407642,0,8417,2005-09-30
,,,,,,,,,6065,,,,,,8462,2005-09-30
,,,,,,,,,3769,,,,,,8631,2005-09-30
,,,,,,,,,17383,13147,0,448,3291,497,9357,2005-09-30
,,,,,,,,,1009,,,,,,9553,2005-09-30
,,,,,,,,,50859,27503,0,5428,14240,3688,9807,2005-09-30
,,,,,,,,,7608,,,,,,9955,2005-09-30
,,,,,,,,,1457,,,,,,10157,2005-09-30
,,,,,,,,,10773,,,,,,10250,2005-09-30
,,,,,,,,,16988,,,,,,10849,2005-09-30
,,,,,,,,,9579,400,0,1545,7171,463,10858,2005-09-30
,,,,,,,,,4740,,,,,,11145,2005-09-30
,,,,,,,,,9474,,,,,,11640,2005-09-30
,,,,,,,,,1665,,,,,,11837,2005-09-30
,,,,,,,,,10072,,,,,,12030,2005-09-30
,,,,,,,,,2996,,,,,,12058,2005-09-30
,,,,,,,,,9684,,,,,,12142,2005-09-30
,,,,,,,,,2505,0,0,2505,0,0,12245,2005-09-30
830519,723581,,0,971,,0,100155,5812,830519,554983,971,168598,100155,5812,12311,2005-09-30
,,,,,,,,,1825,,,,,,12647,2005-09-30
,,,,,,,,,296,0,0,197,89,10,12656,2005-09-30
,,,,,,,,,3501,,,,,,12937,2005-09-30
,,,,,,,,,8352,4410,0,3487,327,128,12946,2005-09-30
,,,,,,,,,4171,,,,,,12955,2005-09-30
,,,,,,,,,3057,,,,,,13037,2005-09-30
,,,,,,,,,16715,0,0,2712,12361,1642,13103,2005-09-30
,,,,,,,,,1433,,,,,,13251,2005-09-30
,,,,,,,,,627,,,,,,13457,2005-09-30
,,,,,,,,,3609,,,,,,14052,2005-09-30
,,,,,,,,,3121,,,,,,14155,2005-09-30
,,,,,,,,,26175,17633,0,3082,369,5091,14258,2005-09-30
313519,164282,,0,0,,0,134438,14799,313519,39411,0,124871,134438,14799,14409,2005-09-30
,,,,,,,,,539,,,,,,14454,2005-09-30
,,,,,,,,,3939,,,,,,14650,2005-09-30
,,,,,,,,,1160,,,,,,14753,2005-09-30
,,,,,,,,,7852,,,,,,14865,2005-09-30
,,,,,,,,,35547,8188,0,7477,17622,2260,15536,2005-09-30
,,,,,,,,,11043,3,0,4233,6807,0,16337,2005-09-30
,,,,,,,,,4988,,,,,,16458,2005-09-30
,,,,,,,,,3160,,,,,,16551,2005-09-30
,,,,,,,,,2126,,,,,,16748,2005-09-30
,,,,,,,,,2291,,,,,,16944,2005-09-30
,,,,,,,,,1226,,,,,,16953,2005-09-30
,,,,,,,,,24599,,,,,,17110,2005-09-30
,,,,,,,,,35798,6630,0,6798,20664,1706,17147,2005-09-30
