RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,13927,,,,,,37,2011-12-31
,,,,,,,,,1671,,,,,,242,2011-12-31
,,,,,,,,,6338,,,,,,279,2011-12-31
,,,,,,,,,377,,,,,,354,2011-12-31
,,,,,,,,,1736,,,,,,457,2011-12-31
,,,,,,,,,52461,0,,1305,,50796,505,2011-12-31
,,,,,,,,,47375,,,,,,1155,2011-12-31
,,,,,,,,,6075,,,,,,1351,2011-12-31
,,,,,,,,,83199,10260,,6372,,62868,1454,2011-12-31
,,,,,,,,,3951,,,,,,1557,2011-12-31
,,,,,,,,,20935,,,,,,1669,2011-12-31
,,,,,,,,,56542,3254,,2118,,43122,1829,2011-12-31
,,,,,,,,,53717,,,,,,1856,2011-12-31
,,,,,,,,,8541,,,,,,2040,2011-12-31
,,,,,,,,,15987,,,,,,2161,2011-12-31
,,,,,,,,,8793,0,,2883,,1609,2376,2011-12-31
,,,,,,,,,4149,,,,,,2554,2011-12-31
,,,,,,,,,71453,2424,,2825,,56162,2732,2011-12-31
,,,,,,,,,2045,,,,,,2750,2011-12-31
,,,,,,,,,5508,,,,,,3252,2011-12-31
,,,,,,,,,6194,,,,,,3458,2011-12-31
,,,,,,,,,29645,,,,,,3720,2011-12-31
,,,,,,,,,6041,,,,,,3953,2011-12-31
,,,,,,,,,4773,,,,,,4156,2011-12-31
,,,,,,,,,13622,,,,,,4231,2011-12-31
,,,,,,,,,16194,,,,,,4437,2011-12-31
,,,,,,,,,6870,1400,,2163,,1356,4839,2011-12-31
,,,,,,,,,29047,1211,,1399,,24522,5005,2011-12-31
,,,,,,,,,39524,0,,192,,36966,5069,2011-12-31
,,,,,,,,,76662,0,,2606,,73824,5135,2011-12-31
,,,,,,,,,22622,8211,,5858,,6886,5210,2011-12-31
,,,,,,,,,34552,1160,,1438,,11851,5331,2011-12-31
,,,,,,,,,34892,10213,,7274,,16934,5461,2011-12-31
,,,,,,,,,2943,,,,,,5751,2011-12-31
,,,,,,,,,27253,,,,,,6039,2011-12-31
,,,,,,,,,7563,,,,,,6141,2011-12-31
,,,,,,,,,34984,622,,5696,,16179,6329,2011-12-31
,,,,,,,,,78988,6000,,4779,,67880,6972,2011-12-31
,,,,,,,,,5719,285,,13,,25,7009,2011-12-31
,,,,,,,,,10444,,,,,,7045,2011-12-31
,,,,,,,,,672,,,,,,7157,2011-12-31
,,,,,,,,,3233,,,,,,7456,2011-12-31
,,,,,,,,,9435,,,,,,7634,2011-12-31
