RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,,,,,,,24378,2015-03-31
,,,,,,,,,44911,1161,,852,,41676,24453,2015-03-31
,,,,,,,,,,,,,,,24659,2015-03-31
,,,,,,,,,71396,4488,,4562,,35749,24668,2015-03-31
,,,,,,,,,,,,,,,24855,2015-03-31
,,,,,,,,,87640,0,,4354,,79914,24949,2015-03-31
,,,,,,,,,,,,,,,25357,2015-03-31
,,,,,,,,,,,,,,,25647,2015-03-31
,,,,,,,,,4819,285,,756,,2157,26176,2015-03-31
,,,,,,,,,13638,0,,2982,,6784,26242,2015-03-31
,,,,,,,,,,,,,,,26457,2015-03-31
,,,,,,,,,59263,2746,,2096,,30076,26765,2015-03-31
,,,,,,,,,20798,0,,1428,,2763,27070,2015-03-31
,,,,,,,,,26158,47,,6504,,13672,27548,2015-03-31
,,,,,,,,,14667,3298,,2762,,7341,27614,2015-03-31
,,,,,,,,,17682,247,,3291,,9537,27847,2015-03-31
,,,,,,,,,91644,0,,11440,,72372,28013,2015-03-31
,,,,,,,,,,,,,,,28152,2015-03-31
,,,,,,,,,62928,2376,,2102,,44561,28255,2015-03-31
,,,,,,,,,,,,,,,28349,2015-03-31
,,,,,,,,,33296,6213,,2984,,23227,28406,2015-03-31
,,,,,,,,,,,,,,,28675,2015-03-31
,,,,,,,,,,,,,,,28732,2015-03-31
,,,,,,,,,697,0,,509,,0,29476,2015-03-31
,,,,,,,,,57480,6269,,7043,,0,29636,2015-03-31
,,,,,,,,,53975,0,,2873,,37779,29878,2015-03-31
,,,,,,,,,,,,,,,30052,2015-03-31
,,,,,,,,,102,0,,1,,100,30418,2015-03-31
,,,,,,,,,43074,4997,,4459,,32160,30502,2015-03-31
,,,,,,,,,,,,,,,30650,2015-03-31
,,,,,,,,,11624820,234931,,384,,10893638,30810,2015-03-31
,,,,,,,,,22214,4899,,2949,,14151,30874,2015-03-31
,,,,,,,,,,,,,,,31134,2015-03-31
,,,,,,,,,31871,3498,,1353,,26064,31255,2015-03-31
,,,,,,,,,,,,,,,31657,2015-03-31
,,,,,,,,,,,,,,,31826,2015-03-31
,,,,,,,,,,,,,,,31835,2015-03-31
,,,,,,,,,,,,,,,32234,2015-03-31
,,,,,,,,,,,,,,,32766,2015-03-31
,,,,,,,,,,,,,,,32971,2015-03-31
,,,,,,,,,24328,1676,,3061,,19021,33147,2015-03-31
,,,,,,,,,77160,0,,1746,,69955,33259,2015-03-31
,,,,,,,,,15596,644,,1486,,13066,33268,2015-03-31
,,,,,,,,,,,,,,,33370,2015-03-31
