RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,,,,,,,37,2016-12-31
,,,,,,,,,,,,,,,242,2016-12-31
,,,,,,,,,,,,,,,279,2016-12-31
,,,,,,,,,,,,,,,354,2016-12-31
,,,,,,,,,,,,,,,457,2016-12-31
,,,,,,,,,12449,0,,1200,,10994,505,2016-12-31
,,,,,,,,,,,,,,,1155,2016-12-31
,,,,,,,,,,,,,,,1351,2016-12-31
,,,,,,,,,192002,5298,,6879,,179754,1454,2016-12-31
,,,,,,,,,,,,,,,1557,2016-12-31
,,,,,,,,,,,,,,,1669,2016-12-31
,,,,,,,,,8071,2303,,1866,,2509,1829,2016-12-31
,,,,,,,,,,,,,,,1856,2016-12-31
,,,,,,,,,,,,,,,2040,2016-12-31
,,,,,,,,,,,,,,,2161,2016-12-31
,,,,,,,,,32350,0,,3161,,2816,2376,2016-12-31
,,,,,,,,,,,,,,,2554,2016-12-31
,,,,,,,,,36864,0,,3129,,21853,2732,2016-12-31
,,,,,,,,,,,,,,,2750,2016-12-31
,,,,,,,,,,,,,,,3252,2016-12-31
,,,,,,,,,,,,,,,3458,2016-12-31
,,,,,,,,,,,,,,,3720,2016-12-31
,,,,,,,,,50328,888,,4410,,23578,3971,2016-12-31
,,,,,,,,,,,,,,,4156,2016-12-31
,,,,,,,,,,,,,,,4231,2016-12-31
,,,,,,,,,9275,1064,,1949,,2944,4839,2016-12-31
,,,,,,,,,63344,495,,152,,61537,5069,2016-12-31
,,,,,,,,,74911,0,,3616,,70985,5135,2016-12-31
,,,,,,,,,18931,6858,,6921,,1339,5210,2016-12-31
,,,,,,,,,45629,9357,,8120,,22353,5461,2016-12-31
,,,,,,,,,,,,,,,5751,2016-12-31
,,,,,,,,,,,,,,,6039,2016-12-31
,,,,,,,,,,,,,,,6141,2016-12-31
,,,,,,,,,56323,3,,8505,,28681,6329,2016-12-31
,,,,,,,,,356773,206,,15,,347735,7009,2016-12-31
,,,,,,,,,,,,,,,7045,2016-12-31
,,,,,,,,,,,,,,,7072,2016-12-31
,,,,,,,,,,,,,,,7157,2016-12-31
,,,,,,,,,,,,,,,7456,2016-12-31
,,,,,,,,,,,,,,,7634,2016-12-31
,,,,,,,,,,,,,,,8033,2016-12-31
,,,,,,,,,,,,,,,8462,2016-12-31
,,,,,,,,,,,,,,,8631,2016-12-31
,,,,,,,,,9274,6875,,259,,1202,9357,2016-12-31
,,,,,,,,,,,,,,,9553,2016-12-31
,,,,,,,,,49690,8475,,5034,,25736,9807,2016-12-31
,,,,,,,,,,,,,,,9955,2016-12-31
,,,,,,,,,18483,3648,,1366,,3810,10250,2016-12-31
,,,,,,,,,27142,86,,1179,,20328,10849,2016-12-31
,,,,,,,,,,,,,,,11145,2016-12-31
,,,,,,,,,14268,1202,,3492,,6244,11640,2016-12-31
,,,,,,,,,,,,,,,11837,2016-12-31
,,,,,,,,,55544,2,,4063,,30390,12030,2016-12-31
,,,,,,,,,,,,,,,12142,2016-12-31
,,,,,,,,,,,,,,,12179,2016-12-31
1247148,1004058,,0,3909,,0,121619,117562,1247148,387240,3909,616818,121619,117562,12311,2016-12-31
,,,,,,,,,,,,,,,12647,2016-12-31
,,,,,,,,,1897,47,,346,,5,12656,2016-12-31
,,,,,,,,,,,,,,,12937,2016-12-31
,,,,,,,,,33084,14049,,6921,,8228,12946,2016-12-31
,,,,,,,,,,,,,,,12955,2016-12-31
,,,,,,,,,19126,0,,3241,,863,13103,2016-12-31
,,,,,,,,,,,,,,,13251,2016-12-31
,,,,,,,,,,,,,,,13457,2016-12-31
,,,,,,,,,,,,,,,14052,2016-12-31
,,,,,,,,,,,,,,,14155,2016-12-31
,,,,,,,,,,,,,,,14650,2016-12-31
,,,,,,,,,,,,,,,14753,2016-12-31
,,,,,,,,,36602,3728,,2659,,12843,14865,2016-12-31
,,,,,,,,,,,,,,,14977,2016-12-31
,,,,,,,,,15822,0,,2714,,0,16551,2016-12-31
,,,,,,,,,,,,,,,16748,2016-12-31
,,,,,,,,,,,,,,,17110,2016-12-31
,,,,,,,,,146206,0,,55570,,6416,17147,2016-12-31
,,,,,,,,,7715,0,,703,,0,17259,2016-12-31
,,,,,,,,,72305,25753,,24456,,19315,17464,2016-12-31
,,,,,,,,,17277,0,,2221,,7975,17950,2016-12-31
,,,,,,,,,8327,1320,,2568,,0,17978,2016-12-31
,,,,,,,,,27551,5811,,4427,,14486,18050,2016-12-31
,,,,,,,,,,,,,,,18135,2016-12-31
,,,,,,,,,,,,,,,18377,2016-12-31
,,,,,,,,,99303,7236,,9298,,29502,18827,2016-12-31
,,,,,,,,,,,,,,,18836,2016-12-31
,,,,,,,,,103714,5306,,2158,,66778,18854,2016-12-31
,,,,,,,,,,,,,,,19356,2016-12-31
,,,,,,,,,116508,27490,,16437,,67932,19730,2016-12-31
,,,,,,,,,,,,,,,19936,2016-12-31
,,,,,,,,,,,,,,,19972,2016-12-31
,,,,,,,,,,,,,,,20053,2016-12-31
,,,,,,,,,5856,1935,,2751,,116,20633,2016-12-31
,,,,,,,,,,,,,,,20857,2016-12-31
,,,,,,,,,,,,,,,21256,2016-12-31
,,,,,,,,,,,,,,,21359,2016-12-31
,,,,,,,,,,,,,,,21630,2016-12-31
,,,,,,,,,,,,,,,21658,2016-12-31
,,,,,,,,,,,,,,,22048,2016-12-31
,,,,,,,,,,,,,,,22543,2016-12-31
,,,,,,,,,,,,,,,22552,2016-12-31
,,,,,,,,,,,,,,,22730,2016-12-31
,,,,,,,,,18995,0,,2025,,16160,22936,2016-12-31
,,,,,,,,,,,,,,,23456,2016-12-31
,,,,,,,,,113840,76420,,20924,,10296,23504,2016-12-31
,,,,,,,,,,,,,,,23643,2016-12-31
,,,,,,,,,,,,,,,23755,2016-12-31
,,,,,,,,,42953,4983,,4942,,29708,24006,2016-12-31
,,,,,,,,,,,,,,,24378,2016-12-31
,,,,,,,,,52396,727,,868,,42641,24453,2016-12-31
,,,,,,,,,,,,,,,24659,2016-12-31
,,,,,,,,,27436,4786,,3513,,10786,24668,2016-12-31
,,,,,,,,,86324,0,,3938,,71964,24949,2016-12-31
,,,,,,,,,11636,1906,,2721,,3844,25357,2016-12-31
,,,,,,,,,,,,,,,25647,2016-12-31
,,,,,,,,,18430,760,,697,,6069,26176,2016-12-31
,,,,,,,,,23605,0,,2725,,15326,26242,2016-12-31
,,,,,,,,,,,,,,,26457,2016-12-31
,,,,,,,,,16193,3176,,1686,,5084,26765,2016-12-31
,,,,,,,,,13755,0,,1708,,841,27070,2016-12-31
,,,,,,,,,22974,14,,10701,,5899,27548,2016-12-31
,,,,,,,,,7593,1489,,2811,,2752,27614,2016-12-31
,,,,,,,,,21921,264,,3497,,14117,27847,2016-12-31
,,,,,,,,,96289,0,,11268,,68032,28013,2016-12-31
,,,,,,,,,,,,,,,28152,2016-12-31
,,,,,,,,,19754,2954,,3668,,9501,28255,2016-12-31
,,,,,,,,,26350,8853,,3702,,11572,28406,2016-12-31
,,,,,,,,,,,,,,,28675,2016-12-31
,,,,,,,,,,,,,,,28732,2016-12-31
,,,,,,,,,835,0,,635,,0,29476,2016-12-31
,,,,,,,,,70292,7741,,6129,,0,29636,2016-12-31
,,,,,,,,,96755,0,,2376,,74122,29878,2016-12-31
,,,,,,,,,,,,,,,30052,2016-12-31
,,,,,,,,,44854,5965,,4035,,32519,30502,2016-12-31
,,,,,,,,,,,,,,,30650,2016-12-31
,,,,,,,,,11840657,729135,,419,,10629832,30810,2016-12-31
,,,,,,,,,,,,,,,31134,2016-12-31
,,,,,,,,,26439,2974,,1130,,21927,31255,2016-12-31
,,,,,,,,,,,,,,,31657,2016-12-31
,,,,,,,,,,,,,,,31826,2016-12-31
,,,,,,,,,,,,,,,31835,2016-12-31
,,,,,,,,,,,,,,,32234,2016-12-31
,,,,,,,,,,,,,,,32766,2016-12-31
,,,,,,,,,,,,,,,32971,2016-12-31
,,,,,,,,,65347,845,,3929,,60100,33147,2016-12-31
,,,,,,,,,104531,0,,1806,,95107,33259,2016-12-31
,,,,,,,,,6712,1191,,1057,,3403,33268,2016-12-31
,,,,,,,,,,,,,,,33370,2016-12-31
,,,,,,,,,8187,0,,236,,0,33839,2016-12-31
,,,,,,,,,26152,591,,2113,,15170,33857,2016-12-31
,,,,,,,,,14976,0,,1895,,6832,34425,2016-12-31
,,,,,,,,,10821,3355,,2562,,532,34434,2016-12-31
,,,,,,,,,,,,,,,34452,2016-12-31
,,,,,,,,,109317,40342,,39241,,19223,34537,2016-12-31
,,,,,,,,,,,,,,,34555,2016-12-31
,,,,,,,,,12138,19,,1915,,416,34742,2016-12-31
,,,,,,,,,24035,0,,928,,18899,35057,2016-12-31
71641394,283814,,934,45646534,,0,138053,25572059,25772027,61915,0,0,138053,25572059,35301,2016-12-31
,,,,,,,,,165245,56694,,32770,,61412,35570,2016-12-31
,,,,,,,,,,,,,,,35646,2016-12-31
,,,,,,,,,,,,,,,35879,2016-12-31
,,,,,,,,,,,,,,,36456,2016-12-31
,,,,,,,,,,,,,,,36933,2016-12-31
,,,,,,,,,,,,,,,37051,2016-12-31
,,,,,,,,,,,,,,,37341,2016-12-31
,,,,,,,,,186185,1,,16687,,134366,37435,2016-12-31
,,,,,,,,,62494,0,,11346,,225,37640,2016-12-31
,,,,,,,,,,,,,,,37659,2016-12-31
,,,,,,,,,,,,,,,37949,2016-12-31
,,,,,,,,,,,,,,,38740,2016-12-31
,,,,,,,,,69427,4539,,4465,,30509,39327,2016-12-31
,,,,,,,,,28866,5584,,2692,,13789,39756,2016-12-31
,,,,,,,,,,,,,,,40033,2016-12-31
,,,,,,,,,,,,,,,40350,2016-12-31
,,,,,,,,,51612,10737,,8376,,32209,40499,2016-12-31
,,,,,,,,,,,,,,,40855,2016-12-31
,,,,,,,,,,,,,,,41245,2016-12-31
,,,,,,,,,,,,,,,41553,2016-12-31
,,,,,,,,,,,,,,,41629,2016-12-31
,,,,,,,,,,,,,,,41825,2016-12-31
,,,,,,,,,,,,,,,41937,2016-12-31
,,,,,,,,,,,,,,,41955,2016-12-31
,,,,,,,,,,,,,,,42037,2016-12-31
,,,,,,,,,,,,,,,42354,2016-12-31
,,,,,,,,,30073,0,,1072,,24445,42372,2016-12-31
,,,,,,,,,112375,26538,,55652,,24273,42420,2016-12-31
,,,,,,,,,55280,769,,6888,,47199,42448,2016-12-31
,,,,,,,,,,,,,,,42457,2016-12-31
,,,,,,,,,,,,,,,43052,2016-12-31
,,,,,,,,,4316,0,,575,,0,43351,2016-12-31
,,,,,,,,,,,,,,,43856,2016-12-31
,,,,,,,,,,,,,,,43959,2016-12-31
,,,,,,,,,17515,0,,1550,,11974,44040,2016-12-31
,,,,,,,,,4640,0,,626,,1784,44433,2016-12-31
,,,,,,,,,22603,0,,3124,,17670,44741,2016-12-31
,,,,,,,,,,,,,,,44750,2016-12-31
,,,,,,,,,,,,,,,44929,2016-12-31
,,,,,,,,,,,,,,,45038,2016-12-31
,,,,,,,,,,,,,,,45047,2016-12-31
,,,,,,,,,,,,,,,45056,2016-12-31
,,,,,,,,,,,,,,,45430,2016-12-31
,,,,,,,,,,,,,,,45458,2016-12-31
,,,,,,,,,22817,1,,3605,,1890,45551,2016-12-31
,,,,,,,,,106632,12449,,3882,,43113,45560,2016-12-31
,,,,,,,,,,,,,,,45775,2016-12-31
,,,,,,,,,,,,,,,46053,2016-12-31
,,,,,,,,,,,,,,,46941,2016-12-31
,,,,,,,,,38829,2,,2258,,0,47247,2016-12-31
,,,,,,,,,,,,,,,47256,2016-12-31
,,,,,,,,,,,,,,,47452,2016-12-31
,,,,,,,,,8738,1256,,1123,,885,47500,2016-12-31
,,,,,,,,,,,,,,,48057,2016-12-31
,,,,,,,,,,,,,,,48150,2016-12-31
,,,,,,,,,15208,4310,,5050,,5031,48374,2016-12-31
,,,,,,,,,,,,,,,48440,2016-12-31
,,,,,,,,,,,,,,,49054,2016-12-31
,,,,,,,,,,,,,,,49148,2016-12-31
,,,,,,,,,15042,454,,6288,,7002,49241,2016-12-31
,,,,,,,,,,,,,,,49344,2016-12-31
,,,,,,,,,,,,,,,49652,2016-12-31
,,,,,,,,,,,,,,,49858,2016-12-31
,,,,,,,,,,,,,,,49951,2016-12-31
,,,,,,,,,,,,,,,50144,2016-12-31
,,,,,,,,,,,,,,,50461,2016-12-31
,,,,,,,,,,,,,,,50872,2016-12-31
,,,,,,,,,,,,,,,50957,2016-12-31
,,,,,,,,,36190,36,,2356,,0,51253,2016-12-31
,,,,,,,,,,,,,,,51356,2016-12-31
,,,,,,,,,,,,,,,51459,2016-12-31
,,,,,,,,,,,,,,,51842,2016-12-31
,,,,,,,,,3086913,0,,0,,2698846,52719,2016-12-31
,,,,,,,,,,,,,,,52951,2016-12-31
,,,,,,,,,339312,20676,,9185,,219150,53033,2016-12-31
,,,,,,,,,,,,,,,53051,2016-12-31
,,,,,,,,,,,,,,,53752,2016-12-31
,,,,,,,,,,,,,,,54049,2016-12-31
,,,,,,,,,5174,3912,,1068,,0,54058,2016-12-31
,,,,,,,,,,,,,,,54441,2016-12-31
,,,,,,,,,17812,0,,4103,,4304,54656,2016-12-31
,,,,,,,,,189211,59753,,71052,,51601,54973,2016-12-31
,,,,,,,,,16746,2552,,5385,,7098,55336,2016-12-31
,,,,,,,,,,,,,,,55635,2016-12-31
,,,,,,,,,,,,,,,55653,2016-12-31
,,,,,,,,,58495,3282,,1950,,48886,55970,2016-12-31
,,,,,,,,,,,,,,,56258,2016-12-31
,,,,,,,,,68726,14575,,20328,,22969,56351,2016-12-31
,,,,,,,,,11292,1470,,801,,554,56548,2016-12-31
,,,,,,,,,95915,39402,,5051,,26509,56557,2016-12-31
,,,,,,,,,11965,5264,,1759,,3233,56717,2016-12-31
,,,,,,,,,,,,,,,57040,2016-12-31
,,,,,,,,,,,,,,,57228,2016-12-31
,,,,,,,,,17684,0,,2304,,6220,57451,2016-12-31
,,,,,,,,,,,,,,,58177,2016-12-31
,,,,,,,,,,,,,,,58207,2016-12-31
,,,,,,,,,,,,,,,58225,2016-12-31
,,,,,,,,,144726,40849,,15527,,78886,58243,2016-12-31
,,,,,,,,,,,,,,,58355,2016-12-31
,,,,,,,,,,,,,,,58551,2016-12-31
,,,,,,,,,,,,,,,58636,2016-12-31
,,,,,,,,,,,,,,,58757,2016-12-31
,,,,,,,,,423414,78698,,17862,,325983,58971,2016-12-31
,,,,,,,,,17174,5231,,9005,,1836,59316,2016-12-31
,,,,,,,,,22022,2061,,2758,,779,59352,2016-12-31
,,,,,,,,,24627,618,,1243,,18832,59370,2016-12-31
,,,,,,,,,,,,,,,59754,2016-12-31
7309747,1316932,,0,244137,,0,2613,5746065,7096643,955210,31033,361722,2613,5746065,60143,2016-12-31
,,,,,,,,,31055,0,,6821,,22782,60330,2016-12-31
,,,,,,,,,,,,,,,60545,2016-12-31
,,,,,,,,,,,,,,,60554,2016-12-31
,,,,,,,,,,,,,,,60648,2016-12-31
,,,,,,,,,63310,10022,,5367,,32836,61122,2016-12-31
,,,,,,,,,17077,11448,,3450,,380,61355,2016-12-31
,,,,,,,,,,,,,,,61476,2016-12-31
,,,,,,,,,,,,,,,61757,2016-12-31
,,,,,,,,,,,,,,,61832,2016-12-31
,,,,,,,,,,,,,,,61953,2016-12-31
,,,,,,,,,,,,,,,62044,2016-12-31
,,,,,,,,,,,,,,,62110,2016-12-31
,,,,,,,,,,,,,,,62147,2016-12-31
,,,,,,,,,21660,10,,2517,,13664,62772,2016-12-31
,,,,,,,,,,,,,,,63050,2016-12-31
2590282,341899,,2433,15031,,142418,38747,2049754,2590282,230010,17464,111889,181165,2049754,63069,2016-12-31
,,,,,,,,,,,,,,,63201,2016-12-31
,,,,,,,,,16641,1647,,425,,1939,63573,2016-12-31
,,,,,,,,,30754,392,,5709,,0,63733,2016-12-31
,,,,,,,,,,,,,,,63742,2016-12-31
,,,,,,,,,,,,,,,63751,2016-12-31
,,,,,,,,,,,,,,,64150,2016-12-31
,,,,,,,,,13665,0,,3830,,9,64543,2016-12-31
,,,,,,,,,,,,,,,64552,2016-12-31
,,,,,,,,,,,,,,,64730,2016-12-31
,,,,,,,,,77136,1204,,1520,,71379,65205,2016-12-31
,,,,,,,,,,,,,,,65241,2016-12-31
188436,639,,0,3987,,0,5820,177990,188436,0,3987,639,5820,177990,65513,2016-12-31
,,,,,,,,,37486,3149,,2385,,31387,65559,2016-12-31
,,,,,,,,,22158,0,,3502,,5795,65746,2016-12-31
,,,,,,,,,37867,18438,,17924,,926,65858,2016-12-31
,,,,,,,,,,,,,,,66154,2016-12-31
,,,,,,,,,,,,,,,66275,2016-12-31
,,,,,,,,,,,,,,,66677,2016-12-31
,,,,,,,,,,,,,,,67142,2016-12-31
,,,,,,,,,46042,4597,,2006,,4684,67151,2016-12-31
,,,,,,,,,17366,3570,,2146,,143,67209,2016-12-31
,,,,,,,,,,,,,,,67254,2016-12-31
,,,,,,,,,73519,3418,,2696,,49009,67656,2016-12-31
,,,,,,,,,,,,,,,67870,2016-12-31
,,,,,,,,,,,,,,,68448,2016-12-31
