RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6557,0,1822,6219,0,13126,0,0,0,0,0,0,48957,0,1580,10630,,28348,3422,3734,14503,7204,0,0,4240,10263,6883,6962,1347,5857,1612,1814,11304,47377,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2003-03-31
2920,1,1183,3603,0,7710,0,0,0,0,0,0,13868,0,624,1774,,8075,1099,1148,5132,1373,0,0,2112,3020,2451,492,580,793,300,101,6526,13244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2003-03-31
8636,0,0,1920,0,8844,0,0,0,0,0,0,70766,0,0,18814,,41417,1899,8585,27922,10773,0,0,9717,18205,12421,1074,2092,8681,7691,350,8844,70766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2003-03-31
791,0,60,1300,0,1300,0,0,0,0,0,0,5984,0,1481,700,,3203,1291,0,3197,700,0,0,754,2443,6,0,500,200,0,0,1240,4503,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2003-03-31
16330,9,6249,31198,0,48143,0,0,0,0,3017,0,88914,0,4726,22835,,43322,6427,0,39943,19488,0,967,11438,28505,3319,60,4683,14805,3347,0,41870,84188,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2003-03-31
2421,0,224,2444,0,4078,0,0,396,0,396,0,16047,0,1392,1778,,8676,3172,567,6643,1578,396,0,2341,4302,1859,174,950,628,0,200,3854,14259,0,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2003-03-31
68501,25,9335,42394,0,67353,0,0,0,0,0,0,170289,0,28252,25687,,48069,28032,8163,30043,19413,0,0,6103,23940,16948,1078,5404,14009,6043,231,57993,141737,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2003-03-31
82729,0,1063,59255,0,94891,0,0,0,0,0,0,222833,0,9987,37598,,64259,38247,10764,59936,35196,0,0,20778,39221,3623,637,16914,18282,2082,320,93401,212513,427,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2003-03-31
563,17,1052,13917,0,43982,0,0,0,0,0,0,71562,0,10533,15967,,45064,9968,8466,32182,10432,0,0,13709,18520,8487,4348,6425,5007,1502,3033,42850,61029,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2003-03-31
3158,5,4025,8873,0,16775,0,0,0,0,0,0,63748,0,2196,11991,,35793,12806,4735,30343,10696,0,0,10196,20147,5450,0,4629,6067,1295,0,12745,61552,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2003-03-31
1656,162,2931,76306,0,115975,0,0,0,0,0,0,170406,5,13055,34988,,47798,85964,13777,35362,14203,0,0,18500,18829,8551,1918,27476,5259,1486,767,111508,157346,1374,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2003-03-31
1888,0,473,3791,0,6493,0,0,0,0,0,0,20866,0,1894,3624,,13346,2008,2090,8367,3157,0,0,2997,5370,4541,438,1621,1536,467,0,6020,18922,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2003-03-31
66519,18,28567,22242,0,29349,0,0,0,18000,18000,0,161473,0,1151,45232,,33430,16292,9187,28207,22621,0,0,8897,19424,4286,823,5828,16793,15575,7036,540,160098,224,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,2003-03-31
12742,11,14911,32532,0,71370,0,0,0,0,0,0,122698,0,682,25580,,68834,15542,11151,54354,17813,0,0,21008,34596,7125,6104,3199,14720,5265,2395,56252,121906,196,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,2003-03-31
32815,13,148,52122,0,68490,0,0,0,0,0,0,176430,0,10034,29530,,76045,38040,17631,51934,21662,0,0,23360,28574,17389,6722,8349,13313,3917,3951,67739,166396,590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,2003-03-31
448,0,629,1518,0,2771,0,0,297,12016,12313,0,27205,0,11283,22960,,2298,1499,8,2289,18944,297,8000,802,1487,10,0,18644,300,1970,2046,2142,15724,0,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,2003-03-31
5698,4,1632,11097,0,25440,0,0,0,0,13029,0,86428,0,5380,24064,,32456,24210,9158,20706,13471,0,4544,7146,13560,10870,880,4666,8805,5736,4857,23804,80948,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2003-03-31
12270,0,4403,14506,0,35066,0,0,0,0,0,0,55779,0,9215,19100,,19849,4560,6446,17204,17419,0,0,5719,11485,2390,255,6921,10498,1570,111,30663,46564,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161,2003-03-31
180717,0,92,27501,0,66231,0,0,0,0,0,0,665888,0,210,65854,,357805,61512,49719,281083,53226,0,0,111615,177880,64177,4134,20068,33158,10195,2433,66139,665678,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,2003-03-31
855,0,89,892,0,1517,0,0,0,0,0,0,9252,0,957,2584,,5406,406,623,4207,2071,0,0,1068,3139,1195,4,408,1663,413,100,1428,7896,0,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2003-03-31
579,0,171,1134,0,2751,0,0,0,0,0,0,3988,0,704,853,,2556,0,0,1704,753,0,0,267,1438,784,68,203,550,0,100,2580,3284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,2003-03-31
40417,26,5631,66503,0,92104,0,0,792,0,792,0,259213,0,36565,101890,,77356,39550,12505,69769,94932,792,0,38978,31279,6021,1078,77890,17042,5870,1088,86447,222648,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732,2003-03-31
1232,2,549,1871,0,5612,0,0,1274,1201,2475,0,30841,0,2610,8417,,17120,4072,1742,13043,7152,1175,1000,3150,10439,2965,566,2192,4960,1164,101,5061,27255,0,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2003-03-31
11509,0,6413,48404,0,51686,0,0,0,0,20000,0,130301,0,13371,30995,,20462,67335,5290,17422,19940,0,20000,7218,10204,2125,915,4761,15180,10586,468,43488,116830,1785,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,2003-03-31
4752,43,1763,7908,0,20154,0,0,0,0,0,0,85373,0,13594,18766,,45405,16450,6173,33486,16090,0,0,10968,22518,8545,3374,4473,11617,2053,623,18348,71779,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2956,2003-03-31
10274,23,473,10867,0,21220,0,0,0,0,0,0,55114,0,3714,12803,,21522,10514,4984,16625,11128,0,0,4422,12203,4890,7,8497,2631,1575,100,20724,51201,0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2003-03-31
1151,0,1563,2242,0,6267,0,0,0,0,0,0,14106,0,2793,4563,,6664,1728,413,5042,4263,0,0,1366,3676,1479,143,1570,2693,200,100,4704,11313,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458,2003-03-31
83872,58,2552,33382,0,68874,0,0,0,0,0,0,773119,0,31014,19297,,221591,448359,32866,196053,17753,0,0,67408,128645,22869,2669,14616,3137,1441,103,64464,742105,1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,2003-03-31
14804,0,9520,23187,0,55169,0,0,0,0,0,0,135015,0,3867,31337,,69897,18977,12507,45305,23243,0,0,13694,31611,20598,3994,7346,15897,4652,3442,45649,117965,0,13183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3579,2003-03-31
15589,0,3668,14596,0,46769,0,0,0,0,0,0,67789,0,6500,19684,,31565,951,5059,27787,18746,0,0,3804,24071,3624,66,11423,7323,938,0,43101,61289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,2003-03-31
4997,44,2186,12994,0,20401,0,0,0,0,0,0,42068,0,2249,7239,,15611,14221,414,13457,6436,0,0,4987,8885,1437,302,2476,3960,703,100,18171,39819,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,2003-03-31
25456,18,701,16376,0,23938,0,0,0,0,0,0,116732,0,4009,26219,,42719,22338,9389,39846,22454,0,0,11596,28250,2290,583,7295,15159,2782,983,23219,112723,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,2003-03-31
9856,0,1123,11760,0,23167,0,0,0,0,2940,0,59334,0,4353,6775,,25504,17199,5723,17772,5594,0,2940,5630,12142,7732,0,2122,3472,1181,0,22044,54981,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2003-03-31
7127,0,4525,12226,0,27993,0,0,0,0,0,0,57782,0,6565,10076,,28177,12402,5495,19122,7406,0,0,6350,12772,5416,3639,4872,2535,1763,906,23468,51217,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,2003-03-31
