RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6454,0,2183,6078,0,14647,0,0,0,0,0,0,50775,0,559,12629,2742,28881,2811,3946,9584,4516,0,0,2625,6959,12155,7142,1034,3482,6272,1841,12464,50216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2005-12-31
2843,4,596,3438,0,8027,0,0,0,0,0,0,14492,0,890,2282,1174,7907,1460,1218,5399,1981,0,0,2216,3183,1761,747,710,1271,301,0,7427,13602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2005-12-31
10679,0,0,3835,0,11959,0,0,0,0,0,0,67598,0,0,18908,0,35731,2280,9418,22384,9276,0,0,9081,13303,11064,2283,4063,5213,6830,2801,11959,67598,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2005-12-31
1033,0,103,1359,0,1359,0,0,0,0,0,0,5548,0,1550,700,1131,2538,1277,0,2528,700,0,0,1202,1326,10,0,400,300,0,0,1256,3998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2005-12-31
17546,0,5991,41517,0,60200,0,0,0,2398,2398,0,91944,0,6057,24515,9543,43241,6642,8234,41532,22862,0,2398,8134,33398,1701,8,5152,17710,1653,0,54209,85887,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2005-12-31
3195,0,530,3218,0,5341,0,0,198,1388,1586,0,19973,0,1508,3966,1255,8623,4189,732,6913,2876,198,597,1980,4933,1302,408,558,2318,1090,0,4811,16879,0,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2005-12-31
118875,9,4699,11297,0,22091,0,0,0,0,0,0,244725,0,51832,28405,54132,53242,44203,8141,41238,22956,0,0,12389,28849,11623,381,9633,13323,4358,1091,17383,192793,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2005-12-31
116709,0,361,79210,0,133318,0,0,0,0,0,0,262472,0,9920,42184,9595,74663,28916,10087,74485,30397,0,0,21528,53035,0,100,10256,20141,10801,986,132581,238305,376,14247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2005-12-31
323,42,887,13380,0,45618,0,0,0,0,0,0,78235,0,18067,26593,17741,41053,10266,9342,28807,21881,0,0,18586,10221,8726,3520,10755,11126,3494,1218,44626,60168,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2005-12-31
3532,4,6673,9804,0,20825,0,0,0,0,0,0,65399,0,3912,12958,8776,33999,14911,4846,26564,11776,0,0,8778,17786,7435,0,3295,8481,1182,0,14148,61487,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2005-12-31
