RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5635,0,3098,6807,0,14275,0,0,0,,0,0,52187,0,451,,3100,30049,1698,4464,16314,9172,0,0,4771,11544,11087,2648,2175,6997,4671,962,11177,51736,0,0,,,,,,,,,,,,14493,312,,,,,,,,,,,,,,,,,,,,,37,2010-12-31
3424,0,376,4208,0,8832,0,0,0,,0,0,14734,0,779,,461,6697,2442,1715,4153,1448,0,0,1352,2801,1968,576,502,946,723,0,8456,13955,0,0,,,,,,,,,,,,2171,0,,,,,,,,,,,,,,,,,,,,,242,2010-12-31
14603,0,0,5857,0,18223,0,0,0,,0,0,84513,0,0,,0,36488,2462,12068,26281,20820,0,0,9608,16673,8830,1377,6740,14081,9382,755,18223,84513,0,0,,,,,,,,,,,,29972,986,,,,,,,,,,,,,,,,,,,,,279,2010-12-31
809,0,133,2503,0,2503,0,0,0,,0,0,6333,0,1664,,792,3178,1112,0,3179,1234,0,0,863,2316,0,0,904,330,0,0,2370,4669,0,0,,,,,,,,,,,,1234,0,,,,,,,,,,,,,,,,,,,,,354,2010-12-31
3405,0,357,3580,0,5695,0,0,0,,0,0,24986,0,1980,,990,10296,7776,2004,8267,2957,0,0,2436,5831,1764,265,760,2197,300,252,5338,23006,0,0,,,,,,,,,,,,3006,503,,,,,,,,,,,,,,,,,,,,,457,2010-12-31
100264,0,2111,12837,0,21835,0,0,118,,1518,0,285975,0,80641,,74872,44901,113613,8642,37671,23150,118,1400,9863,27808,6047,1183,9452,13698,3149,898,19724,205334,0,0,,,,,,,,,,,,17863,9334,,,,,,,,,,,,,,,,,,,,,505,2010-12-31
380,4,1415,18552,0,76940,0,0,0,,0,0,95255,0,6328,,5654,51459,12729,14445,31553,20449,0,0,28688,13059,7026,2686,15493,9647,3390,2157,75272,88677,249,250,,,,,,,,,,,,23756,6931,,,,,,,,,,,,,,,,,,,,,1155,2010-12-31
4077,5,6968,12412,0,23521,0,0,0,,0,0,108412,0,4725,,10880,48144,19870,8806,39505,30558,0,0,12948,26557,8638,0,7224,23334,5763,0,16548,103687,0,0,,,,,,,,,,,,29091,7230,,,,,,,,,,,,,,,,,,,,,1351,2010-12-31
1162,43,6036,99227,0,195783,0,0,0,,0,0,238592,5,28768,,28498,51645,125410,22774,34679,29249,0,0,18628,18401,8404,6212,39042,11825,5428,4080,189704,209819,0,0,,,,,,,,,,,,20572,39803,,,,,,,,,,,,,,,,,,,,,1454,2010-12-31
4372,0,1231,9180,0,15739,0,0,0,,0,0,31727,0,4860,,3816,12496,2610,1988,8816,9912,0,0,3324,5492,2909,771,5058,4854,1219,1118,14508,24877,0,1990,,,,,,,,,,,,5932,6317,,,,,,,,,,,,,,,,,,,,,1557,2010-12-31
13017,5,19784,27842,0,79746,0,0,0,,0,0,122064,0,2980,,22764,50128,28688,12401,38946,24434,0,0,17783,22119,6831,3395,14260,10175,4582,1214,59881,119044,76,40,,,,,,,,,,,,22371,7860,,,,,,,,,,,,,,,,,,,,,1669,2010-12-31
