RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5460,0,2649,6592,0,13794,0,0,0,,0,0,52568,0,457,,,29897,2917,4787,16073,,0,,2957,13116,13404,421,1535,6760,5998,0,11145,52111,0,0,,,,,,,,,,,,13975,318,,0,0,0,,,,,,,,,,,,,,,,,37,2011-09-30
3885,0,281,5672,0,10099,0,0,0,,0,0,15792,0,1328,,,6642,2847,1910,4452,,0,,980,3472,1816,374,689,1120,408,201,9818,14464,0,0,,,,,,,,,,,,2418,0,,0,0,0,,,,,,,,,,,,,,,,,242,2011-09-30
17377,0,0,7397,0,21428,0,0,0,,0,0,85072,0,0,,,34658,2587,12471,26181,,0,,7713,18468,7185,1293,5749,16738,6643,1320,21428,85072,0,0,,,,,,,,,,,,28968,1482,,0,1482,0,,,,,,,,,,,,,,,,,279,2011-09-30
1131,0,127,2276,0,2276,0,0,0,,0,0,6618,0,1727,,,3004,1248,0,3004,,0,,1054,1950,0,0,1105,130,0,0,2149,4891,0,0,,,,,,,,,,,,1235,0,,0,0,0,,,,,,,,,,,,,,,,,354,2011-09-30
3685,0,278,3820,0,6648,0,0,0,,0,0,24687,0,1539,,,10121,7626,2358,7992,,0,,2311,5681,1575,554,416,2137,200,502,6370,23148,0,0,,,,,,,,,,,,3255,0,,0,0,0,,,,,,,,,,,,,,,,,457,2011-09-30
114419,0,3983,14193,0,25084,0,0,128,,608,0,300995,0,84183,,,40420,121794,8004,32274,,128,,16925,15349,6500,1646,12320,8643,2803,596,21101,216812,0,0,,,,,,,,,,,,15683,8679,,0,8404,0,,,,,,,,,,,,,,,,,505,2011-09-30
728,1,2293,15964,0,80083,0,0,0,,0,0,97082,0,2634,,,54078,7786,14752,34030,,0,,29341,16576,4780,3381,19160,10358,2331,2641,77751,94198,38,250,,,,,,,,,,,,25551,8939,,0,7599,0,,,,,,,,,,,,,,,,,1155,2011-09-30
4150,0,5536,13432,0,23546,0,0,0,,0,0,114114,0,4702,,,50573,21529,9624,40275,,0,,12321,27954,10298,0,8003,23090,6769,0,18010,109412,0,0,,,,,,,,,,,,29719,8143,,0,6168,0,,,,,,,,,,,,,,,,,1351,2011-09-30
1138,0,8975,130194,0,232311,0,0,0,,0,0,271112,646,35229,,,52758,151423,24578,34271,,0,,17429,19518,8167,7644,38670,16446,6847,3830,223336,235237,0,0,,,,,,,,,,,,21600,44193,,0,12536,0,,,,,,,,,,,,,,,,,1454,2011-09-30
6150,0,1989,13122,0,20471,0,0,0,,0,0,29270,0,2972,,,12184,3036,1968,8818,,0,,3403,5415,2538,828,2677,2517,1565,1141,18482,24553,0,1745,,,,,,,,,,,,4435,3465,,0,1626,0,,,,,,,,,,,,,,,,,1557,2011-09-30
