RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
6277,0,2362,7243,0,15454,0,0,0,0,0,0,49641,0,618,12572,,28445,2347,3855,9609,4236,0,0,1968,7641,13480,5356,1361,2876,7100,1236,13092,49023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2006-06-30
2918,0,832,4141,0,7870,0,0,0,0,0,0,15980,0,1879,3025,,7689,2348,1211,5214,2721,0,0,1713,3501,2166,309,1907,814,304,0,7038,14101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2006-06-30
10778,0,0,4063,0,13219,0,0,0,0,0,0,67078,0,0,18899,,36297,1104,9827,23346,9847,0,0,7678,15668,10573,2378,3087,6761,6278,2773,13219,67078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2006-06-30
1108,0,90,1568,0,1568,0,0,0,0,0,0,5066,0,1355,400,,2430,1129,0,2416,400,0,0,1082,1334,14,0,100,300,0,0,1478,3711,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2006-06-30
16996,0,3848,41245,0,56670,0,0,0,1852,1852,0,101514,0,5994,29959,,43368,11191,8665,40899,28841,0,1852,12537,28362,2437,32,7254,21587,1118,0,52822,95520,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,2006-06-30
3407,0,411,2926,0,5046,0,0,198,1388,1586,0,19600,0,1464,3958,,8421,3814,725,6912,3535,198,1388,1830,5082,1311,198,1049,2486,423,0,4635,16550,0,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2006-06-30
111856,14,2227,16092,0,22903,0,0,0,0,0,0,235097,0,38070,31241,,62118,29883,8198,55401,28051,0,0,10669,44966,5913,570,10213,18023,1754,1251,20662,197027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2006-06-30
114806,0,393,72257,0,121845,0,0,0,0,0,0,271200,0,9105,43517,,84749,28127,10345,84271,35602,0,0,22799,61547,232,170,8400,27202,7701,213,120934,244440,518,17655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,2006-06-30
372,17,759,18598,0,51136,0,0,0,5216,5216,0,88951,0,17874,36077,,44183,8319,9979,33278,31871,0,5216,18155,15123,6753,4152,15100,16771,2318,1888,50304,71077,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2006-06-30
3616,5,4278,11106,0,19845,0,0,0,0,0,0,69619,0,4675,13885,,34230,17889,4857,27729,12457,0,0,9200,18529,6501,0,3962,8495,1428,0,15562,64944,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2006-06-30
