RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5486,0,2351,6725,0,12532,0,0,0,0,0,0,51493,0,891,13588,,28830,3589,4053,14706,9638,0,0,3288,11419,7807,6316,3223,6416,2060,1889,10181,50602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2008-09-30
3167,0,455,4870,0,9070,0,0,0,0,0,0,15770,0,1315,2357,,7309,2937,1442,5412,1785,0,0,1436,3976,1519,377,1064,721,366,205,8615,14455,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2008-09-30
11653,0,0,6362,0,16389,0,0,0,0,0,0,74213,0,0,23352,,37976,1231,11208,27330,16014,0,0,8235,19095,9001,1645,4299,11715,6226,1111,16389,74213,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,2008-09-30
964,0,58,1635,0,1635,0,0,0,0,0,0,5264,0,1299,300,,2967,1033,0,2967,300,0,0,855,2112,0,0,300,0,0,0,1577,3965,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,2008-09-30
2955,0,183,2536,0,4519,0,0,99,0,99,0,19565,0,1293,1774,,9490,5346,857,8212,1674,99,0,2778,5434,1176,102,512,1162,100,0,4336,18173,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2008-09-30
110359,7,5951,14922,0,23686,0,0,0,0,0,0,241130,0,60168,29349,,46899,54523,6947,40139,25784,0,0,20514,19625,5771,989,16429,9355,2746,819,17728,180962,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,2008-09-30
282,16,1302,16021,0,56887,0,0,0,0,0,0,87237,0,6506,27498,,48063,11394,11130,30855,19069,0,0,19953,17914,7803,2393,11245,11258,3792,1203,55565,80731,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,2008-09-30
3723,15,5882,10335,0,20803,0,0,0,0,0,0,87238,0,2815,22177,,41365,19973,7308,29620,13340,0,0,9830,19790,11735,10,3851,9489,8837,0,14906,84423,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351,2008-09-30
1542,63,6877,118293,0,189867,0,0,0,0,0,0,241547,12,16736,44940,,57005,138060,18040,40935,17037,0,0,21424,22642,9917,3022,28400,9997,4463,2080,182927,224799,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,2008-09-30
2871,0,955,5165,0,9149,0,0,0,0,0,0,23063,0,3173,6969,,11620,1603,1931,8795,6666,0,0,3308,5487,2486,339,2685,3981,303,0,8194,19840,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,2008-09-30
