RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
0,0,84,2171,0,2171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388557,2002-12-31
25377,0,19289,15274,0,48764,0,0,0,0,0,0,97817,0,1530,14846,0,32918,24676,8747,26057,12116,0,0,8295,17762,4601,2260,4905,7211,1429,1301,29475,96287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388744,2002-12-31
1722,12,34,1561,0,3919,0,0,0,0,750,0,15192,0,1141,3785,100,9685,0,1215,6766,3532,0,750,2584,4184,1971,946,1538,1994,148,105,3873,14051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388753,2002-12-31
8969,5,1823,15301,0,22433,0,0,0,0,0,0,40519,0,1385,4985,1551,18183,8382,3861,10909,1937,0,0,4117,6924,7139,3,605,1332,2846,203,20605,36558,0,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388931,2002-12-31
6530,0,1177,9206,0,14330,0,0,0,0,0,0,57991,17,1856,8546,2527,28331,14584,2723,14209,5080,0,0,5520,8689,9325,4797,3489,1591,2257,1209,13127,55799,26,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388940,2002-12-31
2110,118,1391,2964,0,8114,0,0,0,0,0,0,19665,0,1333,2458,491,12729,2368,1085,11935,2458,0,0,5136,6799,595,199,1053,1405,0,0,6605,18332,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389059,2002-12-31
0,108,828,11481,0,18457,0,0,0,0,0,0,83117,0,3151,63022,3479,13096,6999,4405,13096,62422,0,0,3801,9295,0,0,42014,20408,600,0,17521,79966,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389358,2002-12-31
1813,0,783,3191,0,8610,0,0,0,0,0,0,21113,0,941,5858,1338,13228,214,2688,11376,5481,0,0,7553,5670,4,0,2935,2923,0,0,7827,20172,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389657,2002-12-31
6346,0,683,6718,0,10704,0,0,0,0,0,0,17180,0,180,1792,11,8520,522,520,6383,1412,0,0,2387,3996,1529,608,679,733,180,200,10021,17000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389826,2002-12-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390167,2002-12-31
21147,0,8659,31185,0,64682,0,0,0,0,0,0,195481,0,3838,76459,663,87070,10805,17116,63754,55038,0,0,23072,40682,18666,4650,31325,23713,13762,7659,55004,191643,1019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390336,2002-12-31
9584,0,3351,15444,0,28218,0,0,0,0,0,0,62725,0,6838,6574,7910,24863,21702,4298,20086,6045,0,0,6577,13509,4246,531,1191,4854,426,103,24676,55885,191,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390457,2002-12-31
5929,26,5,68593,0,81683,0,0,0,0,0,0,40001,0,0,13199,0,7050,13823,1266,6588,12999,0,0,3734,2854,462,0,10709,2290,200,0,81652,40001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390765,2002-12-31
16431,1,7777,13433,0,42015,0,0,0,6068,6068,0,77984,0,4708,17213,1900,35977,8363,4292,20221,8292,0,6068,6923,13331,10824,4899,5753,8607,1588,1265,34237,73276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390840,2002-12-31
18027,117,910,62722,0,93182,0,0,0,44500,44500,0,512893,0,32175,257397,31232,186004,51465,47631,143107,199670,0,34500,45898,99547,33108,7451,59799,140548,47370,9680,92155,480718,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390925,2002-12-31
28700,417,2659,59350,0,79599,0,0,0,0,0,0,405533,0,33081,67400,19702,132007,177426,30297,77788,28820,0,0,23414,54451,35526,18616,9842,18978,29531,9049,76523,372452,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391137,2002-12-31
3384,0,74,6434,0,10114,0,0,1205,200,6506,0,97950,0,1211,25380,636,65120,4066,3086,28268,16775,756,3859,9553,18715,28911,7941,4071,12704,6749,1856,10040,96739,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391249,2002-12-31
32935,5,5541,21900,0,46668,0,0,0,0,0,0,118477,5,1749,16325,5517,57959,11258,8470,48085,14450,0,0,14312,33773,9579,295,5128,9322,1723,152,41000,116623,122,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391418,2002-12-31
3331,2,18,2877,0,6819,0,0,0,0,0,0,14448,0,1321,2099,1000,7246,1772,942,6318,1759,0,0,2886,3439,860,61,1029,730,340,0,6799,13127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391557,2002-12-31
10264,160,18591,83514,0,109084,0,0,0,42129,42129,0,462073,0,43345,164294,61183,108383,179132,11925,85577,111613,0,12395,29906,55690,17453,5334,33761,78119,35823,16591,90311,418048,22,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391838,2002-12-31
3076,64,6,9946,0,21116,0,0,0,0,0,0,44336,0,0,8986,0,17021,15253,2131,13027,8278,0,0,5288,8654,2464,615,3696,4582,200,508,21046,44336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391856,2002-12-31
1535,0,160,2309,0,6436,0,0,0,0,0,0,10200,4,1538,1147,1598,6319,1199,845,4763,847,0,0,1773,2990,1515,41,0,847,300,0,6276,8658,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391959,2002-12-31
94066,1,52192,30847,0,126411,0,0,0,0,0,0,203429,0,3193,14422,50624,72418,22523,13617,53829,12458,0,0,24210,29678,14277,4253,5235,7223,1478,486,74218,200236,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391977,2002-12-31
4418,18,1506,14259,0,19712,0,0,0,0,0,0,40600,0,16,9337,1389,20448,6397,6262,17872,8525,0,0,5786,12138,2523,0,2263,6262,649,162,17815,40584,373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392031,2002-12-31
635,0,211,1975,0,4098,0,0,0,0,0,0,11029,0,1645,1620,1399,6014,2760,869,4903,1519,0,0,1613,3290,1109,0,911,608,103,0,3887,9384,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392152,2002-12-31
126357,1596,17829,386224,0,499908,0,0,0,0,0,0,3872838,0,260483,511477,261705,1329713,1905291,312205,971839,338021,0,0,370862,600977,309036,48838,152097,185924,126891,46565,480483,3612345,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392228,2002-12-31
7012,32,4634,9615,0,22299,0,0,0,0,0,0,31212,0,3537,1364,6646,12998,9838,2203,9678,1146,0,0,3542,6136,2969,351,1032,114,218,0,17633,27675,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392255,2002-12-31
