"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	FED. FUNDS SOLD & SECURITIES RS.	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	CUSTOMERS LIABILITY ON ACCEPTANCES	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	
37																																							0	1443	0	4339	16780	0	0	537	0	0	1224	65427	53502	0	0	382	53884	0	1049	0	0	0	11543	1200	65427	0	0	7843	0	2500	0	6296	47206		0	42153	41104	0	
242																																							0	928	0	648	0	7367	0	301	0	0	347	24327	19388	0	0	156	20744	0	130	0	1200	0	3583	120	24327	0	0	3244	0	120	0	2712	16676		0	14866	14736	99	
279																																							829	1375	0	2685	38283	25881	223	515	158	0	1364	94819	73096	0	0	215	79311	0	279	0	6000	0	15508	0	94819	0	0	15391	0	0	0	1655	71441		0	23785	23506	117	
354																																							0	372	0	0	115	4149	0	39	0	0	157	8407	6971	261	0	80	7312	0	121	0	0	0	1095	25	8407	0	0	544	0	500	0	1067	5904		0	3696	3575	26	
439																																							0	6933	3686	6966	3395	20513	0	2521	0	0	2059	151445	134271	0	0	1634	135905	0	1115	0	0	0	15540	596	151445	0	0	8311	0	6504	0	28054	106217		0	106487	105372	129	
457																																							91	705	0	850	3725	0	0	92	0	0	759	18775	16702	0	0	311	17013	0	164	0	0	0	1762	60	18775	0	0	762	0	940	0	1741	14961		0	12717	12553	0	
505																																							35	6802	92	1300	0	62918	20	5423	182	0	5370	240858	215846	0	0	1770	221616	54	2074	1748	4000	0	19188	5400	240858	0	0	7639	0	5400	0	40730	175116		0	159042	156968	749	
1146																																							9349	13061	729	0	275	28052	0	9459	611	0	11950	306026	271630	1000	0	4367	284139	0	2489	149	1142	6000	21887	18	306026	0	0	12994	0	8629	0	56547	215083		0	234880	232391	246	
1155																																							19	9252	0	0	13631	15780	0	3961	19	0	1802	128539	105333	13271	0	718	119322	0	1161	0	0	0	9217	1600	128539	0	0	4051	0	3400	0	11601	93732		0	85236	84075	166	
