"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON2702	RCON2710	RCON2722	RCON3510	RCON3512	RCON3514	RCON3520	RCON3779	RCON5514	RCON5515	RCON5516	RCON5517	RCON5596	RCON5597	RCON6861	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA531	RCONA532	RCONA533	RCONA545	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	TOTAL DEPOSITS $100,000 OR LESS	TOTAL DEPOSITS > $100,000	TOT DEPS - NUM OF ACCTS > $100,000	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	# OF DEP ACCTS OF $100,000 OR LESS	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	DEPOSITS IN LIFELINE ACCOUNTS	ESTIMATE OF UNINSURED DEPOSITS	EST AMT OF UNINSURD DEPS METHD INDCT	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	TOTL DEPS PURCHD/ACQRD FROM OTH FDIC	AMT OF PURCHD/ACQRD DPS RPTD IN A531	TOTL DEPS SOLD OR TRNSFRD DURING QTR	PB/PSA FDIC CERTIFICATE NUMBER	PB/PSA FDIC CERTIFICATE NUMBER	
37	0	0	0	0		0	0	0		40671	12831	85	0	0	0	0	6820	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
242	0	0	0	0		0	0	0		16615	2773	16	0	0	0	0	2979	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
279	0	0	0	0		0	0	0		59776	13320	122	0	0	0	0	2370	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
354	0	0	0	0		0	0	0		6196	775	3	0	0	0	0	946	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
439	0	0	0	0		0	0	0		105774	28497	152	0	0	0	0	12702	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
457	0	0	0	0		0	0	0		13784	2918	13	0	0	0	0	3022	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
505	0	0	0	0		0	0	0		140148	75698	341	0	0	0	0	25749	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1146	0	0	0	841		0	0	9		170575	101055	467	0	0	0	0	15853	0		0	0			false	0	0	0	0	0	0						
1155	0	0	0	0		0	0	0		74959	30374	106	0	0	0	0	12410	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1351	102	0	0	0		0	0	0		36846	30539	164	0	0	0	0	5372	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1454	0	0	0	0		0	0	0		162015	77917	287	0	0	0	0	29928	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1557	0	0	0	0		0	0	0		23154	4636	30	0	0	0	0	3575	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1632	25	0	0	0		0	0	0		92983	67868	150	3	0	0	0	5140	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1669	0	0	0	0		0	0	0		152299	52477	179	0	0	0	0	21996	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1829	0	0	0	0		0	0	0		165059	48104	247	0	0	0	0	36020	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1856	1	0	0	0		0	0	0		6375	2071	7	0	0	0	0	937	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
1959	0	0	0	0		0	0	0		10445	2812	14	0	0	0	0	1560	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2040	48	0	0	0		0	0	0		64013	30402	113	8	0	0	0	10874	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2161	0	0	0	0		0	0	0		56907	26810	158	0	0	0	0	8034	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2376	0	0	0	188		0	0	0		497693	63372	467	0	0	0	0	49800	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2451	6	0	0	168		0	0	0		7695	1099	7	0	0	0	0	955	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2554	0	0	0	0		0	0	0		4533	400	3	0	0	0	0	1012	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2732	0	0	0	0		0	0	0		192030	167094	437	0	0	0	0	17140	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2750	0	0	0	0		0	0	0		29538	12318	76	0	0	0	0	2691	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2938	0	0	0	0		0	0	0		93892	97965	320	0	0	0	0	17813	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
2956	0	0	0	0		0	0	0		73492	29322	129	0	0	0	0	10375	0		0	0		0	false	0	0	0	0	0	0	0	0	0	0		
