"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
37										4339		213	0			0	0			0	0	
242										648		127	0			0	0			1200	81	
279										2685		600	0			0	0			6000	500	
354										0		5	0			261	0			0	0	
439										6966		0	0			0	0			0	0	
457										850		0	0			0	0			0	0	
505										1300		1641	0			0	0			4000	0	
1146										0		1315	0			1000	0			1142	597	
1155										0		463	0			13271	0			0	0	
1351										3851		0	0			0	0			0	0	
1454										21300		1026	0			0	0			0	5	
1557										4672		23	0			0	0			71	0	
1632										0		500	0			9888	0			10000	0	
1669										7306		682	0			0	0			1000	0	
1829										0		964	0			0	0			0	728	
1856										492		20	0			0	0			0	0	
1959										850		0	0			0	0			0	0	
2040										881		895	0			0	0			15406	150	
2161										7095		198	0			0	0			0	0	
2376										23000		4056	0			12981	0			0	40000	
2451										160		80	0			0	0			1350	3	
2554										105		0	0			0	0			400	0	
2732										11000		181	0			0	0			351	0	
2750										2635		187	0			100	0			2589	0	
2938										0		750	0			38102	0			15000	32	
2956										10705		0	0			0	0			0	0	
3252										0		145	0			935	0			57	0	
3458										585		47	0			2325	0			0	0	
3506										0		3977	0			16760	0			13000	0	
3579										0		1419	0			4127	0			19231	0	
3720										2575		625	0			2396	0			9352	0	
3953										5360		7	0			0	0			0	0	
4138										1376		724	0			0	0			5404	3498	
4147										4561		564	0			0	0			8000	0	
4156										0		495	0			0	0			9887	0	
4231										3834		0	0			0	0			0	0	
4437										3142		714	0			5478	0			3450	0	
4745										375		0	0			0	0			0	0	
4839										0		721	0			7898	0			13900	0	
5005										6945		1909	0			0	0			25032	10094	
5050										0		388	0			0	0			0	0	
5069										50350		0	0			0	0			0	1931	
5135										7372		334	0			0	0			0	0	
5210										0		3565	0			24274	0			450	0	
5247										91400		0	0			24997	0			2689	0	
5274										0		1976	0			126	0			1500	0	
5331										0		1428	0			3500	0			128	0	
5461										9925		0	0			0	0			603	2369	
5751										5525		0	0			0	0			0	0	
5939										58551		13168	0			43033	0			756	0	
6039										6900		299	0			0	0			11	50	
6057										645		64	0			0	0			1000	0	
6141										4500		0	0			0	0			0	0	
6329										0		725	0			927	0			0	0	
6842										3415		64	0			0	0			301	0	
6972										73660		0	0			1359	0			2474	0	
7009										96200		0	0			0	0			0	7580	
7045										9900		0	0			0	0			0	0	
7157										600		0	0			0	0			0	0	
7166										5765		1224	0			0	0			0	0	
7456										1000		86	0			0	0			0	0	
7634										0		87	0			111	0			0	0	
8033										1525		419	0			0	0			1832	0	
8154										990		132	0			0	0			0	0	
8417										1160732		1379	0			0	0			0	812	
8462										2600		21	0			0	0			0	0	
8547										10850		940	0			1925	0			8000	0	
8631										3533		168	0			0	0			0	0	
9115										138500		913	0			7976	0			4	140	
9160										18637		539	0			0	0			7650	0	
9339										0		3331	0			9823	0			30550	0	
9357										0		5700	0			3133	0			31000	0	
9553										300		302	0			2000	0			0	0	
9807										62500		8157	0			33038	0			90800	0	
9955										225		401	0			10	0			803	0	
10157										4270		533	0			0	0			6375	4	
10250										4212		483	0			0	0			0	0	
10577										0		342	0			300	0			0	0	
10849										0		1188	0			0	0			6899	0	
10858										8000		1470	0			5419	0			6508	0	
11145										0		447	0			650	0			6767	0	
11350										700		26	0			80	0			117	0	
11640										5300		1319	0			0	0			16800	0	
11837										1181		705	0			0	0			0	0	
12030										1313		541	0			0	0			0	0	
12058										3500		281	103			0	103			2212	0	
12142										1800		442	0			0	0			2000	0	
12245										0		1035	0			2600	0			3500	0	
12311	0	949552	142103	1005389	0	572505	292819	139497	3500	54696	3105509	16738	15335	0	27817697	2454471	15335	1125100	24182219	2122208	144	
12357										2500		4	0			0	0			0	0	
12405										0		4886	0			50319	0			961	4725	
12647										1300		139	0			0	0			0	0	
12656										947		23	0			0	0			0	0	
12937										0		582	0			0	0			5516	0	
12946										0		1373	0			1835	0			15458	0	
12955										175		324	0			0	0			4000	0	
13037										3272		51	0			0	0			0	462	
13103										28944		2483	0			6340	0			3225	24456	
13251										1800		102	0			0	0			0	0	
13309										47000		21477	0			57243	0			220117	3003	
13457										1550		3	0			0	0			0	353	
14052										1734		229	0			0	0			0	0	
14155										0		189	0			1455	0			3400	0	
14258										14000		3137	0			17875	0			15000	0	
14409	24779	69997	1480	1212263	637287	1151345	515927	360101	675	35000	3973854	54432	1856	0	16801969	1351028	1856	173533	14073955	319590	0	
14454										0		209	0			175	0			828	0	
14650										300		56	0			0	0			0	0	
14753										800		9	0			0	0			0	0	
14865										700		198	0			0	0			3000	0	
14931										3128		95	0			1	0			0	0	
14940										0		0	0			5902	0			0	0	
15536										14		4749	0			30300	0			0	0	
15732										2329		548	0			0	0			0	500	
16337										10157		903	0			829	0			17068	0	
16355										1240		188	0			0	0			2000	0	
16458										11127		633	0			0	0			2036	0	
16551										1698		525	0			0	0			8893	0	
16748										1470		302	0			0	0			2000	0	
16766										15000		3507	0			40400	0			65000	0	
16944										3400		0	0			0	0			0	0	
16953										3550		0	0			0	0			0	0	
17110										14821		219	0			0	0			0	0	
17147										23835		3608	0			62405	0			70332	0	
17259										700		233	0			0	0			2168	0	
17464										0		1907	0			0	0			15191	304	
17549										0		465	0			0	0			0	0	
17642										8400		0	0			0	0			0	0	
17839										0		340	0			5123	0			0	0	
17950										2700		621	0			0	0			2026	0	
18050										9475		877	0			0	0			4466	0	
18126										7775		11744	0			0	0			235468	0	
18135										11525		587	0			8175	0			1700	0	
18368										8380		614	0			0	0			6578	54	
18377										0		95	0			0	0			0	0	
18827										7150		491	0			0	0			757	0	
18836										2632		356	0			0	0			2113	58	
18854										2410		48	0			0	0			0	0	
18863										2000		1517	0			0	0			19825	0	
18957										1402		215	0			0	0			2721	0	
19356										3125		0	0			280	0			0	0	
19730										60300		3357	0			28902	0			10000	5	
19936										3081		932	0			3953	0			0	0	
19972										0		227	0			0	0			0	0	
20053										200		74	0			1478	0			1350	122	
20147										316		112	0			0	0			738	0	
20259										608		38	0			0	0			0	2250	
20370										0		445	0			0	0			1500	0	
20512										1075		784	0			0	0			10000	0	
20633										0		279	0			2000	0			0	1000	
20754										405		0	0			0	0			0	0	
20839										452		260	0			0	0			5200	0	
20857										696		317	0			0	0			3761	0	
20866										6120		276	0			0	0			0	0	
21256										1431		18	0			0	0			0	0	
21359										650		32	0			0	0			291	679	
21630										1350		437	0			0	0			5353	0	
21658										1038		374	0			0	0			4462	0	
22048										16430		314	0			768	0			1319	2091	
22235										4652		845	0			0	0			16900	0	
22356										9050		1250	0			4583	0			913	10	
22459										1100		442	0			1690	0			2293	0	
22543										5700		176	0			0	0			113	0	
22552										0		194	0			700	0			1700	0	
22730										2329		0	0			0	0			0	0	
22860										0		5268	0			0	0			183000	179329	
22936										6637		300	0			0	0			4658	0	
22954										0		145	0			648	0			1849	74	
23036										0		0	0			7106	0			79	0	
23045										4300		200	0			0	0			0	0	
23241										62017		34541	0			253283	0			579298	68267	
23344										0		1027	0			406	0			12322	0	
23456										2444		174	0			0	0			246	0	
23504										8000		1393	0			0	0			0	0	
23540										14823		436	0			0	0			0	0	
23643										1525		491	0			0	0			632	0	
23755										5935		350	0			0	0			1000	0	
