"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
2621931	508	100	0	0	408	0	
2621940	508	99	27	0	403	21	
2622161	616	181	0	0	442	7	
2622198	692	170	6	0	589	73	
2623494	646	132	0	0	546	32	
2624400	708	228	1	0	635	156	
2624651	791	285	10	0	545	49	
2625023	830	805	4	0	545	524	
2625724	636	142	0	0	502	8	
2626794	395	50	2	0	343	0	
2626815	507	89	0	0	422	4	
2630559	0	0	0	0	0	0	
2630782	1373	201	0	0	1221	49	
2631172	2520	48	54	0	2579	161	
2631314	764	71	2	0	693	2	
2631323	919	130	23	0	766	0	
2631408	600	72	0	0	574	46	
2631846	390	82	0	0	311	3	
2632599	96	6	0	0	92	2	
2632713	478	121	0	0	509	152	
2634191	3189	692	105	0	2569	177	
2634351	6653	1024	33	0	5854	258	
2634735	369	157	4	0	250	42	
2635077	919	218	9	0	872	180	
2635901	1001	230	0	0	808	37	
2636074	1302	337	16	0	949	0	
2636083	849	13	0	0	874	38	
2636458	96475	68466	3971	5496	101024	82482	
2640530	478	115	1	0	512	150	
2640594	503	110	0	0	521	128	
2640772	797	114	1	0	714	32	
2641210	0	0	0	0	0	0	
2641827	0	0	0	0	0	0	
2642598	486	180	0	0	325	19	
2643438	10031	2000	0	0	8035	4	
2643595	555	90	0	0	465	0	
2645106	0	0	0	0	0	0	
2645889	497	87	20	0	418	28	
2646327	309	73	0	0	236	0	
2646523	1366	116	22	0	1311	83	
2646813	315	84	0	0	232	1	
2647173	0	0	0	0	0	0	
2648330	281	42	0	0	245	6	
2648376	1004	294	51	0	856	197	
2648460	1205	322	0	0	1083	200	
2649122	2647	504	82	0	2395	334	
2649168	1216	340	0	0	931	55	
2649177	10400	8732	788	0	5726	4846	
2650333	209	142	0	0	139	72	
2651675	580	140	0	0	440	0	
2651899	0	0	0	0	0	0	
2652092	1394	255	0	0	1142	3	
2654818	338	72	5	0	305	44	
2655495	1097	230	0	0	937	70	
2655507	609	130	0	0	481	2	
2657855	277	54	3	0	222	2	
2661861	444	80	0	0	393	29	
2661898	363	95	2	0	280	14	
2665515	1813	240	0	0	1573	0	
2665841	190	46	0	0	147	3	
2666400	1967	993	73	0	2055	1154	
2667911	568	175	0	0	517	124	
2667920	0	0	0	0	0	0	
2667939	255	25	0	0	238	8	
2667957	388	78	0	0	310	0	
2668459	544	85	5	0	485	31	
2668570	607	167	9	0	514	83	
2668598	672	254	0	0	472	54	
2670818	242	33	6	0	203	0	
2671093	614	151	0	0	483	20	
2671105	503	69	0	0	434	0	
2678449	576	0	5	0	601	30	
2679709	380	34	0	0	346	0	
2679839	1151	315	0	0	959	123	
2682709	306	0	0	0	306	0	
2683014	712	69	0	0	643	0	
2683555	1101	272	0	0	866	37	
2684132	748	158	0	0	600	10	
2684945	493	97	2	0	406	12	
2685241	0	0	0	0	0	0	
2685504	3385	688	0	0	2700	3	
2685764	170	12	0	0	158	0	
2686136	695	64	1	0	633	3	
2686211	710	180	17	17	537	41	
2686529	0	0	0	0	0	0	
2686828	670	32	8	0	633	3	
2687133	385	63	0	0	322	0	
2687487	2000	632	72	436	1640	780	
2687919	342	37	0	0	307	2	
2688390	790	121	0	0	670	1	
2688448	675	108	0	0	585	18	
2688895	530	80	33	0	419	2	
2689128	28	3	0	0	25	0	
2689191	406	122	175	50	319	260	
2689463	2813	1094	184	217	2643	1325	
2692418	125	42	1	0	87	5	
2692753	979	102	4	0	928	55	
2692762	532	84	0	0	473	25	
2693264	1010	130	0	0	880	0	
2693657	450	274	17	0	454	295	
2693693	312	106	0	0	207	1	
2694430	901	172	0	0	744	15	
2694681	1761	468	7	0	1481	195	
2694935	1757	549	11	0	1240	43	
2694944	368	66	0	0	320	18	
2696180	264	18	0	0	246	0	
2696528	0	0	0	0	0	0	
2697619	203	54	0	0	173	24	
2697963	809	158	0	0	651	0	
2697990	0	0	0	0	0	0	
2698438	785	157	0	0	628	0	
2698492	702	70	0	0	637	5	
2699109	646	24	0	0	630	8	
2699631	885	110	0	0	775	0	
2700322	100	33	1	0	66	0	
2700984	4143	2873	73	0	3553	2356	
2701767	532	25	0	0	507	0	
2701833	739	164	0	0	575	0	
2702764	297	132	1	0	212	48	
2704188	509	320	5	0	435	251	
2705121	539	92	0	0	447	0	
2705895	217	73	0	0	144	0	
2706016	950	126	0	0	865	41	
2707451	484	49	2	0	433	0	
2708122	784	49	0	0	736	1	
2709138	164	5	0	0	159	0	
2710554	345	16	0	0	336	7	
2710666	0	537	0	0	30	568	
2710705	483	83	14	0	450	64	
2712978	510	80	0	0	430	0	
2713461	582	124	0	0	481	23	
2713555	1065	125	0	0	941	1	
2713582	1070	180	0	0	906	16	
2714217	942	185	0	0	757	0	
2714570	1657	713	0	0	1179	235	
2716088	565	212	21	0	756	424	
2716163	450	58	0	0	396	4	
2716613	314	70	0	0	245	1	
2716622	478	131	0	0	374	27	
2716828	277	8	0	0	272	3	
2717012	1346	200	0	0	1146	0	
2717151	309	48	1	0	302	42	
2718297	725	75	0	0	650	0	
2718345	603	61	0	0	542	0	
2718596	569	102	1	0	482	16	
2718738	21855	2875	77	0	19655	752	
2719427	233	6	0	0	227	0	
2719810	0	0	0	0	0	0	
2720946	415	70	0	0	345	0	
2721103	1711	230	0	0	1481	0	
2721475	336	41	0	0	297	2	
2721747	2195	410	28	1877	134	254	
2721765	844	247	0	0	597	0	
2721877	108	33	3	0	109	37	
2722173	0	0	0	0	0	0	
2722182	131	4	0	0	131	4	
2722922	451	50	0	0	443	42	
2722959	817	425	0	0	392	0	
2723068	738	203	9	0	526	0	
2723581	227	53	0	0	174	0	
2723666	208	56	3	0	149	0	
2723787	140	112	0	0	157	129	
2724757	652	117	0	0	535	0	
2724766	140	5	0	0	141	6	
2726050	147	35	0	0	140	28	
2726416	495	44	2	0	450	1	
2726443	0	0	0	0	0	0	
2727431	736	11	0	0	725	0	
2727619	310	23	3	0	298	14	
2727673	3396	1700	104	0	2622	1030	
2727990	392	180	50	0	246	84	
2728111	1018	177	0	0	841	0	
2728474	1087	1746	240	0	797	1696	
2728661	944	212	0	0	958	226	
2729314	780	35	0	0	745	0	
2729604	235	17	4	0	222	8	
2729770	246	61	0	0	185	0	
2729846	230	60	0	0	187	17	
2730356	884	387	1	0	614	118	
2730431	965	-20	0	0	1008	23	
2730477	606	158	38	0	514	104	
2731287	1130	160	0	0	970	0	
