"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37															0	213	245	1224	42	61	0	0	0	0	0	705	0	0				
242															0	127	0	347	0	6	0	0	0	0	0	214	0	0				
279															0	600	0	1364	18	44	0	0	0	0	0	720	23	0				
354															0	5	1	157	0	6	0	0	0	0	0	145	0	0				
439															0	0	346	2059	268	545	0	0	0	0	0	1168	0	0				
457															0	0	83	759	0	440	0	0	0	0	0	236	368	0				
505															0	1641	0	5370	1074	2287	754	0	0	0	0	1442	0	0	SPLIT DOLLAR RECEIVABLE                                                                                                                                                                          			
1146															0	1315	0	11950	222	9584	5405	408	1164	0	0	1051	0	0	TITLE CO SUBSIDARY TITLE PLANT INVT                                                                                                                                                              	ACCOUNTS RECEIVABLE                                                                                                                                                                              	DUE FROM FEDERATED SWEEP ACCT                                                                                                                                                                    	
1155															0	463	90	1802	61	144	0	0	0	0	0	1105	0	0				
1351															0	0	274	1586	39	476	437	0	0	0	0	836	0	0	INTEREST ON SECURITIES                                                                                                                                                                           			
1454															0	1026	0	3857	637	823	0	0	0	0	0	2008	0	0				
1557															0	23	0	783	39	41	0	0	0	0	0	719	0	0				
1632															0	500	706	4918	208	1425	0	0	0	0	0	2287	895	0				
1669															0	682	0	3416	224	248	0	0	0	0	0	2486	0	0				
1829															0	964	0	3372	0	1900	1367	0	0	0	0	508	0	0	AIR Investments                                                                                                                                                                                  			
1856															0	20	0	288	27	52	0	0	0	0	0	216	0	0				
1959															0	0	0	321	0	30	0	0	0	0	0	291	0	0				
2040															0	895	160	2458	405	485	46	34	0	0	0	918	0	0	Petroleum cleanup receivables                                                                                                                                                                    	Computer software                                                                                                                                                                                		
2161															0	198	0	1113	154	471	282	0	0	0	0	444	0	0	ACCRUED US GOVERNMENT AGENCIES                                                                                                                                                                   			
2376															0	4056	1112	9393	191	652	0	0	0	0	0	3573	0	0				
2451															0	80	1	410	0	71	0	0	0	0	0	258	44	0				
2554															0	0	0	160	14	29	7	8	0	0	0	131	0	0	software                                                                                                                                                                                         	prepaid income taxes                                                                                                                                                                             		
2732															0	181	0	3288	61	413	26	147	0	0	0	2694	179	0	safe deposit rent receivable                                                                                                                                                                     	leasehold purchase                                                                                                                                                                               		
2750															0	187	65	2003	0	573	537	0	0	0	0	1178	0	0	Deferred Comp.                                                                                                                                                                                   			
2938															118	750	1051	5177	89	207	0	0	0	0	0	3169	0	0				
