"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
	REAL ESTATE LOANS, TOTAL	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-CONSTRUCTION & LAND DEV	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	R.E. LOANS NON-FARM. NON-RES. PROP	LOANS FOR PURCHASING SECURITIES	OTHER LOANS	ALL OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	TOT LNS & LEASES RESTRUCTURED	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	OTH LOANS TO INDIVIDUALS	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LEASE FINCG RECS-U.S. ADDRESSEES	LEASE FINCG RECS-NON-US ADDRESSEES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	
37																														0	14	1270	0	4532		57		94	0			610	0	10752	0	2444	42153	0	0			0	22330	50	0	13369	788	3085	8504	3382	6472	99	2412	7143	4863	3362	1848	136								0	0		
242																														0	0	1498	0	2575		3		1542	0			1290	46	2109	0	0	14866	18	51			0	5716	54	0	5463	199	1052	3021	1003	441	0	1764	4820	1092	962	447	83								0	0		
279																														0	657	0	0	1054		669		0	0			508	0	1658	0	0	23785	0	202			0	19037	0	970	3268	538	1133	994	1432	3184	11756	856	1037	1358	754	681	62								0	0		
354																														0	0	733	0	117		0		823	0			210	0	838	0	0	3696	0	0			0	940	35	881	873	27	886	7	0	0	0	511	1131	424	457	110	0								0	0		
439																														0	1874	9878	651	31955		0		3017	0			18660	0	11216	0	3071	106487	0	0			0	24844	1321	2364	35484	3691	3338	8945	5180	3550	0	24749	12671	26573	9883	7298	0								0	0		
457																														0	39	1609	0	633		19		3591	64			1493	0	3094	0	141	12717	0	0			0	2098	0	1888	7087	353	604	734	382	25	0	1426	4704	2750	1340	322	74								0	0		
505																														0	235	0	127	39055		27		0	0			24250	7430	25723	0	1998	159042	4341	0			0	62801	675	3092	28577	0	2117	786	715	29823	29266	26334	22486	12168	18846	14128	5682								354	708		
1146																														0	34323	166	2885	24242		973		0	0			38651	5365	13958	0	0	234880	5	0			0	56981	9120	0	126702	35923	4547	8143	3121	2309	2288	44298	22114	84844	19349	5796	172								48060	161		
1155																														0	2198	753	1161	18609		70		3433	0			31268	1565	5666	0	0	85236	0	0			0	15362	4550	679	30563	1792	1355	4724	5983	648	860	24985	8505	13883	18842	3365	294								440	161		
1351																														0	0	7919	0	4730		30		3652	0			12398	0	8672	0	0	45663	0	314			0	7948	0	7359	37037	1980	5474	219	226	49	0	9133	20450	6662	1233	137	0								0	0		
1454																														0	5820	2006	915	20229		44		6439	0			23283	1162	31369	0	0	134869	0	0			0	36043	5175	2635	22914	3620	1675	2876	3860	20302	3710	23651	5703	17073	33302	18877	149								1244	1140		
1557																														0	30	2852	0	1711		5		7380	0			1422	0	1079	0	0	17508	0	0			0	3029	0	0	7245	40	132	1124	1059	447	227	1213	5860	3253	3121	431	601								0	0		
1632																														2031	5633	2537	7909	51423		1920		6105	0			25689	2815	8129	0	1106	144607	0	0			0	26508	2802	1960	59956	6756	4804	8067	3197	818	2866	45458	26299	25410	11692	9186	34								0	0		
1669																														0	399	260	128	6441		104		2059	73			8564	0	12722	0	250	64880	0	0			0	32694	1259	18572	7322	2014	6472	4115	6931	13123	0	5327	6760	9048	6576	3643	427								0	0		
1829																														0	1809	96	2957	24629		46		0	0			19246	5404	4517	0	1333	115635	331	7627			0	38659	8070	0	22701	155	66	871	3948	15633	17842	21087	1393	9745	15581	23575	3721								718	855		
1856																														0	0	669	10	278		0		398	0			578	0	608	0	0	3711	0	0			0	1170	0	725	801	825	58	18	62	207	0	951	726	364	246	225	0								0	0		
1959																														0	0	1586	0	63		4		3135	185			894	0	93	0	0	5902	0	0			0	127	0	0	3916	0	0	22	94	0	0	409	4292	392	335	133	78								0	0		
2040																														150	3143	1607	0	4739		58		4089	0			42778	0	8896	0	717	97105	0	0			0	30054	545	6429	40315	2893	6654	18919	913	54	318	12773	17995	26567	5724	2525	0								329	0		
2161																														0	1776	483	0	7631		133		1203	53			4490	0	15206	0	0	51363	1473	0			0	21310	111	858	20077	1236	6599	7415	3106	2543	411	6506	5736	8472	7588	2911	313								493	0		
2376																														0	2379	0	129697	14388	0	0	0	0	0	0	0	0	2697	263	0	0	358316	0	0	0	0	0	192728	16164	39323	13907	3421	1921	10866	10512	87648	78110	4574	13794	60476	31920	23628	31196	0	0	0	0	0	0	0	0	0	0	
2451																														0	322	1533	0	270		0		2102	1			1406	0	1171	0	161	9640	0	0			0	2675	0	838	4806	120	812	1391	205	147	0	2035	2677	922	936	274	106								0	0		
2554																														0	0	264	0	0		1		2749	0			352	0	440	0	11	3904	0	0			0	87	0	0	1170	22	0	0	30	36	0	2496	107	247	328	292	346								0	0		
2732																														0	13227	99	60028	113626	0	229	229	0	0	76165	0	76165	4531	7398	0	0	281417	806	0	0	0	0	6920	0	2424	65518	665	2947	1391	1546	371	0	79619	40193	94954	53439	6948	0	0	0	0	0	0	0	0	0	0	0	
2750																														0	0	9652	0	2520		248		19453	0			3896	0	988	0	0	40744	0	0			0	3775	0	0	29448	283	832	949	642	1066	3	7959	20500	3621	1152	1790	206								0	212		
2938																														0	23739	9358	3503	47388		7851		4278	0			47764	2177	21329	0	13	206191	0	0			0	31575	7216	4597	118304	7816	5276	6672	9374	753	1585	82693	36415	28018	22183	2856	263								0	0		
2956																														0	1391	21636	1744	3247		13		2730	0			2920	770	5494	0	8	67575	2	0			0	24199	3425	0	59248	7869	15985	122	19	0	0	11033	25247	4527	1506	0	227								0	0		
3252																														0	329	7447	74	2075		3837		28879	0			7272	0	3913	0	0	54631	0	0			0	805	0	640	0	196	499	13	0	60	30	19661	28312	2818	1508	1094	0								0	0		
3458																														0	0	2602	0	474		304		1400	0			832	0	593	0	0	8047	0	0			0	1842	0	0	2029	0	478	998	361	0	0	602	2172	2514	712	0	37								0	0		
3506																														0	2278	0	14539	196419	0	334	334	0	0	47825	0	47825	30979	4978	0	0	584908	253	41970	41970	0	0	186855	58227	32067	15647	543	8661	11061	12089	102451	52020	89460	13848	109254	94048	81026	7266	0	0	0	0	0	0	0	0	757	0	
3579																														0	4091	433	1228	16206		0		111	0			31215	1488	17447	0	0	145722	7	0			0	71174	291	28604	23972	9617	13646	1436	7680	25113	13264	38177	4465	9735	9150	12079	813								0	2045		
