RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,13309,2001-03-31
,,,,,,,,,,,,,,,,,,,,13457,2001-03-31
,,,,,,,,,,,,,,,,,,,,14052,2001-03-31
,,,,,,,,,,,,,,,,,,,,14155,2001-03-31
,,,,,,,,,,,,,,,,,,,,14258,2001-03-31
,,,,,,,,,,,,,,,,,,,,14409,2001-03-31
,,,,,,,,,,,,,,,,,,,,14454,2001-03-31
,,,,,,,,,,,,,,,,,,,,14650,2001-03-31
,,,,,,,,,,,,,,,,,,,,14753,2001-03-31
,,,,,,,,,,,,,,,,,,,,14865,2001-03-31
,,,,,,,,,,,,,,,,,,,,14931,2001-03-31
,,,,,,,,,,,,,,,,,,,,14940,2001-03-31
,,,,,,,,,,,,,,,,,,,,15536,2001-03-31
,,,,,,,,,,,,,,,,,,,,15732,2001-03-31
,,,,,,,,,,,,,,,,,,,,16337,2001-03-31
,,,,,,,,,,,,,,,,,,,,16355,2001-03-31
,,,,,,,,,,,,,,,,,,,,16458,2001-03-31
,,,,,,,,,,,,,,,,,,,,16551,2001-03-31
,,,,,,,,,,,,,,,,,,,,16748,2001-03-31
,,,,,,,,,,,,,,,,,,,,16766,2001-03-31
,,,,,,,,,,,,,,,,,,,,16944,2001-03-31
,,,,,,,,,,,,,,,,,,,,16953,2001-03-31
,,,,,,,,,,,,,,,,,,,,17110,2001-03-31
,,,,,,,,,,,,,,,,,,,,17147,2001-03-31
,,,,,,,,,,,,,,,,,,,,17259,2001-03-31
,,,,,,,,,,,,,,,,,,,,17464,2001-03-31
,,,,,,,,,,,,,,,,,,,,17549,2001-03-31
,,,,,,,,,,,,,,,,,,,,17642,2001-03-31
,,,,,,,,,,,,,,,,,,,,17839,2001-03-31
,,,,,,,,,,,,,,,,,,,,17950,2001-03-31
,,,,,,,,,,,,,,,,,,,,18050,2001-03-31
,,,,,,,,,,,,,,,,,,,,18126,2001-03-31
,,,,,,,,,,,,,,,,,,,,18135,2001-03-31
,,,,,,,,,,,,,,,,,,,,18368,2001-03-31
,,,,,,,,,,,,,,,,,,,,18377,2001-03-31
,,,,,,,,,,,,,,,,,,,,18827,2001-03-31
,,,,,,,,,,,,,,,,,,,,18836,2001-03-31
,,,,,,,,,,,,,,,,,,,,18854,2001-03-31
,,,,,,,,,,,,,,,,,,,,18863,2001-03-31
,,,,,,,,,,,,,,,,,,,,18957,2001-03-31
