"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
37																0	4384	375	0	0	56810	5227	3552	8	64746	0					0	0	0	0	0	0	0	0	0		
242																0	1779	154	0	0	21079	2807	1709	4	24567	0			0	0	0	0	0	0	0	0	0	0	0		
279																0	12187	367	411	1	85155	6973	2842	10	100595	0			282	1	0	0	0	0	0	0	0	0	0		
354																0	0	0	0	0	6984	785	1172	3	8156	0			318	1	0	0	0	0	0	0	0	0	0		
457																0	1612	114	0	0	25211	2676	2288	5	29112	0			0	0	0	0	0	0	0	0	0	0	0		
505																0	8727	475	270	1	193013	19788	87140	102	289150	0					0	0	0	0	0	0	0	0	1337		
1155																0	12847	623	878	3	129062	12548	34530	50	177317	0	181555	0	11195	14	0	0	0	0	0	0	0	0	0		
1351																0	7256	253	900	2	70907	5118	42737	82	121800	0					0	0	0	0	0	0	0	0	0		
1454																0	20540	1549	1158	4	274043	32100	118784	157	414525	0					0	0	0	0	0	0	0	0	0		
1557																0	2071	340	0	0	28811	2465	8827	22	39709	0					0	0	0	0	0	0	0	0	0		
1632																0	31964	1189	3417	11	472818	25305	132361	205	640560	0	641360	0	38132	43	0	0	0	0	0	0	0	0	0		
1669																0	12902	545	0	0	138114	12670	53173	42	204189	0			9027	17	0	0	0	0	0	0	0	0	0		
1829																0	20512	1794	4210	8	243359	25919	75280	104	343361	0			15339	27	0	0	0	0	0	0	0	0	3064		
1856																0	7	2	0	0	106235	941	13797	6	120040	0			0	0	0	0	0	0	0	0	0	0	0		
2040																0	8530	548	0	0	126193	9012	30640	38	165364	0	170748	0			0	0	0	0	0	0	0	0	9776		
2161																0	7454	323	0	0	88282	6439	14727	18	110463	0					0	0	0	0	0	0	0	0	0		
2376															81650	0	72951	3816	2371	8	1017151	57937	179520	393	1271993	0	1236763	0	11466	21	0	0	0	0	0	0	0	0	0		
2451																0	500	75	0	0	27232	1480	804	2	28536	0			804	2	0	0	0	0	0	0	0	0	0		
2554																0	88	1	0	0	8398	509	555	2	9080	39			0	0	0	0	0	0	0	0	0	0	0		
