"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					148	0	29480					0	0	9675	0	13639	0	0	0									
242	0	0					201	0	8577					3550	0	4040	0	4534	3	0	0									
279	0	0					1826	46584	20689					34495	11822	1001	8875	2844	6	0	0									
354	0	0					5	0	4096					0	0	4096	0	0	0	0	0									
457	0	0					284	182	508					3500	0	508	180	0	0	0	0									
505	0	8489					3226	0	78217					45500	0	5097	0	17384	0	0	0									
1155	0	1507					1132	370	28959					0	0	18524	225	8928	0	0	11571									
1351	0	0					0	54824	5201					0	29191	5201	25587	0	0	0	0									
1454	0	5030					1092	0	202260					0	0	115941	0	60661	11	0	0									
1557	0	0					146	5957	4851					2302	0	4808	5957	43	0	0	0									
1632	0	5138					4107	0	34674					67023	0	12542	0	1122	0	0	0									
1669	0	0					429	93143	36067					177	70838	36061	17463	0	0	0	0									
1829	0	0					2879	0	84938					28250	0	21917	0	16799	1562	0	5592									
1856	0	0					2721	33298	91193					54000	0	30109	1942	2793	0	0	0									
2040	0	0					1546	0	45124					23300	0	303	0	20208	0	0	4961									
2161	0	0					286	2	43932					0	0	3302	0	13637	0	0	0									
2376	0	0					24996	76858	399186					510780	0	302220	0	0	5120	0	0									
2451	0	0					592	76	0					1999	0	0	76	0	0	0	0									
2554	0	0					0	0	12					0	0	0	0	0	12	0	0									
2732	0	0					174	0	57661					133	0	9647	0	47464	0	0	0									
2750	0	0					535	0	11281					8289	0	2989	0	2796	0	0	0									
2938	0	9999					2455	0	70308					29000	0	22735	0	797	0	0	6200									
3252	0	0					320	100	67114					3508	0	11525	100	9000	0	0	0									
3458	0	0					184	2307	7665					0	0	7195	2307	0	0	0	2295									
3720	0	0					615	6216	48990					5146	0	18325	6216	8045	0	0	3188									
3953	0	0					782	0	4					9412	0	0	0	0	4	0	0									
4138	0	0					991	0	31131					1468	0	16123	0	6322	79	0	1958									
4156	0	0					2503	0	40696					28702	0	16364	0	24332	0	0	861									
4231	0	0					0	0	34657					0	0	9120	0	8862	0	0	0									
4437	0	0					1175	630	68522					8259	0	37493	630	26186	0	0	3280									
4839	0	0					2075	0	58580					26000	0	15928	0	17377	0	0	6491									
5005	0	0					4637	298	54595					64776	0	5503	0	7785	10643	0	0									
5069	0	1158					0	0	20733					0	0	0	0	5679	7567	0	0									
5135	0	0					1639	0	20413					21848	0	18363	0	1861	0	0	0									
5210	0	0					9170	10054	197649					96806	10054	22409	0	38030	1006	0	43445									
5331	0	5211					3847	0	227622					38063	0	113443	0	35059	0	0	93500									
5461	0	503					2214	0	52090					15403	0	29192	0	20620	0	0	0									
5751	0	0					303	0	58933					0	0	14978	0	12162	0	0	0									
6039	0	0					160	0	4708					0	0	4048	0	160	7	0	0									
6141	0	0					0	11838	0					0	5949	0	4101	0	0	0	0									
6329	0	0					769	0	37884					0	0	11824	0	11124	0	0	0									
6972	0	0					4933	71028	42766					41500	26044	16699	43797	25335	0	0	0									
7009	0	0					0	0	329495					0	0	235332	0	71541	8564	0	0									
7045	0	0					249	21158	19041					0	501	13906	20657	5135	0	0	0									
7157	0	750					23	0	15717					0	0	5411	0	9097	0	0	0									
7456	0	0					299	1209	15191					1500	0	6625	1209	0	0	0	0									
7634	0	0					430	13	6495					2000	0	2892	0	3255	0	0	0									
8033	0	0					1525	0	6266					22659	0	4166	0	1590	0	0	0									
8462	0	0					21	0	69635					0	0	33160	0	8036	0	0	0									
8631	0	0					158	0	13005					0	0	13005	0	0	0	0	0									
9357	0	0					1132	0	25504					15800	0	24497	0	0	995	0	5699									
9553	0	0					772	0	9758					7803	0	5141	0	4617	0	0	0									
9807	24955	24602					20318	319488	73254					305996	40500	0	29720	0	0	0	62161									
9955	0	0					723	0	25001					9756	0	13314	0	11687	0	0	0									
10157	0	0					279	74	9899					0	0	1311	0	2010	0	0	0									
10250	0	0					2532	0	49677					33250	0	7715	0	28769	0	0	0									
10849	0	0					1819	56176	0					20097	5496	0	23755	0	0	0	0									
10858	0	2510					1442	0	59698					10724	0	22481	0	2330	18	0	34340									
